character	number	Freq.	Unicode	syllables	viet	English	VietOnly	thaiCognate	thaiMeaning	etymology
𡚢	2888	706	U+216A2	1	to	big, large, wide	TRUE			
𠅳	2890	708	U+20173	1	quên	to forget	TRUE			
引	2893	713	U+5F15	1	dẫn	to conduct, to guide, to escort	FALSE			
律	2903	714	U+5F8B	1	luật	law, rule, regulation	FALSE			
人民	1024	716		2	nhân dân	people; country				
人民	2005	716		2	nhân dân	people; country				
系統	2080	717		2	hệ thống	system, network, net				
系統	3775	717		2	hệ thống	system, network, net				
包饒	3069	718		2	bao nhiêu	how much, how many				
包饒	3888	718		2	bao nhiêu	how much, how many				
上	2906	719	U+4E0A	1	thượng	【top, above, superior】*	FALSE			
䬔	2912	721	U+4B14	1	gió	wind; air	TRUE			
𠬠吝	15	726		2	một lần	once				
𠬠吝	709	726		2	một lần	once				
徐	2919	728	U+5F90	1	chờ	to wait	FALSE			
預案	2483	730		2	dự án	emergency plan; draft; project				
預案	3262	730		2	dự án	emergency plan; draft; project				
見	2922	732	U+898B	1	kiến	【to see】*	FALSE			
動	2925	733	U+52D5	1	động	to move	FALSE			
𠋥	2935	735	U+202E5	1	mày	you, your (informal)	TRUE			
盤	2937	736	U+76E4	1	bàn	table; to discuss	FALSE			
搬	2947	736	U+642C	1	bàn	【to transfer, to move】*	FALSE			
島	2949	743	U+5CF6	1	đảo	island	FALSE			
𧿨𧗱	113	745		2	trở về	to return, to come back				
𧿨𧗱	1420	745		2	trở về	to return, to come back				
𩅹	2952	746	U+29179	1	mưa	rain	TRUE			
業	2957	750	U+696D	1	nghiệp	profession; trade	FALSE			
𠋺	2963	751	U+202FA	1	tao	I, me, my (colloquial)	TRUE			
聯關	1432	753		2	liên quan	to concern so./sth.				
聯關	2215	753		2	liên quan	to concern so./sth.				
影響	614	754		2	ảnh hưởng	to influence; influence, effect, impact				
影響	3593	754		2	ảnh hưởng	to influence; influence, effect, impact				
情感	1258	758		2	tình cảm	sentiment, affection, emotions				
情感	3019	758		2	tình cảm	sentiment, affection, emotions				
𨑮	2964	759	U+2846E	1	mười	ten	TRUE			
𥩯	2966	762	U+25A6F	1	dựng	to erect, to raise, to set up, to put up	TRUE			
𡥵𤳇	297	763		2	con trai	boy; son				
𡥵𤳇	3014	763		2	con trai	boy; son				
𠰺	2969	767	U+20C3A	1	dạy	to teach, to educate, to train	TRUE			
經	2973	768	U+7D93	1	kinh	classic works, prayer book	FALSE			
將	2979	771	U+5C07	1	tướng	officer, general; minister	FALSE			
綠	2981	774	U+7DA0	1	lục	green	FALSE			
𥄬	2984	775	U+2512C	1	ngủ	to sleep, asleep	TRUE			
濟	2990	776	U+6FDF	1	tế	to run	FALSE			
際	2994	776	U+969B	1	tế	【border, boundary】*	FALSE			
戰	2996	777	U+6230	1	chiến	war	FALSE			
焒	3005	779	U+7112	1	lửa	fire	TRUE			
排書	989	781		2	bài thơ	poem				
排書	1770	781		2	bài thơ	poem				
公佈	2096	783		2	công bố	to publish, to proclaim				
公佈	2765	783		2	công bố	to publish, to proclaim				
𤳇	3013	784	U+24CC7	1	trai	male; boy, young man	TRUE			
地方	2852	785		2	địa phương	region; regional				
地方	3597	785		2	địa phương	region; regional				
結果	3104	786		2	kết quả	result				
結果	3349	786		2	kết quả	result				
感	3017	789	U+611F	1	cảm	【to feel】*	FALSE			
佛	3026	792	U+4F5B	1	phật	Buddha	FALSE			
哭	3032	793	U+54ED	1	khóc	to cry, to weep, to shed tears	FALSE			
府	3033	794	U+5E9C	1	phủ	government; prefecture; prefect	FALSE			
不	3035	795	U+4E0D	1	bất	【non-, un-, not】*	FALSE			
品	3040	798	U+54C1	1	phẩm	【product, article】*	FALSE			
究	3049	799	U+7A76	1	cứu	【to examine, to investigate】*	FALSE			
林	3056	802	U+6797	1	lâm	【forest, woods】*	FALSE			
功	3059	804	U+529F	1	công	【achievement】*	FALSE			
政治	682	808		2	chính trị	politics, political				
政治	3088	808		2	chính trị	politics, political				
𡏦	3061	810	U+213E6	1	xây	to build	TRUE			
拖	3063	812	U+62D6	1	đỡ	to support, to relieve; to hold up	FALSE			
包	3067	819	U+5305	1	bao	bag; to wrap, to bundle	FALSE			
體	3078	821	U+9AD4	1	thể	【body】*	FALSE			
要求	1056	822		2	yêu cầu	to require, to ask				
要求	1968	822		2	yêu cầu	to require, to ask				
生員	1444	831		2	sinh viên	student				
生員	2293	831		2	sinh viên	student				
爫朱	88	836		2	làm cho	to cause sth., to provoke sth., to induce				
爫朱	236	836		2	làm cho	to cause sth., to provoke sth., to induce				
治	3087	837	U+6CBB	1	trị	to cure, to treat; 【to regulate, to administer】*	FALSE			
値	3099	837	U+5024	1	trị	【value, worth】*	FALSE			
結	3103	838	U+7D50	1	kết	to tie, to knot	FALSE			
産出	3642	840		2	sản xuất	to produce, to manufacture				
産出	3821	840		2	sản xuất	to produce, to manufacture				
𧖱	3110	843	U+275B1	1	máu	blood	TRUE			
𣋚𫢩	828	844		2	hôm nay	today				
𣋚𫢩	1641	844		2	hôm nay	today				
發現	2123	849		2	phát hiện	to discover; to excavate				
發現	3157	849		2	phát hiện	to discover; to excavate				
十	3113	854	U+5341	1	thập	【ten】*	FALSE			
歐	3117	858	U+6B50	1	âu	just, perhaps; 【european】*	FALSE			
學生	1167	859		2	học sinh	pupil; schoolboy; schoolgirl				
學生	2294	859		2	học sinh	pupil; schoolboy; schoolgirl				
仙	3121	860	U+4ED9	1	tiên	fairy, immortal	FALSE			
先	3123	860	U+5148	1	tiên	first, firstly	FALSE			
群吏	205	861		2	còn lại	to remain; remaining, other				
群吏	216	861		2	còn lại	to remain; remaining, other				
吒媄	915	862		2	cha mẹ	parents				
吒媄	2225	862		2	cha mẹ	parents				
下	3127	863	U+4E0B	1	hạ	to lower, to set down, to take down	FALSE			
在牢	304	864		2	tại sao	why				
在牢	1281	864		2	tại sao	why				
㹥	3142	866	U+3E65	1	chó	dog	TRUE	จอ	dog	From Proto-Vietic *ʔa-cɔːʔ, from Proto-Mon-Khmer *cɔʔ (“dog”); cognate with Semai co (“dog, servant, slave”), Halang chô (“dog”), Pacoh acho (“dog”), Khmu sɔʔ and Mang θɔː¹. Compare also Khmer ច (cɑɑ, “Year of the Dog”), a borrowing from Vietic.
犬	3145	866	U+72AC	1	khuyển	【dog】*	FALSE			
場合	1078	867		2	trường hợp	occasion, circumstance				
場合	3206	867		2	trường hợp	occasion, circumstance				
産品	3042	872		2	sản phẩm	product				
産品	3822	872		2	sản phẩm	product				
默𠶢	1579	874		2	mặc dù	though; allthough				
默𠶢	2821	874		2	mặc dù	though; allthough				
默𠶢	1582	9999999		2	mặc dầu	though; although				
默𠶢	2823	9999999		2	mặc dầu	though; although				
沙	3146	878	U+6C99	1	sa	【sand; granulated】*	FALSE			
彈婆	387	879		2	đàn bà	woman				
彈婆	3167	879		2	đàn bà	woman				
電話	2246	881		2	điện thoại	telephone, phone				
關係	1433	883		2	quan hệ	to concern, to affect, to correlate				
關係	3771	883		2	quan hệ	to concern, to affect, to correlate				
店	3147	884	U+5E97	1	tiệm	shop	FALSE			
𢜠	3149	888	U+22720	1	mừng	happy, glad	TRUE			
發	3155	889	U+767C	1	phát	to deliver, to distribute, to issue	FALSE			
萻	3161	892	U+843B	1	ấm	warm	FALSE			
渃外	486	893		2	nước ngoài	abroad; foreign country				
渃外	1267	893		2	nước ngoài	abroad; foreign country				
此	3162	896	U+6B64	1	thử	【this; then】*	FALSE			
打價	1585	897		2	đánh giá	to rate (something or someone), to assess, to value				
打價	2420	897		2	đánh giá	to rate (something or someone), to assess, to value				
市場	1079	898		2	thị trường	market				
市場	2151	898		2	thị trường	market				
𪀄	3164	899	U+2A004	1	chim	bird	TRUE			
現代	1607	901		2	hiện đại	contemporary, modern times				
現代	2124	901		2	hiện đại	contemporary, modern times				
茹渃	251	904		2	nhà nước	state, country, nation				
茹渃	487	904		2	nhà nước	state, country, nation				
彈	3165	905	U+5F48	1	đàn	group of beings of the same kind, drove, flock, herd; to play on stringed instruments, stringed music instrument	FALSE			
老	3169	907	U+8001	1	lão	old, aged	FALSE			
加增	2241	908		2	gia tăng	to increase				
加增	2291	908		2	gia tăng	to increase				
教育	3354	915		2	giáo dục	to educate, education				
割	3175	916	U+5272	1	cắt	to cut; to cut off	FALSE			
船	3176	917	U+8239	1	thuyền	ship, boat, vessel	FALSE			
平常	621	919		2	bình thường	normal, ordinary, usual; normally, usually				
平常	1150	919		2	bình thường	normal, ordinary, usual; normally, usually				
𢺺	3179	924	U+22EBA	1	chia	to share; to divide, to split	TRUE			
病院	2343	929		2	bệnh viện	hospital				
病院	2662	929		2	bệnh viện	hospital				
組	3183	931	U+7D44	1	tổ	group, team; to form, to organize	FALSE			
祖	3188	931	U+7956	1	tổ	【ancestor, forefather; grandfather】*	FALSE			
𠓀低	523	935		2	trước đây	before, previously				
𠓀低	592	935		2	trước đây	before, previously				
粓	3191	937	U+7C93	1	cơm	(cooked) rice	TRUE			
𡢐呢	126	938		2	sau này	afterwards, later, in the future				
𡢐呢	414	938		2	sau này	afterwards, later, in the future				
域	3195	940	U+57DF	1	vực	【area, region, domain, field】*	FALSE			
爫之	237	941		2	làm gì	what for; what to do				
爫之	518	941		2	làm gì	what for; what to do				
爲勢	345	942		2	vì thế	therefore, so				
爲勢	816	942		2	vì thế	therefore, so				
感恩	3020	943		2	cám ơn	thanks, thank you				
感恩	3576	943		2	cám ơn	thanks, thank you				
感恩	3021	1503		2	cảm ơn	thanks, thank you				
感恩	3577	1503		2	cảm ơn	thanks, thank you				
𧿨𢧚	444	944		2	trở nên	to become, to turn				
𧿨𢧚	1421	944		2	trở nên	to become, to turn				
料	3198	947	U+6599	1	liệu	【materials, ingredients】*	FALSE			
𣈜𫢩	362	955		2	ngày nay	today				
𣈜𫢩	829	955		2	ngày nay	today				
主題	2780	956		2	chủ đề	theme, subject, motif, leitmotiv				
主題	3505	956		2	chủ đề	theme, subject, motif, leitmotiv				
自然	160	962		2	tự nhiên	nature; natural				
自然	3766	962		2	tự nhiên	nature; natural				
合	3205	963	U+5408	1	hợp	to fit; to join	FALSE			
織	3216	967	U+7E54	1	chức	office; 【to organize】*	FALSE			
芇妬	146	969		2	nào đó	some, certain				
芇妬	631	969		2	nào đó	some, certain				
鉑	3218	972	U+9251	1	bạc	silver	FALSE			
者	3222	974	U+8005	1	giả	【the one who, that person】*	FALSE			
正式	678	976		2	chính thức	official				
正式	2723	976		2	chính thức	official				
水	3228	977	U+6C34	1	thuỷ	【water, liquid】*	FALSE			
枝節	2626	978		2	chi tiết	detail				
句𠳨	1684	980		2	câu hỏi	question				
句𠳨	1736	980		2	câu hỏi	question				
俗	3233	981	U+4FD7	1	tục	vulgar, crude; 【social customs】*	FALSE			
媽	3239	982	U+5ABD	1	má	mother	FALSE	แม่	mother	Non-Sino-Vietnamese reading of Chinese 媽 (“mother”, SV: ma).
獨到	3477	985		2	độc đáo	unique				
楛	3241	986	U+695B	1	gỗ	wood, timber	FALSE			
交	3243	989	U+4EA4	1	giao	to deliver, to hand over, to exchange; 【to communicate】*	FALSE			
條件	747	991		2	điều kiện	circumstances; condition				
條件	3712	991		2	điều kiện	circumstances; condition				
首將	2814	992		2	thủ tướng	chief officer; prime minister				
首將	2980	992		2	thủ tướng	chief officer; prime minister				
畑	3247	993	U+7551	1	đèn	lamp, light	TRUE			
𢷮	3250	996	U+22DEE	1	đổi	to change, to exchange, to switch, to convert	TRUE			
偀㛪	139	1003		2	anh em	brothers; siblings				
偀㛪	574	1003		2	anh em	brothers; siblings				
舉	3253	1005	U+8209	1	cử	to raise; to elect	FALSE			
筆	3258	1006	U+7B46	1	bút	brush; pen	FALSE			
共産	512	1008		2	cộng sản	communist				
共産	3823	1008		2	cộng sản	communist				
工作	730	1011		2	công tác	mission; business				
工作	3270	1011		2	công tác	mission; business				
𥆾𧡊	461	1013		2	nhìn thấy	to see				
𥆾𧡊	943	1013		2	nhìn thấy	to see				
調查	743	1015		2	điều tra	to inquire, to survey, to take a consensus of				
調查	3810	1015		2	điều tra	to inquire, to survey, to take a consensus of				
案	3261	1016	U+6848	1	án	(legal) case, sentence; small table	FALSE			
領	3263	1018	U+9818	1	lãnh	to receive; 【to lead】*	FALSE			
財政	683	1022		2	tài chính	finance, budget				
財政	2598	1022		2	tài chính	finance, budget				
位置	1936	1027		2	vị trí	position, place				
位置	3404	1027		2	vị trí	position, place				
媒場	1080	1031		2	môi trường	environment; medium				
媒場	3585	1031		2	môi trường	environment; medium				
作	3267	1039	U+4F5C	1	tác	【to make, to work, to compose】*	FALSE			
首都	1853	1040		2	thủ đô	capital (city)				
首都	2815	1040		2	thủ đô	capital (city)				
馬	3273	1045	U+99AC	1	mã	【horse】*	FALSE			
唯一	583	1048		2	duy nhất	unique, only				
唯一	3343	1048		2	duy nhất	unique, only				
看者	3225	1051		2	khán giả	spectator, audience				
色	3277	1054	U+8272	1	sắc	color; beauty	FALSE			
教師	3291	1055		2	giáo sư	professor				
教師	3355	1055		2	giáo sư	professor				
迷	3281	1056	U+8FF7	1	mê	to be fascinated; to loose consciousness, to faint	FALSE			
獨身	1621	1059		2	độc thân	single, unmated				
獨身	3478	1059		2	độc thân	single, unmated				
認𫥨	184	1068		2	nhận ra	to recognize, to realize				
認𫥨	1327	1068		2	nhận ra	to recognize, to realize				
軍隊	2265	1070		2	quân đội	army				
軍隊	2325	1070		2	quân đội	army				
氣	3284	1076	U+6C23	1	khí	【air, steam】*	FALSE			
過程	1038	1077		2	quá trình	process, course of events				
過程	1993	1077		2	quá trình	process, course of events				
底吏	117	1081		2	để lại	to leave back; left over; to spare				
底吏	206	1081		2	để lại	to leave back; left over; to spare				
呐𡀯	352	1082		2	nói chuyện	to talk				
呐𡀯	923	1082		2	nói chuyện	to talk				
師	3290	1091	U+5E2B	1	sư	【teacher, master】*	FALSE			
𠰘	3294	1094	U+20C18	1	miệng	mouth	TRUE			
言語	3671	1095		2	ngôn ngữ	language				
言語	3769	1095		2	ngôn ngữ	language				
𠮩空	63	1098		2	nếu không	if not; otherwise, or else				
𠮩空	893	1098		2	nếu không	if not; otherwise, or else				
𠫾爫	238	1100		2	đi làm	to go to work				
𠫾爫	277	1100		2	đi làm	to go to work				
𤙭	3300	1106	U+2466D	1	bò	cow, ox, beef	TRUE			
輔	3301	1108	U+8F14	1	phụ	to help, to assist, to aid	FALSE			
婦	3309	1108	U+5A66	1	phụ	wife, woman, married woman	FALSE			
暫	3314	1110	U+66AB	1	tạm	temporary, provisional	FALSE			
史	3317	1111	U+53F2	1	sử	history	FALSE			
使	3325	1111	U+4F7F	1	sứ	ambassador; 【envoy, ambassador; to make, to cause, to use】*	FALSE			
啊	3330	1116	U+554A	1	à	oh, aha, I see	FALSE			
鬥	3331	1125	U+9B25	1	đấu	to fight, to compete	FALSE			
斗	3336	1125	U+6597	1	đấu	peck, bushel	FALSE			
現在	305	1128		2	hiện tại	at present; present, modern, nowadays				
現在	2125	1128		2	hiện tại	at present; present, modern, nowadays				
惜	3339	1129	U+60DC	1	tiếc	to regret, to be sorry, to grudge	FALSE			
唯	3342	1131	U+552F	1	dạ	yes, yes sir, affirmative!	FALSE			
分𤾓	1395	1132		2	phần trăm	percent; percentage				
分𤾓	2635	1132		2	phần trăm	percent; percentage				
反	3345	1138	U+53CD	1	phản	to betray, to be disloyal to	FALSE			
解釋	1485	1150		2	giải thích	to explain, to clarify				
解釋	1678	1150		2	giải thích	to explain, to clarify				
題材	2602	1153		2	đề tài	subject matter, theme				
題材	3506	1153		2	đề tài	subject matter, theme				
尋曉	663	1162		2	tìm hiểu	to learn (about sth.)				
尋曉	1872	1162		2	tìm hiểu	to learn (about sth.)				
果	3348	1163	U+679C	1	quả	fruit; result	FALSE			
役務	319	1166		2	dịch vụ	service				
役務	1714	1166		2	dịch vụ	service				
盤𢬣	1007	1170		2	bàn tay	hand				
盤𢬣	2938	1170		2	bàn tay	hand				
椒	3351	1172	U+6912	1	tiêu	pepper	FALSE			
革命	656	1175		2	cách mạng	revolution				
革命	2509	1175		2	cách mạng	revolution				
教	3353	1180	U+6559	1	giáo	to teach, to educate	FALSE			
機體	2743	1181		2	cơ thể	organism; (human) body				
機體	3081	1181		2	cơ thể	organism; (human) body				
精	3372	1182	U+7CBE	1	tinh	【pure, clear; essence; spirit; perfect】*	FALSE			
星	3375	1182	U+661F	1	tinh	【star, planet】*	FALSE			
傳形	835	1184		2	truyền hình	television				
傳形	1505	1184		2	truyền hình	television				
福	3380	1185	U+798F	1	phước	happiness	FALSE			
科	3382	1187	U+79D1	1	khoa	field of study, subject of study	FALSE			
量	3387	1192	U+91CF	1	lượng	quantity, measure	FALSE			
材料	2603	1194		2	tài liệu	material, document				
材料	3199	1194		2	tài liệu	material, document				
茶	3391	1199	U+8336	1	trà	tea; tea plant	FALSE			
縁	3396	1201	U+7E01	1	duyên	charm, grace, loveliness; 【cause, reason】*	TRUE			
置	3403	1203	U+7F6E	1	trí	【to place, to set aside】*	FALSE			
纇	3405	1206	U+7E87	1	lỗi	mistake; fault; error	TRUE			
戈𠁀	503	1209		2	qua đời	to pass away				
戈𠁀	1511	1209		2	qua đời	to pass away				
助	3407	1211	U+52A9	1	trợ	【to help, to assist】*	FALSE			
渃眜	488	1212		2	nước mắt	tears				
渃眜	1537	1212		2	nước mắt	tears				
𠔭	3413	1213	U+2052D	1	tám	eight	TRUE			
小	3414	1219	U+5C0F	1	tiểu	【small, tiny】*	FALSE			
後	3420	1222	U+5F8C	1	hậu	【after, behind】*	FALSE			
空氣	64	1223		2	không khí	air; atmosphere				
空氣	3285	1223		2	không khí	air; atmosphere				
形式	836	1227		2	hình thức	form				
形式	2724	1227		2	hình thức	form				
公認	1328	1230		2	công nhận	to recognize, to accept, to accredit				
公認	2097	1230		2	công nhận	to recognize, to accept, to accredit				
数量	529	1233		2	số lượng	quantity				
数量	3388	1233		2	số lượng	quantity				
入	3427	1244	U+5165	1	nhập	to join, to enter; to import	FALSE			
能	3435	1248	U+80FD	1	năng	【ability, capability, to be able to】*	FALSE			
边外	1268	1250		2	bên ngoài	outside, outer, exterior				
边外	1275	1250		2	bên ngoài	outside, outer, exterior				
解決	1679	1251		2	giải quyết	to resolve (a dispute), to settle (a difference)				
解決	3831	1251		2	giải quyết	to resolve (a dispute), to settle (a difference)				
葻	3443	1254	U+847B	1	bông	flower	TRUE	บุงหงา	flower	From Proto-Vietic *poːŋ (“flower”). Cognate with Muong pông and Thavung โปง.
目	3447	1255	U+76EE	1	mục	section, topic; program item; 【eye】*	FALSE			
𠃩	3449	1257	U+200E9	1	chín	nine	TRUE			
藥	3450	1259	U+85E5	1	dược	medicine, pharmacy	FALSE			
𤯆	3459	1261	U+24BC6	1	ngon	tasty, delicious; well, easy	TRUE			
攎𢮪	2113	1262		2	lựa chọn	to select, to choose				
攎𢮪	3862	1262		2	lựa chọn	to select, to choose				
壓力	3541	1267		2	áp lực	pressure				
壓力	3834	1267		2	áp lực	pressure				
翁婆	107	1269		2	ông bà	man and woman; husband and wife				
翁婆	388	1269		2	ông bà	man and woman; husband and wife				
音樂	1842	1277		2	âm nhạc	music				
音樂	3486	1277		2	âm nhạc	music				
力量	3389	1279		2	lực lượng	strengh, force, power				
力量	3542	1279		2	lực lượng	strengh, force, power				
𩄲	3463	1282	U+29132	1	mây	cloud	TRUE			
民主	1025	1284		2	dân chủ	democratic				
民主	2781	1284		2	dân chủ	democratic				
呌	3465	1287	U+544C	1	kêu	to call; to cry	TRUE			
𫥨𠫾	185	1288		2	ra đi	to leave, to go off				
𫥨𠫾	278	1288		2	ra đi	to leave, to go off				
共和	513	1289		2	cộng hoà	republic, republican				
共和	2162	1289		2	cộng hoà	republic, republican				
固𨤔	30	1290		2	có vẻ	to seem, to look, to appear				
固𨤔	2275	1290		2	có vẻ	to seem, to look, to appear				
𦝄	3469	1292	U+26744	1	trăng	moon	TRUE			
進士	2468	1307		2	tiến sĩ	scholars				
經營	2975	1310		2	kinh doanh	to carry on, to run (a business)				
經營	3741	1310		2	kinh doanh	to carry on, to run (a business)				
嘲	3473	1311	U+5632	1	chào	to greet	FALSE	เช้า	morning	Non-Sino-Vietnamese reading of Chinese 朝 (“to meet; to meet a senior person; to attend the emperor's audience”, SV: triều). Doublet of chầu and triều. (Nguyễn Văn Khang. Từ ngoại lai trong tiếng Việt, 2007)
菭都	1825	1314		2	đầy đủ	entirely sufficient; complete				
菭都	1854	1314		2	đầy đủ	entirely sufficient; complete				
獨	3476	1319	U+7368	1	độc	【alone, single】*	FALSE			
包𠁟	3070	1328		2	bao gồm	including				
牟色	1669	1332		2	màu sắc	color				
牟色	3278	1332		2	màu sắc	color				
通報	1467	1339		2	thông báo	bulletin, journal				
通報	2593	1339		2	thông báo	bulletin, journal				
公安	2098	1347		2	công an	police; policeman				
公安	2336	1347		2	công an	police; policeman				
危	3480	1348	U+5371	1	nguy	【dangerous】*	FALSE			
丕𦓡	198	1353		2	vậy mà	but; however				
丕𦓡	1305	1353		2	vậy mà	but; however				
互助	3408	1354		2	hỗ trợ	to help one another				
互助	3902	1354		2	hỗ trợ	to help one another				
茹行	252	1359		2	nhà hàng	restaurant; hotel				
茹行	1103	1359		2	nhà hàng	restaurant; hotel				
𣈜𠸗	363	1362		2	ngày xưa	formerly, once, back then, in the past				
𣈜𠸗	2563	1362		2	ngày xưa	formerly, once, back then, in the past				
𠬠𠄧	16	1369		2	một vài	some, several, quite a few				
𠬠𠄧	2078	1369		2	một vài	some, several, quite a few				
鬥價	1586	1375		2	đấu giá	to auction				
鬥價	3332	1375		2	đấu giá	to auction				
銀行	1104	1376		2	ngân hàng	Bank (financial institution)				
銀行	3806	1376		2	ngân hàng	Bank (financial institution)				
國會	698	1385		2	quốc hội	national assembly				
國會	948	1385		2	quốc hội	national assembly				
小邦	2461	1386		2	tiểu bang	state				
小邦	3415	1386		2	tiểu bang	state				
章	3482	1389	U+7AE0	1	chương	chapter, section	FALSE			
妸	3484	1390	U+59B8	1	gã	lad, bloke, underdog	TRUE			
音	3485	1393	U+97F3	1	âm	sound; noise	FALSE			
陰	3500	1393	U+9670	1	âm	【lunar; female】*	FALSE			
堆欺	169	1395		2	đôi khi	sometimes, occasionally				
堆欺	2382	1395		2	đôi khi	sometimes, occasionally				
題	3503	1399	U+984C	1	đề	topic, subject	FALSE			
提	3510	1399	U+63D0	1	đề	【to hold】*	FALSE			
時代	220	1405		2	thời đại	era, age				
時代	1608	1405		2	thời đại	era, age				
籺	3515	1415	U+7C7A	1	hột	grain, seed	TRUE			
茹祠	253	1420		2	nhà thờ	church				
制度	2186	1423		2	chế độ	regulation; (societal) system				
制度	2314	1423		2	chế độ	regulation; (societal) system				
聯邦	2216	1424		2	liên bang	union, federation, federal				
聯邦	2462	1424		2	liên bang	union, federation, federal				
萬	3521	1426	U+842C	1	vạn	ten thousand	FALSE			
如𪜀	8	1427		2	như là	as if				
如𪜀	154	1427		2	như là	as if				
製	3526	1432	U+88FD	1	chế	to manufacture, to produce	FALSE			
錢鉑	852	1434		2	tiền bạc	money				
錢鉑	3219	1434		2	tiền bạc	money				
典	3530	1437	U+5178	1	điển	classic written source	FALSE			
絏	3536	1438	U+7D4F	1	dây	rope; cord; wire; string	TRUE			
瓊	3539	1447	U+74CA	1	quỳnh	【jade; rare, precious; elegant】*	FALSE			
力	3540	1448	U+529B	1	lực	force, strength	FALSE			
班頭	639	1449		2	ban đầu	at first, initial, initially				
班頭	1845	1449		2	ban đầu	at first, initial, initially				
内	3548	1451	U+5185	1	nội	inside; paternal	FALSE			
待	3559	1453	U+5F85	1	đợi	to wait	FALSE			
呌噲	2065	1457		2	kêu gọi	to appeal, to call upon				
呌噲	3466	1457		2	kêu gọi	to appeal, to call upon				
多	3560	1459	U+591A	1	đa	many; much; numerous	FALSE			
陰曆	3501	1460		2	âm lịch	lunar calendar				
陰曆	3628	1460		2	âm lịch	lunar calendar				
㵋低	373	1462		2	mới đây	recently, lately, just now				
㵋低	524	1462		2	mới đây	recently, lately, just now				
底朱	89	1466		2	để cho	so that, in order to				
底朱	118	1466		2	để cho	so that, in order to				
獨立	2041	1470		2	độc lập	independence, independency				
獨立	3479	1470		2	độc lập	independence, independency				
猫	3565	1481	U+732B	1	mèo	cat	FALSE			
婆𡥵	298	1491		2	bà con	relative; relationship; neighbour				
婆𡥵	389	1491		2	bà con	relative; relationship; neighbour				
碁	3567	1505	U+7881	1	cờ	chess	FALSE			
呐𪜀	9	1508		2	nói là	reportedly, supposedly				
呐𪜀	353	1508		2	nói là	reportedly, supposedly				
才能	2596	1512		2	tài năng	talent, ability				
才能	3436	1512		2	tài năng	talent, ability				
危險	3481	1516		2	nguy hiểm	dangerous, risky, perilous				
危險	3880	1516		2	nguy hiểm	dangerous, risky, perilous				
觀點	1437	1520		2	quan điểm	point of view				
觀點	1693	1520		2	quan điểm	point of view				
口	3569	1525	U+53E3	1	khẩu	【mouth; entrance; gate】*	FALSE			
如空	65	1528		2	như không	useless				
如空	155	1528		2	như không	useless				
部長	980	1530		2	bộ trưởng	minister				
部長	1090	1530		2	bộ trưởng	minister				
地點	1694	1534		2	địa điểm	location, place, site				
地點	3598	1534		2	địa điểm	location, place, site				
律師	2904	1542		2	luật sư	lawyer, advocate				
律師	3292	1542		2	luật sư	lawyer, advocate				
思想	1744	1549		2	tư tưởng	thoughts				
襖𨱽	1839	1554		2	áo dài	tunic, dress				
襖𨱽	2558	1554		2	áo dài	tunic, dress				
結合	3105	1555		2	kết hợp	to combine, to coordinate				
結合	3207	1555		2	kết hợp	to combine, to coordinate				
軍事	327	1556		2	quân sự	military affairs				
軍事	2326	1556		2	quân sự	military affairs				
𫥨𠓨	130	1562		2	ra vào	to go in and out				
𫥨𠓨	186	1562		2	ra vào	to go in and out				
固欺	31	1563		2	có khi	sometimes; perhaps, maybe				
固欺	170	1563		2	có khi	sometimes; perhaps, maybe				
長成	471	1570		2	trưởng thành	to grow up; mature				
長成	1091	1570		2	trưởng thành	to grow up; mature				
恩	3575	1573	U+6069	1	ơn	favour; 【kindness, mercy】*	FALSE			
限	3582	1575	U+9650	1	hạn	limit; term	FALSE			
於吏	100	1576		2	ở lại	to remain, to stay				
於吏	207	1576		2	ở lại	to remain, to stay				
𠫾戈	279	1580		2	đi qua	to go across, to cross				
𠫾戈	504	1580		2	đi qua	to go across, to cross				
媒	3584	1582	U+5A92	1	môi	【medium, intermediary, agent, go-between】*	FALSE			
卒業	1708	1586		2	tốt nghiệp	to graduate				
卒業	2958	1586		2	tốt nghiệp	to graduate				
吀纇	1020	1596		2	xin lỗi	to beg for pardon; Excuse me! Sorry!				
吀纇	3406	1596		2	xin lỗi	to beg for pardon; Excuse me! Sorry!				
聰明	1555	1597		2	thông minh	intelligent; clever				
聰明	2590	1597		2	thông minh	intelligent; clever				
分𡘯	760	1607		2	phần lớn	the most, the lion's share, bulk				
分𡘯	1396	1607		2	phần lớn	the most, the lion's share, bulk				
主要	1057	1609		2	chủ yếu	main				
主要	2782	1609		2	chủ yếu	main				
證	3588	1611	U+8B49	1	chứng	evidence, proof	FALSE			
反對	1231	1614		2	phản đối	to oppose, to object (to)				
反對	3346	1614		2	phản đối	to oppose, to object (to)				
響	3592	1622	U+97FF	1	hưởng	【to make noise; sound】*	FALSE			
𠃣一	584	1628		2	ít nhất	at least				
𠃣一	2430	1628		2	ít nhất	at least				
宗教	3356	1629		2	tôn giáo	religious				
工人	731	1640		2	công nhân	worker; blue-collar worker				
工人	2006	1640		2	công nhân	worker; blue-collar worker				
佛教	3027	1641		2	phật giáo	buddhism				
佛教	3357	1641		2	phật giáo	buddhism				
戰鬥	2998	1646		2	chiến đấu	to fight, to combat				
戰鬥	3333	1646		2	chiến đấu	to fight, to combat				
