number	Freq.	Unicode	Text	syllables	QN	English
3447	1255.00	U+76EE	目	1	mục	section, topic; program item; 【eye】*
3449	1257.00	U+200E9	𠃩	1	chín	nine
3450	1259.00	U+85E5	藥	1	dược	medicine, pharmacy
3459	1261.00	U+24BC6	𤯆	1	ngon	tasty, delicious; well, easy
2113	1262.00		攎𢮪	2	lựa chọn	to select, to choose
3862	1262.00		攎𢮪	2	lựa chọn	to select, to choose
3541	1267.00		壓力	2	áp lực	pressure
3834	1267.00		壓力	2	áp lực	pressure
107	1269.00		翁婆	2	ông bà	man and woman; husband and wife
388	1269.00		翁婆	2	ông bà	man and woman; husband and wife
1842	1277.00		音樂	2	âm nhạc	music
3486	1277.00		音樂	2	âm nhạc	music
3389	1279.00		力量	2	lực lượng	strengh, force, power
3542	1279.00		力量	2	lực lượng	strengh, force, power
3463	1282.00	U+29132	𩄲	1	mây	cloud
1025	1284.00		民主	2	dân chủ	democratic
2781	1284.00		民主	2	dân chủ	democratic
3465	1287.00	U+544C	呌	1	kêu	to call; to cry
185	1288.00		𫥨𠫾	2	ra đi	to leave, to go off
278	1288.00		𫥨𠫾	2	ra đi	to leave, to go off
513	1289.00		共和	2	cộng hoà	republic, republican
2162	1289.00		共和	2	cộng hoà	republic, republican
30	1290.00		固𨤔	2	có vẻ	to seem, to look, to appear
2275	1290.00		固𨤔	2	có vẻ	to seem, to look, to appear
3469	1292.00	U+26744	𦝄	1	trăng	moon
2468	1307.00		進士	2	tiến sĩ	scholars
2975	1310.00		經營	2	kinh doanh	to carry on, to run (a business)
3741	1310.00		經營	2	kinh doanh	to carry on, to run (a business)
3473	1311.00	U+5632	嘲	1	chào	to greet
1825	1314.00		菭都	2	đầy đủ	entirely sufficient; complete
1854	1314.00		菭都	2	đầy đủ	entirely sufficient; complete
3476	1319.00	U+7368	獨	1	độc	【alone, single】*
3070	1328.00		包𠁟	2	bao gồm	including
1669	1332.00		牟色	2	màu sắc	color
3278	1332.00		牟色	2	màu sắc	color
1467	1339.00		通報	2	thông báo	bulletin, journal
2593	1339.00		通報	2	thông báo	bulletin, journal
2098	1347.00		公安	2	công an	police; policeman
2336	1347.00		公安	2	công an	police; policeman
3480	1348.00	U+5371	危	1	nguy	【dangerous】*
198	1353.00		丕𦓡	2	vậy mà	but; however
1305	1353.00		丕𦓡	2	vậy mà	but; however
3408	1354.00		互助	2	hỗ trợ	to help one another
3902	1354.00		互助	2	hỗ trợ	to help one another
252	1359.00		茹行	2	nhà hàng	restaurant; hotel
1103	1359.00		茹行	2	nhà hàng	restaurant; hotel
363	1362.00		𣈜𠸗	2	ngày xưa	formerly, once, back then, in the past
2563	1362.00		𣈜𠸗	2	ngày xưa	formerly, once, back then, in the past
16	1369.00		𠬠𠄧	2	một vài	some, several, quite a few
2078	1369.00		𠬠𠄧	2	một vài	some, several, quite a few
1586	1375.00		鬥價	2	đấu giá	to auction
3332	1375.00		鬥價	2	đấu giá	to auction
1104	1376.00		銀行	2	ngân hàng	Bank (financial institution)
3806	1376.00		銀行	2	ngân hàng	Bank (financial institution)
698	1385.00		國會	2	quốc hội	national assembly
948	1385.00		國會	2	quốc hội	national assembly
2461	1386.00		小邦	2	tiểu bang	state
3415	1386.00		小邦	2	tiểu bang	state
3482	1389.00	U+7AE0	章	1	chương	chapter, section
3484	1390.00	U+59B8	妸	1	gã	lad, bloke, underdog
3485	1393.00	U+97F3	音	1	âm	sound; noise
3500	1393.00	U+9670	陰	1	âm	【lunar; female】*
169	1395.00		堆欺	2	đôi khi	sometimes, occasionally
2382	1395.00		堆欺	2	đôi khi	sometimes, occasionally
3503	1399.00	U+984C	題	1	đề	topic, subject
3510	1399.00	U+63D0	提	1	đề	【to hold】*
220	1405.00		時代	2	thời đại	era, age
1608	1405.00		時代	2	thời đại	era, age
3515	1415.00	U+7C7A	籺	1	hột	grain, seed
253	1420.00		茹祠	2	nhà thờ	church
2186	1423.00		制度	2	chế độ	regulation; (societal) system
2314	1423.00		制度	2	chế độ	regulation; (societal) system
2216	1424.00		聯邦	2	liên bang	union, federation, federal
2462	1424.00		聯邦	2	liên bang	union, federation, federal
3521	1426.00	U+842C	萬	1	vạn	ten thousand
8	1427.00		如𪜀	2	như là	as if
154	1427.00		如𪜀	2	như là	as if
3526	1432.00	U+88FD	製	1	chế	to manufacture, to produce
852	1434.00		錢鉑	2	tiền bạc	money
3219	1434.00		錢鉑	2	tiền bạc	money
3530	1437.00	U+5178	典	1	điển	classic written source
3536	1438.00	U+7D4F	絏	1	dây	rope; cord; wire; string
3539	1447.00	U+74CA	瓊	1	quỳnh	【jade; rare, precious; elegant】*
3540	1448.00	U+529B	力	1	lực	force, strength
639	1449.00		班頭	2	ban đầu	at first, initial, initially
1845	1449.00		班頭	2	ban đầu	at first, initial, initially
3548	1451.00	U+5185	内	1	nội	inside; paternal
3559	1453.00	U+5F85	待	1	đợi	to wait
2065	1457.00		呌噲	2	kêu gọi	to appeal, to call upon
3466	1457.00		呌噲	2	kêu gọi	to appeal, to call upon
3560	1459.00	U+591A	多	1	đa	many; much; numerous
3501	1460.00		陰曆	2	âm lịch	lunar calendar
3628	1460.00		陰曆	2	âm lịch	lunar calendar
373	1462.00		㵋低	2	mới đây	recently, lately, just now
524	1462.00		㵋低	2	mới đây	recently, lately, just now
89	1466.00		底朱	2	để cho	so that, in order to
118	1466.00		底朱	2	để cho	so that, in order to
2041	1470.00		獨立	2	độc lập	independence, independency
3479	1470.00		獨立	2	độc lập	independence, independency
3565	1481.00	U+732B	猫	1	mèo	cat
298	1491.00		婆𡥵	2	bà con	relative; relationship; neighbour
389	1491.00		婆𡥵	2	bà con	relative; relationship; neighbour
3021	1503.00		感恩	2	cảm ơn	thanks, thank you
3577	1503.00		感恩	2	cảm ơn	thanks, thank you
3567	1505.00	U+7881	碁	1	cờ	chess
9	1508.00		呐𪜀	2	nói là	reportedly, supposedly
353	1508.00		呐𪜀	2	nói là	reportedly, supposedly
2596	1512.00		才能	2	tài năng	talent, ability
3436	1512.00		才能	2	tài năng	talent, ability
3481	1516.00		危險	2	nguy hiểm	dangerous, risky, perilous
3880	1516.00		危險	2	nguy hiểm	dangerous, risky, perilous
1437	1520.00		觀點	2	quan điểm	point of view
1693	1520.00		觀點	2	quan điểm	point of view
3569	1525.00	U+53E3	口	1	khẩu	【mouth; entrance; gate】*
65	1528.00		如空	2	như không	useless
155	1528.00		如空	2	như không	useless
980	1530.00		部長	2	bộ trưởng	minister
1090	1530.00		部長	2	bộ trưởng	minister
1694	1534.00		地點	2	địa điểm	location, place, site
3598	1534.00		地點	2	địa điểm	location, place, site
2904	1542.00		律師	2	luật sư	lawyer, advocate
3292	1542.00		律師	2	luật sư	lawyer, advocate
1744	1549.00		思想	2	tư tưởng	thoughts
1839	1554.00		襖𨱽	2	áo dài	tunic, dress
2558	1554.00		襖𨱽	2	áo dài	tunic, dress
3105	1555.00		結合	2	kết hợp	to combine, to coordinate
3207	1555.00		結合	2	kết hợp	to combine, to coordinate
327	1556.00		軍事	2	quân sự	military affairs
2326	1556.00		軍事	2	quân sự	military affairs
130	1562.00		𫥨𠓨	2	ra vào	to go in and out
186	1562.00		𫥨𠓨	2	ra vào	to go in and out
31	1563.00		固欺	2	có khi	sometimes; perhaps, maybe
170	1563.00		固欺	2	có khi	sometimes; perhaps, maybe
471	1570.00		長成	2	trưởng thành	to grow up; mature
1091	1570.00		長成	2	trưởng thành	to grow up; mature
3575	1573.00	U+6069	恩	1	ơn	favour; 【kindness, mercy】*
3582	1575.00	U+9650	限	1	hạn	limit; term
100	1576.00		於吏	2	ở lại	to remain, to stay
207	1576.00		於吏	2	ở lại	to remain, to stay
279	1580.00		𠫾戈	2	đi qua	to go across, to cross
504	1580.00		𠫾戈	2	đi qua	to go across, to cross
3584	1582.00	U+5A92	媒	1	môi	【medium, intermediary, agent, go-between】*
1708	1586.00		卒業	2	tốt nghiệp	to graduate
2958	1586.00		卒業	2	tốt nghiệp	to graduate
1020	1596.00		吀纇	2	xin lỗi	to beg for pardon; Excuse me! Sorry!
3406	1596.00		吀纇	2	xin lỗi	to beg for pardon; Excuse me! Sorry!
1555	1597.00		聰明	2	thông minh	intelligent; clever
2590	1597.00		聰明	2	thông minh	intelligent; clever
760	1607.00		分𡘯	2	phần lớn	the most, the lion's share, bulk
1396	1607.00		分𡘯	2	phần lớn	the most, the lion's share, bulk
1057	1609.00		主要	2	chủ yếu	main
2782	1609.00		主要	2	chủ yếu	main
3588	1611.00	U+8B49	證	1	chứng	evidence, proof
1231	1614.00		反對	2	phản đối	to oppose, to object (to)
3346	1614.00		反對	2	phản đối	to oppose, to object (to)
3592	1622.00	U+97FF	響	1	hưởng	【to make noise; sound】*
584	1628.00		𠃣一	2	ít nhất	at least
2430	1628.00		𠃣一	2	ít nhất	at least
3356	1629.00		宗教	2	tôn giáo	religious
731	1640.00		工人	2	công nhân	worker; blue-collar worker
2006	1640.00		工人	2	công nhân	worker; blue-collar worker
3027	1641.00		佛教	2	phật giáo	buddhism
3357	1641.00		佛教	2	phật giáo	buddhism
2998	1646.00		戰鬥	2	chiến đấu	to fight, to combat
3333	1646.00		戰鬥	2	chiến đấu	to fight, to combat
3595	1651.00	U+237EE	𣟮	1	mềm	soft; tender
450	1652.00		别包	2	biết bao	so much, so many
3071	1652.00		别包	2	biết bao	so much, so many
3596	1655.00	U+5730	地	1	địa	【earth, soil, ground】*
3614	1656.00	U+9593	間	1	gian	【space, interval; between】*
93	1657.00		各位	2	các vị	ladies and gentlemen, everybody; you (plural)
1937	1657.00		各位	2	các vị	ladies and gentlemen, everybody; you (plural)
451	1661.00		分别	2	phân biệt	to distinguish, to discern, to discriminate
1397	1661.00		分别	2	phân biệt	to distinguish, to discern, to discriminate
837	1662.00		情形	2	tình hình	situation
1259	1662.00		情形	2	tình hình	situation
2356	1667.00		回教	2	hồi giáo	islam
3358	1667.00		回教	2	hồi giáo	islam
452	1672.00		曉别	2	hiểu biết	to know, to be familiar with
1873	1672.00		曉别	2	hiểu biết	to know, to be familiar with
3616	1674.00	U+571F	土	1	thổ	earch; soil
90	1681.00		朱𢧚	2	cho nên	therefore, hence
445	1681.00		朱𢧚	2	cho nên	therefore, hence
789	1685.00		塘庯	2	đường phố	street
2712	1685.00		塘庯	2	đường phố	street
346	1692.00		台爲	2	thay vì	instead of
2879	1692.00		台爲	2	thay vì	instead of
575	1695.00		姉㛪	2	chị em	sisters; siblings
930	1695.00		姉㛪	2	chị em	sisters; siblings
2835	1699.00		皇帝	2	hoàng đế	emperor
3619	1707.00	U+7AF6	競	1	cạnh	【to compete】*
3599	1708.00		地址	2	địa chỉ	address
3622	1708.00		地址	2	địa chỉ	address
2007	1711.00		主人	2	chủ nhân	master, owner
2783	1711.00		主人	2	chủ nhân	master, owner
1737	1713.00		𠾕𠳨	2	đòi hỏi	require
1438	1716.00		參觀	2	tham quan	to go for a sightseeing
2683	1716.00		參觀	2	tham quan	to go for a sightseeing
347	1718.00		爲牢	2	vì sao	why
1282	1718.00		爲牢	2	vì sao	why
3621	1721.00	U+5740	址	1	chỉ	【site, location】*
949	1724.00		祖國	2	tổ quốc	fatherland
3189	1724.00		祖國	2	tổ quốc	fatherland
3624	1725.00	U+5931	失	1	thất	【to lose; to make a mistake】*
3627	1732.00	U+66C6	曆	1	lịch	calendar
3629	1732.00	U+6B77	歷	1	lịch	【passing, successive, throughout; past, historic】*
3632	1735.00	U+4ED6	他	1	thà	rather, better
2295	1739.00		生𤯨	2	sinh sống	to live
3922	1740.00		乙𖿱	2	út	youngest, smallest; little
32	1742.00		固條	2	có điều	except, just, only that...
748	1742.00		固條	2	có điều	except, just, only that...
3634	1748.00	U+5E78	幸	1	hạnh	【luck, fortunate】*
3637	1748.00	U+674F	杏	1	hạnh	apricot tree
453	1750.00		恪别	2	khác biệt	different, unequal
480	1750.00		恪别	2	khác biệt	different, unequal
3639	1751.00	U+51FA	出	1	xuất	 【to go out; to produce】*
2959	1760.00		營業	2	doanh nghiệp	trade, business
3742	1760.00		營業	2	doanh nghiệp	trade, business
3645	1764.00	U+53CA	及	1	cập	to land, to lay alongside; 【to reach, to arrive】*
3648	1768.00	U+25F98	𥾘	1	sợi	fibre; filament
54	1771.00		特色	2	đặc sắc	special, of special quality
3279	1771.00		特色	2	đặc sắc	special, of special quality
2194	1798.00		物體	2	vật thể	body, object
3082	1798.00		物體	2	vật thể	body, object
1595	1805.00		大使	2	đại sứ	ambassador
3327	1805.00		大使	2	đại sứ	ambassador
724	1812.00		文明	2	văn minh	civilization, culture, civilized, cultured
1556	1812.00		文明	2	văn minh	civilization, culture, civilized, cultured
3650	1813.00	U+7B97	算	1	toán	【to count, to calculate, to plan】*
2550	1828.00		払𤳇	2	chàng trai	fellow, lad
3015	1828.00		払𤳇	2	chàng trai	fellow, lad
585	1829.00		一定	2	nhất định	to decide; determined; inevitable
2280	1829.00		一定	2	nhất định	to decide; determined; inevitable
916	1830.00		𢂞媄	2	bố mẹ	mom and dad, parents
2769	1830.00		𢂞媄	2	bố mẹ	mom and dad, parents
280	1833.00		𠫾步	2	đi bộ	to walk (on foot); to stroll
975	1833.00		𠫾步	2	đi bộ	to walk (on foot); to stroll
415	1834.00		𣋚𡢐	2	hôm sau	the next day, the following day
1642	1834.00		𣋚𡢐	2	hôm sau	the next day, the following day
3653	1835.00	U+593E	夾	1	giáp	bordering, adjacent, near
3659	1838.00	U+6F22	漢	1	hán	【Chinese; Chinese language】*
732	1842.00		工藝	2	công nghệ	craft, industry
2375	1842.00		工藝	2	công nghệ	craft, industry
3663	1843.00	U+574A	坊	1	phường	ward, urban subdistrict
1105	1847.00		𨷶行	2	cửa hàng	shop, store
1893	1847.00		𨷶行	2	cửa hàng	shop, store
1233	1860.00		人類	2	nhân loại	mankind, humanity, human race
2008	1860.00		人類	2	nhân loại	mankind, humanity, human race
3664	1861.00	U+82F1	英	1	anh	England; english; 【brave, hero; petal, flower】*
3670	1867.00	U+8A9E	語	1	ngữ	【language】*
3676	1869.00	U+4E8C	二	1	nhì	【two】*
1106	1876.00		行客	2	hành khách	passenger
2056	1876.00		行客	2	hành khách	passenger
354	1878.00		呐終	2	nói chung	generally speaking
2107	1878.00		呐終	2	nói chung	generally speaking
97	1879.00		茹碎	2	nhà tôi	my husband, my wife; my house; my family
254	1879.00		茹碎	2	nhà tôi	my husband, my wife; my house; my family
924	1882.00		𡀯情	2	chuyện tình	romance
1260	1882.00		𡀯情	2	chuyện tình	romance
101	1886.00		茹於	2	nhà ở	dwelling, residential building
255	1886.00		茹於	2	nhà ở	dwelling, residential building
140	1887.00		偀姉	2	anh chị	elder brother and elder sister
931	1887.00		偀姉	2	anh chị	elder brother and elder sister
33	1893.00		兜固	2	đâu có	not at all
1333	1893.00		兜固	2	đâu có	not at all
545	1895.00		歲𥘷	2	tuổi trẻ	youth
895	1895.00		歲𥘷	2	tuổi trẻ	youth
3680	1908.00	U+8C6B	豫	1	dựa	to lean on; to stand against
3682	1916.00	U+76D2	盒	1	hộp	box, case
2028	1925.00		保險	2	bảo hiểm	insurance, to insure
3881	1925.00		保險	2	bảo hiểm	insurance, to insure
1974	1928.00		𣇜𤎜	2	buổi sáng	morning
2165	1928.00		𣇜𤎜	2	buổi sáng	morning
3684	1932.00	U+5AE9	嫩	1	non	young, tender, green; premature; mild
3686	1932.00	U+21F6B	𡽫	1	non	mountain
2376	1934.00		藝業	2	nghề nghiệp	occupation, profession, career
2960	1934.00		藝業	2	nghề nghiệp	occupation, profession, career
3690	1945.00	U+8AD6	論	1	luận	to debate, to discuss; essay
1081	1951.00		飛場	2	phi trường	airport
2441	1951.00		飛場	2	phi trường	airport
999	1955.00		鬥爭	2	đấu tranh	to fight, to struggle for
3334	1955.00		鬥爭	2	đấu tranh	to fight, to struggle for
586	1958.00		統一	2	thống nhất	united, to unite, to unify
2081	1958.00		統一	2	thống nhất	united, to unite, to unify
530	1959.00		𨷶数	2	cửa sổ	window
1894	1959.00		𨷶数	2	cửa sổ	window
3699	1964.00	U+84EE	蓮	1	sen	lotus, water lily
3702	1965.00	U+795D	祝	1	chúc	to wish so. sth.
17	1967.00		𠬠𣅶	2	một lúc	a moment
665	1967.00		𠬠𣅶	2	một lúc	a moment
2217	1972.00		聯係	2	liên hệ	to contact (someone), to connect
3772	1972.00		聯係	2	liên hệ	to contact (someone), to connect
1829	1978.00		主日	2	chủ nhật	sunday
2784	1978.00		主日	2	chủ nhật	sunday
1855	1979.00		都市	2	đô thị	city
2152	1979.00		都市	2	đô thị	city
256	1981.00		茹𨷶	2	nhà cửa	house, dwelling
1895	1981.00		茹𨷶	2	nhà cửa	house, dwelling
3707	1992.00	U+5C55	展	1	triển	【to open, to extend】*
622	1993.00		太平	2	thái bình	peace and secure
2309	1993.00		太平	2	thái bình	peace and secure
1168	2009.00		排學	2	bài học	lesson
1771	2009.00		排學	2	bài học	lesson
355	2019.00		㗂呐	2	tiếng nói	language, tongue
776	2019.00		㗂呐	2	tiếng nói	language, tongue
3709	2036.00	U+21255	𡉕	1	hòn	hill; small island; ball, piece
2247	2037.00		電子	2	điện tử	electron; electronic
2605	2037.00		電子	2	điện tử	electron; electronic
1994	2045.00		程度	2	trình độ	level, degree, standard
2315	2045.00		程度	2	trình độ	level, degree, standard
1627	2048.00		輪輪	2	luôn luôn	continously, always
1772	2051.00		排欱	2	bài hát	song
2075	2051.00		排欱	2	bài hát	song
3735	2053.00		必然	2	tất nhiên	naturally, of course, inevitably
3767	2053.00		必然	2	tất nhiên	naturally, of course, inevitably
525	2054.00		𣇞低	2	giờ đây	now; nowadays
1614	2054.00		𣇞低	2	giờ đây	now; nowadays
171	2056.00		欺芇	2	khi nào	when
632	2056.00		欺芇	2	khi nào	when
2619	2060.00		權力	2	quyền lực	power, might, authority
3543	2060.00		權力	2	quyền lực	power, might, authority
3711	2062.00	U+4EF6	件	1	kiện	item; case; matter; to sue
3713	2065.00	U+8FD1	近	1	cận	near, close
3716	2072.00	U+5DFE	巾	1	khăn	towel
702	2082.00		﨤憢	2	gặp nhau	to meet each other
1533	2082.00		﨤憢	2	gặp nhau	to meet each other
3719	2086.00	U+820D	舍	1	xá	【house, dwelling】*
221	2089.00		時節	2	thời tiết	weather
2627	2089.00		時節	2	thời tiết	weather
3721	2092.00	U+8A5E	詞	1	từ	word; phrase
2195	2094.00		動物	2	động vật	animal
2926	2094.00		動物	2	động vật	animal
3730	2099.00	U+22A6E	𢩮	1	dắt	to lead; to tow; to guide
66	2103.00		航空	2	hàng không	aviation
1118	2103.00		航空	2	hàng không	aviation
1169	2104.00		學習	2	học tập	to study, to learn
364	2111.00		𣈜𡢐	2	ngày sau	in a distant future
416	2111.00		𣈜𡢐	2	ngày sau	in a distant future
2357	2112.00		回音	2	hồi âm	to reply
3487	2112.00		回音	2	hồi âm	to reply
2772	2118.00		天下	2	thiên hạ	the whole (inhabited) world
3128	2118.00		天下	2	thiên hạ	the whole (inhabited) world
108	2123.00		翁𦓅	2	ông già	elderly man; father
2638	2123.00		翁𦓅	2	ông già	elderly man; father
1042	2128.00		咹㕵	2	ăn uống	to eat and drink; food intake
2798	2128.00		咹㕵	2	ăn uống	to eat and drink; food intake
299	2132.00		𥘷𡥵	2	trẻ con	child; childish
896	2132.00		𥘷𡥵	2	trẻ con	child; childish
2484	2137.00		預見	2	dự kiến	to predict, to foresee, to anticipate
2923	2137.00		預見	2	dự kiến	to predict, to foresee, to anticipate
3731	2152.00	U+2139D	𡎝	1	cõi	world; country, region
2514	2154.00		界限	2	giới hạn	limit; term; bound
3583	2154.00		界限	2	giới hạn	limit; term; bound
902	2167.00		𠸜噲	2	tên gọi	name
2066	2167.00		𠸜噲	2	tên gọi	name
180	2171.00		豫𨕭	2	dựa trên	to found (sth.) on
3681	2171.00		豫𨕭	2	dựa trên	to found (sth.) on
3511	2173.00		提及	2	đề cập	to mention something
3646	2173.00		提及	2	đề cập	to mention something
1008	2196.00		𢺺𢬣	2	chia tay	to say good bye; to go shares
3181	2196.00		𢺺𢬣	2	chia tay	to say good bye; to go shares
3732	2199.00	U+7562	畢	1	tất	all, whole; 【finish, complete】*
3734	2199.00	U+5FC5	必	1	tất	surely, of course
10	2225.00		咍𪜀	2	hay là	or
427	2225.00		咍𪜀	2	hay là	or
208	2243.00		𢖵吏	2	nhớ lại	to reminisce
1728	2243.00		𢖵吏	2	nhớ lại	to reminisce
593	2245.00		𠓀𩈘	2	trước mặt	in the presence of, facing, directly in front of so.
1241	2245.00		𠓀𩈘	2	trước mặt	in the presence of, facing, directly in front of so.
531	2247.00		𣘃数	2	cây số	milestone; kilometer
1498	2247.00		𣘃数	2	cây số	milestone; kilometer
3390	2270.00		能量	2	năng lượng	energy
3437	2270.00		能量	2	năng lượng	energy
903	2273.00		噠𠸜	2	đặt tên	to name, to give a name
1885	2273.00		噠𠸜	2	đặt tên	to name, to give a name
1082	2280.00		場學	2	trường học	school
1170	2280.00		場學	2	trường học	school
3737	2282.00	U+7B2C	第	1	đệ	【sequence, number】*
365	2297.00		𣈜禮	2	ngày lễ	holiday; feast-day
935	2297.00		𣈜禮	2	ngày lễ	holiday; feast-day
3740	2299.00	U+71DF	營	1	doanh	【to manage; barracks, casern, encampment】*
1338	2301.00		音聲	2	âm thanh	sound
3488	2301.00		音聲	2	âm thanh	sound
3750	2308.00	U+706B	火	1	hoả	【fire, flame; anger, rage】*
1468	2315.00		排報	2	bài báo	article (in a newspaper)
1773	2315.00		排報	2	bài báo	article (in a newspaper)
228	2335.00		丕㖘	2	vậy thì	therefore, so
1306	2335.00		丕㖘	2	vậy thì	therefore, so
1480	2336.00		版圖	2	bản đồ	(geographical) map
2734	2336.00		版圖	2	bản đồ	(geographical) map
640	2338.00		𨅸頭	2	đứng đầu	to head, to be at the head of
2128	2338.00		𨅸頭	2	đứng đầu	to head, to be at the head of
3208	2340.00		集合	2	tập hợp	collection
1269	2353.00		海外	2	hải ngoại	abroad, overseas
2750	2353.00		海外	2	hải ngoại	abroad, overseas
374	2356.00		𢷮㵋	2	đổi mới	to innovate, to renovate
3252	2356.00		𢷮㵋	2	đổi mới	to innovate, to renovate
532	2361.00		民数	2	dân số	population
1026	2361.00		民数	2	dân số	population
619	2366.00		凭證	2	bằng chứng	evidence, proof
3589	2366.00		凭證	2	bằng chứng	evidence, proof
1472	2367.00		基本	2	cơ bản	base, foundation; basic, fundamental
2748	2367.00		基本	2	cơ bản	base, foundation; basic, fundamental
761	2375.00		𡚢𡘯	2	to lớn	big and tall; bulky; great
2889	2375.00		𡚢𡘯	2	to lớn	big and tall; bulky; great
3754	2378.00	U+5582	喂	1	ôi	oh
3756	2386.00	U+5F97	得	1	None	
472	2398.00		成分	2	thành phần	ingredient; component; composition; social back-ground
1398	2398.00		成分	2	thành phần	ingredient; component; composition; social back-ground
936	2399.00		旬禮	2	tuần lễ	week
1786	2399.00		旬禮	2	tuần lễ	week
3757	2400.00	U+2412F	𤄯	1	trong	clear, pure
3759	2423.00	U+27FC6	𧿆	1	dãy	row, chain, series
3761	2433.00	U+20CD0	𠳐	1	vâng	yes, all right
257	2435.00		茹欱	2	nhà hát	theatre
2076	2435.00		茹欱	2	nhà hát	theatre
1889	2441.00		評論	2	bình luận	to comment on
3691	2441.00		評論	2	bình luận	to comment on
3764	2445.00	U+7136	然	1	nhiên	【so, like that】*
950	2469.00		外國	2	ngoại quốc	alien, foreign country
1270	2469.00		外國	2	ngoại quốc	alien, foreign country
576	2476.00		㛪𡮣	2	em bé	little child; baby
2141	2476.00		㛪𡮣	2	em bé	little child; baby
3768	2478.00	U+8A00	言	1	ngôn	【speech; to speak】*
1488	2487.00		易傷	2	dễ thương	lovely, likeable, nice
2700	2487.00		易傷	2	dễ thương	lovely, likeable, nice
633	2488.00		分芇	2	phần nào	to some extent, to a certain degree
1399	2488.00		分芇	2	phần nào	to some extent, to a certain degree
3125	2493.00		祖先	2	tổ tiên	ancestor, forefather
3190	2493.00		祖先	2	tổ tiên	ancestor, forefather
733	2494.00		工業	2	công nghiệp	industry
2961	2494.00		工業	2	công nghiệp	industry
1975	2506.00		𤄯𤎜	2	trong sáng	pure, bright
3758	2506.00		𤄯𤎜	2	trong sáng	pure, bright
131	2507.00		𠓨曠	2	vào khoảng	about, around, circa
1423	2507.00		𠓨曠	2	vào khoảng	about, around, circa
1027	2508.00		民廊	2	dân làng	villager, villagers
1453	2508.00		民廊	2	dân làng	villager, villagers
3770	2511.00	U+4FC2	係	1	hệ	【to relate to, to connect】*
3774	2511.00	U+7CFB	系	1	hệ	system, branch
1445	2522.00		教員	2	giáo viên	teacher, instructor
3359	2522.00		教員	2	giáo viên	teacher, instructor
1171	2524.00		學者	2	học giả	scholar, literary man
3226	2524.00		學者	2	học giả	scholar, literary man
594	2536.00		𪰂𠓀	2	phía trước	in the front
1996	2536.00		𪰂𠓀	2	phía trước	in the front
281	2542.00		𠫾𨔈	2	đi chơi	to go out; to be out
2188	2542.00		𠫾𨔈	2	đi chơi	to go out; to be out
2327	2546.00		海軍	2	hải quân	naval forces, navy
2751	2546.00		海軍	2	hải quân	naval forces, navy
641	2547.00		𨷑頭	2	mở đầu	to initiate, to begin, to start
2084	2547.00		𨷑頭	2	mở đầu	to initiate, to begin, to start
514	2553.00		總共	2	tổng cộng	in total, altogether
1492	2553.00		總共	2	tổng cộng	in total, altogether
282	2555.00		𠬃𠫾	2	bỏ đi	to leave
1909	2555.00		𠬃𠫾	2	bỏ đi	to leave
3777	2566.00	U+885B	衛	1	vệ	【to guard, to protect】*
3782	2576.00	U+4F35	伵	1	tớ	servant; I, my, me
78	2578.00		㐌𥹰	2	đã lâu	long ago
1916	2578.00		㐌𥹰	2	đã lâu	long ago
1000	2582.00		競爭	2	cạnh tranh	to compete
3620	2582.00		競爭	2	cạnh tranh	to compete
1482	2583.00		適合	2	thích hợp	to fit, to suit, suitable
3209	2583.00		適合	2	thích hợp	to fit, to suit, suitable
3784	2596.00	U+9B5A	魚	1	ngư	【fish】*
1830	2620.00		生日	2	sinh nhật	birthday, day of birth
2296	2620.00		生日	2	sinh nhật	birthday, day of birth
2089	2624.00		朝廷	2	triều đình	court
951	2630.00		國防	2	quốc phòng	national defence
1930	2630.00		國防	2	quốc phòng	national defence
2281	2634.00		預定	2	dự định	to project, to plan, to schedule
2485	2634.00		預定	2	dự định	to project, to plan, to schedule
258	2635.00		茹𤤰	2	nhà vua	king
2002	2635.00		茹𤤰	2	nhà vua	king
505	2643.00		𣋚戈	2	hôm qua	yesterday
1643	2643.00		𣋚戈	2	hôm qua	yesterday
963	2644.00		高級	2	cao cấp	high-class, high-ranking, high-grade
2159	2644.00		高級	2	cao cấp	high-class, high-ranking, high-grade
2396	2659.00		最多	2	tối đa	maximum, maximal
3561	2659.00		最多	2	tối đa	maximum, maximal
764	2680.00		庄埃	2	chẳng ai	nobody
1657	2680.00		庄埃	2	chẳng ai	nobody
3788	2683.00	U+57F7	執	1	chấp	【to execute; to grasp, to seize】*
1837	2685.00		𠁂𡮣	2	đứa bé	a child
2142	2685.00		𠁂𡮣	2	đứa bé	a child
2116	2702.00		最少	2	tối thiểu	minimum, minimal
2397	2702.00		最少	2	tối thiểu	minimum, minimal
3791	2704.00	U+65A4	斤	1	cân	to weigh; scale, balance; weight; kilogram
3793	2719.00	U+52B8	劸	1	khoẻ	healthy, strong
1107	2744.00		學行	2	học hành	to learn, to study
1172	2744.00		學行	2	học hành	to learn, to study
1806	2754.00		歐洲	2	âu châu	Europe
3118	2754.00		歐洲	2	âu châu	Europe
283	2759.00		塘𠫾	2	đường đi	way, footway
790	2759.00		塘𠫾	2	đường đi	way, footway
187	2767.00		𠫾𫥨	2	đi ra	to step out, to leave (a room)
284	2767.00		𠫾𫥨	2	đi ra	to step out, to leave (a room)
