index	sequence_index	section	thai	phonetic	register	definition	note	custom-note
1170	10	59	เข้ามาได้ยังไง	kâo-maa dâi yang-ngai		How did you get in here?!		
1171	11	59	ตั้งใจฟังให้ดี	dtâng-jai fang hâi-dii		Listen carefully! / Listen to me carefully!		
1172	12	59	ถามไปแล้ว	tǎam bpai lɛ́ɛo		(I) asked already.		
1173	13	59	เก็บเป็นความลับ	gèp bpen kwaam-láp		Keep it (a) secret.		
1174	14	59	มีเรื่องสำคัญจะบอก	mii rʉ̂ang sǎm-kan jà bɔ̀ɔk (		I) have something important to tell you.		
1175	15	59	…ดีพอสำหรับฉัน	…dii pɔɔ sǎm-ràp chǎn		…is good enough for me.		
1176	16	59	มีแฟนหรือยัง	mii fɛɛn rʉ̌ʉ yang		Do you have a boy/girlfriend?		
1177	17	59	ยังไม่นอนอีกเหรอ	yang mâi nɔɔn ìik rə̌ə		Are you still awake? / You’re still up? / You’re not sleeping yet?		
1178	18	59	ไม่มีใครรักฉัน	mâi-mii-krai rák chǎn		No one loves me! / Nobody loves me!		
1179	19	59	ดูไม่ดีเลย	duu mâi-dii ləəi		(You) don’t look so good. / (You) don’t look well. / (It) doesn’t look (so) good.		
1180	20	59	ไม่มีอะไรพิเศษ	mâi-mii-à-rai pí-sèet		Nothing special. / I didn’t do anything special.		
1181	1	60	ใช่ใช่ใช่	châi châi châi		Yes! Yes! Yes! / Yeah, yeah, yeah.		
1182	2	60	ไม่ไม่ไม่	mâi mâi mâi		No! No! No! / No, no, no.		
1183	3	60	เอาไหม(ครับ/คะ)	ao mǎi (kráp/ká)		Do you want one? / Do you want some? / Want some?		
1184	4	60	ยังไม่แน่ใจ	yang mâi-nɛ̂ɛ-jai		(I)’m not sure yet.		
1185	5	60	ได้โปรด	dâi-bpròot	FORMAL	Please! / Please…		
1186	6	60	ผมมีนัดกับ(คุณ... )	pǒm mii nát gàp (kun...)		I have an appointment with…		
1187	7	60	เป็นผมเอง	bpen pǒm eeng		That’s me. / That was me.		
1188	8	60	ไม่อยากรู้	mâi-yàak rúu		(I) don’t wanna know.		
1189	9	60	ผมชอบกิน(มะม่วง)	pǒm chɔ̂ɔp gin (má-mûang)		I like (mangoes).		
1190	10	60	ชอบกิน(มะม่วง)เรือ	chɔ̂ɔp gin (má-mûang) rə̌ə		Do you like (mangoes)?		
1191	11	60	ชอบกินมาก	chɔ̂ɔp gin maâk		I love them. / I love it.		
1192	12	60	ผมไม่ชอบกิน(มะม่วง)	pǒm mâi chɔ̂ɔp gin (má-mûang)		I don’t like (mangoes).		
1193	13	60	น่ากิน(จังเลย)	nâa-gin (jang ləəi)		Looks good! / Looks delicious! / Yum!		
1194	14	60	(ฉัน)ไม่อยากไป	(chǎn) mâi-yàak bpai (		I) don’t wanna go.		
1195	15	60	ปวดหัว	bpùat-hǔa		I have a headache.		
1196	16	60	ยังไม่ตาย	yang mâi dtaai		You’re still alive. / You’re not dead yet!		
1197	17	60	นี่(ครับ/ค่ะ)	nîi (kráp/kà)		Here you are. / Here you go. (handing something to someone)		
1198	18	60	เยี่ยม	yîam		Great! / Excellent!		
1199	19	60	ตลกดี(นะ)	dtà-lòk dii (ná)		That’s funny! / He’s funny.		
1200	20	60	เดี๋ยวๆ(ๆ)	dǐao-dǐao		Wait, wait. / Whoa—wait a second.		
1201	1	61	ตกใจหมดเลย	dtòk-jai mòt ləəi		You scared me! / You scared the hell out of me! / I was shocked!		
1202	2	61	มันเป็นเรื่องบังเอิญ	man bpen rʉ̂ang-bang-əən		It’s a coincidence.		
1203	3	61	หน้าเด็กจัง	nâa dèk jang		(You) look so young! / (You) have such a baby face!		
1204	4	61	มีเคล็ดลับอะไร	mii klét-láp à-rai		What’s your secret? (to looking young, etc.)		
1205	5	61	ขยันจัง(เลย)	kà-yǎn jang (ləəi) (		You)’re so hardworking! / So diligent! / (You)’re such a hard worker!		
1206	6	61	ตอบตกลง	dtɔ̀ɔp dtòk-long		Say yes. / Said yes. (answered yes and agreed to something)		
1207	7	61	(พี่)มาหาเพื่อน	(pîi) maa-hǎa pʉ̂an (		I) came to visit a friend. / (I)’m visiting a friend.	The speaker uses พี่ (pîi) here because s/he is older than the listener.	
1208	8	61	คุณต้องเข้าใจ(นะครับ)(... )	kun dtɔ̂ng kâo-jai (ná-kráp) (…)		You have to understand(…)		
1209	9	61	เป็นเพื่อนกันตลอดไป	bpen pʉ̂ang gan dtà-lɔ̀ɔt-bpai (		We’ll be) friends forever.		
1210	10	61	เกิดอุบัติเหตุขึ้น	gə̀ət ù-bàt-dtì-hèet kʉ̂n		There was an accident. / There’s been an accident.		
1211	11	61	ดูท่าว่า	... duu tâa-wâa...		It seems like… / It looks like…		
1212	12	61	ขายไม่ออก	kǎai-mâi-ɔ̀ɔk		(We) can’t sell it. / (We) were unable to sell them.		
1213	13	61	เหมือนเทพนิยาย	mʉ̌an têep-ní-yaai		(It’s) like a fairy tale.		
1214	14	61	ใครเล่นเป็น(นางเอก)	krai lên bpen (naang-èek)		Who (plays) the (lead actress)?		
1215	15	61	เขาเสียเลือดมาก	kǎo sǐa lʉ̌at mâak		He lost a lot of blood. (in an accident, an operation, etc.)		
1216	16	61	ทุกอย่างเรียบร้อยดี	túk-yàang rîap-rɔ́ɔi-dii		Everything’s fine. / Everything’s under control. / Everything’s all right.		
1217	17	61	คุณต้องสัญญากับผม	kun dtɔ̂ng sǎn-yaa gàp pǒm		You have to promise me. / You must promise me.		
1218	18	61	ทะเลาะเรื่องอะไร	tá-lɔ́ rʉ̂ang à-rai		What were (you) arguing about? / What did (you) have a fight about?		
1219	19	61	ขอตัวไปนอนก่อน	kɔ̌ɔ-dtua bpai nɔɔn gɔ̀ɔn		I’m going to bed. / I’m gonna turn in now.		
1220	20	61	มันจั๊กจี้	man ják-gà-jîi		It tickles!		
1221	1	62	ฝันไปเถอะ	fǎn bpai tə̀		In your dreams! / You’re dreaming! / Dream on!		
1222	2	62	จะเริ่มตรงไหนดี(ครับ)	jà rə̂əm dtrong-nǎi dii (kráp)		Where do I start? / Where do I begin?		
1223	3	62	(ฉัน)ไม่ได้ข่าวจาก(เขา)	(chǎn) mâi-dâi kàao jàak (kǎo) (		I) haven’t heard from (him).		
1224	4	62	มีอะไรมากกว่านั้น	mii à-rai mâak-gwàa nán		There’s something more. / There’s something else.		
1225	5	62	ข่าวล่าสุด	kàao lâa-sùt		The latest / The latest news		
1226	6	62	แต่ละคนมีนิยาม(ความสุข)ที่ต่างกัน	dtɛ̀ɛ-lá kon mii ní-yaam (kwaam-sùk) tîi dtàang-gan		Everyone/Each of us has a different definition of (happiness).		
1227	7	62	…วันรุ่งขึ้น	...  ...wan-rûng-kʉ̂n...	SEMI-LITERARY	The next day… / …the next day.		
1228	8	62	() ถูกยกให้เป็น(รถที่ปลอดภัยที่สุด) ()	tùuk-yók-hâi-bpen (rót tîi bplɔ̀ɔt-pai tîi-sùt)		() is considered to be (the safest car). / () was called (the safest car). / () was described as (the safest car).		
1229	9	62	นั่นแหละชีวิต	nân-lɛ̀ chii-wít		That’s life!		
1230	10	62	ไม่เคยมีประสบการณ์มาก่อน	mâi-kəəi mii bprà-sop-gaan maa-gɔ̀ɔn (		I) have no experience. / (I) have no previous experience.		
1231	11	62	ไม่จำเป็นต้องมีประสบการณ์มาก่อน	mâi-jam-bpen dtɔ̂ng mii bprà-sop-gaan maa-gɔ̀ɔn		No experience necessary. / You don’t need to have any previous experience.		
1232	12	62	ไม่ได้มีแต่(อาหาร แต่ยังมี กาแฟ และ…)	mâi-dâi mii dtɛ̀ɛ (aa-hǎan dtɛ̀ɛ		yang mii gaa-fɛɛ lɛ́...)/(Our restaurant) doesn’t only/just have (food, but we have coffee and…)		
1233	13	62	(…)อีกไม่กี่วัน(... ) (…)	ìik-mâi-gìi wan(…)		In (just) a few days(…) / …any day (now).		
1234	14	62	(…)อีกไม่กี่นาที(... ) (…)	ìik-mâi-gìi naa-tii(…)		In (just) a few minutes(…) / …any minute (now).		
1235	15	62	หล่นมาจาก(ฟ้า)	lòn maa-jàak (fáa) (		It) fell out of/dropped from (the sky).		
1236	16	62	(เรื่องนี้)สอนให้รู้ว่า	... (rʉ̂ang níi) sɔ̌ɔn hâi rúu wâa...		The moral of the story is… / It teaches (us)…		
1237	17	62	ไม่มีร่องรอย(การต่อสู้)	mâi-mii rɔ̂ng-rɔɔi (gaan-dtɔ̂ɔ-sûu)		There was no trace/sign (of a struggle).		
1238	18	62	ทำ(ความ)ฝันให้เป็นจริง	tam-(kwaam)fǎn -hai-bpen-jing		Make a dream come true. / Make a dream become reality.		
1239	19	62	แน่อยู่แล้ว	nɛ̂ɛ yùu-lɛ́ɛo		Sure. / I’m sure it was. / Absolutely. / Of course (it is).		
1240	20	62	สับสนไปหมด	sàp-sǒn bpai mot		I’m so confused! / It’s so confusing!		
1241	1	63	ฉันท้อง	chǎn tɔ́ɔng		I’m pregnant!		
1242	2	63	ขับช้าๆ	kàp chá-chá		Drive slowly.		
1243	3	63	ระวังหน่อย	rá-wang nɔ̀i		Be careful. / Watch it!		
1244	4	63	เห็น… ไหม	hěn... mǎi		Did you see…? / Have you seen…?		
1245	5	63	ไม่เห็น(นะ)	mâi-hěn (ná)		No, (I) didn’t/haven’t. / No.		
1246	6	63	อีกนิดหนึ่ง	ìik nít-nʉ̀ng		A bit more. / A little more.		
1247	7	63	คุณพูดถูก	kun pûut tùuk		You’re right. / You were right. (what you said is true)		
1248	8	63	คุณพูดผิด	kun pûut pìt		You’re wrong. / You were wrong. (what you said isn’t true)		
1249	9	63	ไม่เท่าไร	mâi tâo-rai		Not so much. / Not really. / Not very.		
1250	10	63	สาธุ	sǎa-tú		Amen!		
1251	11	63	ขอบคุณ(มาก)นะคะคุณหมอ	kɔ̀ɔp-kun (mâak) ná-ká kun mɔ̌ɔ		Thank you (very much) Doctor.		
1252	12	63	สัญญากับผม(ว่า... )	sǎn-yaa gàp pǒm (wâa...)		Promise me (that...)		
1253	13	63	กุญแจอยู่ในรถ	gun-jɛɛ yùu nai rót		The key’s in the car. / The keys are in the car.		
1254	14	63	ดีกว่ามาก	dii-gwàa mâak		Much better.		
1255	15	63	ฝนกำลังจะตก	fǒn gam-lang jà dtòk		It’s going to rain.		
1256	16	63	มานั่ง(สิ)	maa nâng (sì)	INFORMAL	Come sit. / Come and sit down. / Come. Have a seat.		
1257	17	63	ฉัน(ก็)ไม่รู้	chǎn (gɔ̂ɔ) mâi-rúu		I don’t know.		
1258	18	63	ไม่จริง(หรอก)	mâi-jing (rɔ̀ɔk)		That’s not true! / Not true! / That’s a lie!		
1259	19	63	ดีจังเลย	dii jang ləəi		That’s great. / That’s really good.		
1260	20	63	พยายามอยู่	pá-yaa-yaam yùu		(I)’m trying.		
1261	1	64	หายไวๆนะ	hǎai wai-wai ná		Get better soon. / Get well soon.		
1262	2	64	ผมอาจจะกลับดึก	pǒm àat-jà glàp dʉ̀k		I might be late. / I might come home late.		
1263	3	64	ให้ผมไปรับไหม	hâi pǒm bpai ráp mǎi		Do you want me to pick you up?		
1264	4	64	อยากให้คุณไปด้วย	yàak hâi kun bpai dûai		I want you to go with me. / I’d like you to join me.		
1265	5	64	ไม่อยากเป็นภาระ	mâi-yàak bpen paa-rá		I don’t want to be a burden. / I don’t want to burden you.		
1266	6	64	อ่านต่อไป(เถอะ)	àan dtɔ̀ɔ-bpai (tə̀)		Keep (on) reading.		
1267	7	64	ผมไม่สน(ใจ)ว่า	... pǒm mâi-sǒn (jai) wâa...		I don’t care (if/what/that…)	ไม่สน (mâi-sǒn) is more casual.	
1268	8	64	(…)ทั้งคืนเลย (...)	táng-kʉʉn ləəi		…all night. / All night long.		
1269	9	64	อย่าลืมบอกผม	yàa lʉʉm bɔ̀ɔk pǒm		Don’t forget to tell me.		
1270	10	64	ไม่ใช่แบบนั้น(ค่ะ)	mâi-châi bɛ̀ɛp-nán (kà)		Not like that. / It’s not like that.		
1271	11	64	เร็วกว่าที่คิด	reo gwàa tîi kít		Sooner than you think. / Faster than I thought. / Earlier than expected.		
1272	12	64	รัก(เธอ)หมดใจ	rák (təə) mòt-jai		I love (her) with all my heart!		
1273	13	64	คืนดีแล้ว	kʉʉn-dii lɛ́ɛo		They’re back together again. / They’ve reconciled.		
1274	14	64	ฉันกำลังจะบอกคุณว่า	... chǎn gam-lang jà bɔ̀ɔk kun wâa...		I’m telling you… / I’m going to tell you…		
1275	15	64	จะไปไหนต่อ	jà bpai-nǎi dtɔ̀ɔ		Where are you going after this? / What are you doing/later? / Where’re we going now?		
1276	16	64	ต้องทำความสะอาดบ้าน	dtɔ̂ng tam-kwaam-sà-àat bâan (		I) have to clean the house.		
1277	17	64	ไม่ได้คิดอะไร	mâi-dâi kít à-rai		(I) wasn’t thinking anything. / (I)’m not thinking about anything.		
1278	18	64	จำได้แล้ว	jam-dâi lɛ́ɛo		I remember now. / Now I remember.		
1279	19	64	ทำไมไม่รับโทรศัพท์	tam-mai mâi ráp too-rá-sàp		Why didn’t (you) answer (your) phone?		
1280	20	64	(ผมก็)แค่อยากรู้เฉยๆ	(pǒm gɔ̂ɔ) kɛ̂ɛ yàak rúu chə̌əi-chə̌əi		(I) was just wondering. / (I) just wanna know. / (I) was just curious.		
1281	1	65	ไม่ทันตั้งตัว	mâi-tan dtâng-dtua		(I) was caught off guard.		
1282	2	65	คงต้องคุยกัน(เรื่อง... )	kong dtɔ̂ng kui gan (rʉ̂ang…) (		We) need to talk about it. / (We) need to talk about…		
1283	3	65	มันถูกนำไปใช้กับ(โควิด	-19)  man tùuk nam-bpai chái gàp (koo-wít sìp-gâao)	FORMAL	It can be used with (Covid-19). / It can be applied for use with (Covid-19).		
1284	4	65	(เขาเป็นแบบนี้)ประจำเลย	(kǎo bpen bɛ̀ɛp-níi) bprà-jam ləəi (		He’s) always (like this).	This means habitually or regularly.	
1285	5	65	อยู่กับปัจจุบัน	yùu-gàp bpàt-jù-ban live in the present / live in the moment / stay in the present	LITERARY			
1286	6	65	ต้องจากโลกนี้ไป	dtɔ̂ng jàak lôok níi bpai (	LITERARY	We all) have to leave this world. / (We all) have to die (someday).		
1287	7	65	…เป็นที่รู้จักกันดี(... )	…bpen tîi-rúu-jàk gan dii(…)	SEMI-FORMAL	… is well known (for/as)(…) / … is famous (for)(…)		
1288	8	65	…ในเวลาต่อมา	...nai wee-laa dtɔ̀ɔ-maa	FORMAL	…subsequently / …later (on)		
1289	9	65	(เขา)มีส่วนเกี่ยวข้อง(... )	(kǎo) mii sùan-gìao-kɔ̂ng(...) (	SEMI-FORMAL	He) is involved(…) / (He) was involved in (…)		
1290	10	65	ไม่มีส่วนเกี่ยวข้อง	mâi-mii sùan-gìao-kɔ̂ng (	SEMI-FORMAL	I) had nothing to do with it. / (I) wasn’t involved.		
1291	11	65	หลบไป	lòp bpai	RUDE	Get out of my way! / Move it! / Clear out!		
1292	12	65	ตอนที่เกิดเหตุ	... dtɔɔn-tiî gə̀ət-hèet...		When it happened… / When the incident occurred… / When the accident happened…		
1293	13	65	อย่ามาทำเป็นเล่นตัว	yàa maa tam-bpen lên-dtua		Don’t play hard to get!		
1294	14	65	ถ้าทุกอย่างเป็นไปตามแผน	tâa túk-yàang bpen-bpai dtaam-pɛ̌ɛn		If everything goes as planned…		
1295	15	65	ยิ่งคุณทำแบบนี้(ฉันก็)ยิ่ง(เกลียดคุณ)	yîng kun tam bɛ̀ɛp-níi (chǎn gɔ̂ɔ) yîng (glìat kun)		The more you do that, the more (I hate you.).		
1296	16	65	…ขึ้นอยู่กับโชคชะตา	…kʉ̂n-yùu-gàp chôok-chá-dtaa (		It)’s up to fate. / (It)’s predestined.		
1297	17	65	ในบางกรณี	...  nai baang gɔɔ-rá-nii…	SEMI-FORMAL/LITERARY	In some cases…		
1298	18	65	นังแพศยา	nang pɛ̂ɛt-sà-yǎa	VERY VULGAR	You whore! / You (fuxxin’) bitch!		
1299	19	65	อย่าหักโหม	yàa hàk-hǒom		Don’t overwork (yourself). / Don’t overdo it. / Don’t work too hard.		
1300	20	65	รู้อย่างนี้แล้ว	... rúu yàang-níi lɛ́ɛo		Now that you know (this)… / Knowing this…		
1301	1	66	คุณทำอาหารเก่ง	kun tam-aa-hǎan gèng		You’re a good cook!		
1302	2	66	ฉันรู้สึกแย่มาก(เลย)(... )	chǎn rúu-sʉ̀k yɛ̂ɛ mâak (ləəi)(...)		I feel really bad(…) / I feel terrible about…		
1303	3	66	ฉันรู้สึกอึดอัด(มาก)	chǎn rúu-sʉ̀k ʉ̀t-àt (mâak)		I feel (very) awkward/uncomfortable.		
1304	4	66	เหมาะกับคุณมาก	mɔ̀-gàp kun mâak		It suits you well. / It looks great on you.		
1305	5	66	ทิ้งไปแล้ว	tíng bpai lɛ́ɛo		(I) threw it away.		
1306	6	66	ไม่เก็ท	mâi gèt	INFORMAL/SLANG	(I) don’t get it. / (I) don’t understand.		
1307	7	66	หายตัวไปแล้ว	hǎai dtua bpai lɛ́ɛo		She’s disappeared! / He just vanished! / She went missing.		
1308	8	66	ต้องใจเย็น ๆ	dtɔ̂ng jai yen-yen		You have to calm down. / You have to relax. (Don’t get so worked up.)		
1309	9	66	คุณไม่ยอมฟังผม	kun mâi-yɔɔm fang pǒm		You wouldn’t listen to me. / You’re not listening to me.		
1310	10	66	จะติดต่อได้ยังไง(คะ)	jà dtìt-dtɔ̀ɔ dâi yang ngai (ká)		How can I contact you? / How will I be able to contact you?		
1311	11	66	ไปทำงานได้แล้ว	bpai tam-ngaan dâi lɛ́ɛo		(You’d better) get to work. / Time to get to work.		
1312	12	66	เดี๋ยว(จะ)สาย	dǐao (jà) sǎai		You’ll be late. / Careful, or you’ll be late.		
1313	13	66	ไม่กี่วันเอง	mâi-gìi wan eeng		Only a couple of days / Only a few days		
1314	14	66	เก็บ(เอา)ไว้ทำไม	gèp (ao) wái tam-mai		Why are you saving/keeping (it/them)?		
1315	15	66	ผมทำให้	pǒm tam-hâi		I’ll do that (for you). / I’ll get that (for you).		
1316	16	66	มันเป็นโอกาสที่ดี	man bpen oo-gàat tîi dii		It’s a good opportunity. / It was a good chance.		
1317	17	66	แค่นั้นก็พอแล้ว	kɛ̂ɛ nán gɔ̂ɔ pɔɔ lɛ́ɛo		That’s enough. / That would be enough. / That’s plenty.		
1318	18	66	ฉันไม่แพ้ใคร	chǎn mâi-pɛ́ɛ krai		I don’t lose to anyone! / No one beats me! / I’m number one!		
1319	19	66	เดินไม่ไหว	dəən mâi-wǎi		I can’t walk (anymore)! / I can’t even walk!		
1320	20	66	ค่อยยังชั่ว(หน่อย)	kɔ̂i yang chûa (nɔ̀i)		I feel a bit better. / That’s a relief.	This expression is very idiomatic, so don’t spend too much time trying to break down the meaning.	
1321	1	67	ทำให้เต็มที่(นะคะ)	tam-hâi dtem-tîi (ná-ká)		Do your best! / Give it all you got!		
1322	2	67	มาเริ่มเลยดีกว่า	maa rə̂əm ləəi dii-gwàa		Let’s get started.		
1323	3	67	เลิกพูดเรื่อง	... lə̂ək pûut rʉ̂ang...		Stop talking about… !		
1324	4	67	ฟังฉันอยู่รึเปล่า	fang chǎn yùu rʉ́-bplàao		Are (you) listening to me?		
1325	5	67	ไม่เกรงใจเลย	mâi greeng-jai ləəi		(He)’s so inconsiderate! / (He) doesn’t think about others!		
1326	6	67	ใกล้เวลาแล้ว	glâi wee-laa lɛ́ɛo		It’s almost time. / The time is near.		
1327	7	67	ใกล้เวลาที่	... glâi wee-laa tîi…		It’s nearly time to… / It’s almost time to…		
1328	8	67	ฉันปฏิเสธไม่ได้	chǎn bpà-dtì-sèet mâi-dâi		I couldn’t say no. / I couldn’t refuse.		
1329	9	67	เขาไม่ได้ว่าอะไร	kǎo mâi-dâi wâa à-rai		He didn’t say anything.		
1330	10	67	จำไม่ค่อยได้	jam mâi-kɔ̂i dâi		(I) don’t remember it so well. / (I) can’t recall. / (I) don’t remember much (about it).		
1331	11	67	หน้ายังเหมือนเดิม	nâa yang mʉ̌an-dəəm		(You) still look the same! / (Your) face hasn’t changed at all.		
1332	12	67	หนูเพิ่งจะเสร็จ(งานเอกสาร)	nǔu pə̂ng-jà sèt (ngaan-èek-gà-sǎan)		I just finished (my paperwork).		
1333	13	67	เห็นแก่เงิน	hěn-gɛ̀ɛ ngən (		You) only care about money! / (You) are obsessed with money!		
1334	14	67	อบอุ่นดี	òp-ùn dii		(It)’s nice and warm. / (It’s) warm and cozy.		
1335	15	67	ผมจะเข้าไปข้างใน(แล้ว)	pǒm jà kâo-bpai kâang-nai (lɛ́ɛo)		I’m gonna go inside. / I’m going inside now.		
1336	16	67	ตอบเขาว่ายังไง	dtɔ̀ɔp kǎo wâa yang-ngai		How did (you) answer her? / What did you tell her?		
1337	17	67	ผม(ก็)บอกเขาว่า	... pǒm (gɔ̂ɔ) bɔ̀ɔk kǎo wâa…		I told her…		
1338	18	67	เป็นแผนที่ดีมาก	bpen pɛ̌ɛn tîi dii mâak		That’s a great plan!		
1339	19	67	ฉลองกันเถอะ	chà-lɔ̌ɔng gan-tə̀		Let’s celebrate!		
1340	20	67	ไม่รู้จะทำอะไร	mâi-rúu jà tam à-rai		(I) don’t know what to do.		
1341	1	68	อยากมีลูกกี่คน	yàak mii lûuk gìi kon		How many kids do you want to have?		
1342	2	68	รู้ว่าคุณคิดอะไร	rúu wâa kun kít à-rai (		I) know what you’re thinking.		
1343	3	68	จำที่นี่ได้ไหม	jam tîi-nîi dâi-mǎi		Do you remember this place?		
1344	4	68	แล้วนี่อะไร	lɛ́ɛo nîi à-rai		So what is this?! / What is this?! / And what is this?!		
1345	5	68	ไม่ต้องเป็นห่วง	mâi-dtɔ̂ng bpen-hùang		Don’t worry about (me).		
1346	6	68	เป็นเพราะ	... bpen-prɔ́...		That’s because… / It’s because…		
1347	7	68	เคยคิดบ้างไหม(... )	kəəi kít bâang mǎi (...)		Have you ever thought…? / Has it ever occurred to you(…)?		
1348	8	68	ถ้า(คุณ)อยากจะบอกว่า	... tâa (kun) yàak jà bɔ̀ɔk wâa...		If you want to say…		
1349	9	68	เมื่อเช้านี้เอง	mʉ̂a-cháao níi eeng		Just this morning.		
1350	10	68	นี่ฉันเอง	nîi chǎn eeng		Hey, it’s me! / It’s me!		
1351	11	68	บางทีฉันก็คิด(ว่า)	... baang-tii chǎn gɔ̂ɔ kít (wâa)...		Sometimes I think…		
1352	12	68	ผมมีเพื่อนไม่มาก	pǒm mii pʉ̂an mâi-mâak		I don’t have many friends.		
1353	13	68	เข้าไปได้ยังไง	kâo-bpai dâi yang-ngai		How did (he) get in?		
1354	14	68	(จะ)ทำยังไงดี	(jà) tam yang-ngai dii	INFORMAL	What can I do? / What should I do? / What do I do now?		
1355	15	68	รับไปเถอะ(ค่ะ)	ráp-bpai tə̀ (kà)		Take it. / Please accept it.		
1356	16	68	ผมจะไปรู้ได้ยังไงอ่ะ	pǒm jà bpai rúu dâi yang-ngai à	BIT STRONG	How would I know?! / How the hell would I know?!		
1357	17	68	แกพูดเรื่องอะไร	gɛɛ pûut rʉ̂ang à-rai		What are you talking about?!		
1358	18	68	ร้องไห้อีกแล้วเหรอ	rɔ́ɔng-hâi ìik-lɛ́ɛo rə̌ə		Are you crying again?		
1359	19	68	ใช้เวลานานแค่ไหน	chái-wee-laa naan-kɛ̂ɛ-nǎi		How long does it take?		
1360	20	68	ตัดทรงอะไรดี	dtàt song à-rai dii		How would you like your hair cut? / What style do you want?		
1361	1	69	กลับบ้านไม่ถูก	glàp-bâan mâi-tùuk		(I) couldn’t find my way back home.		
1362	2	69	ห่วงแทบแย่	hùang tɛ̂ɛp yɛ̂ɛ		(I)’ve been worried sick. / (I)’ve been really worried about (you).		
1363	3	69	ต้องค่อยเป็นค่อยไป	dtɔ̂ng kɔ̂i bpen kɔ̂i bpai (		We) have to take it slow/proceed gradually.		
1364	4	69	ยังไม่ถึงขั้นนั้น	yang mâi-tʉ̌ng kân nán (		We)’re not to that point yet. / (We)’re not there yet. / (We)’re not to that stage yet.		
1365	5	69	เอามาทำอะไร(ได้บ้าง)	ao maa tam à-rai (dâi bâang)		What can you do with it? / What can you use it for? (an old cell phone, etc.)		
1366	6	69	(ไป)โดนตัวไหนมา	(bpai) doon dtua nǎi maa	SLANG	What are you on?!		
1367	7	69	ทำอย่างไรถึงจะ(มั่นใจในตนเอง)	tam yàang-rai tʉ̌ng jà (mân-jai nai dton-eeng)		What can I do to (be self-confident)? / What can I do so that I will (have self-confidence)?		
1368	8	69	ทุกอย่างเข้าที่เข้าทาง	túk-yàang kâo-tîi kâo-taang		Everything’s in order. / Everything’s in place.		
1369	9	69	(ผม)ไม่มีส่วนเกี่ยวข้องกับ	...  (pǒm) mâi-mii sùan-gìao-kɔ̂ng gàp...	SEMI-FORMAL	(I) have nothing to do with… / (I)’m not involved with…		
1370	10	69	นับจากนี้ไป	...  náp jàak níi bpai…	FORMAL/LITERARY	From here on out… / From now on… / From this day on…		
1371	11	69	ไม่เอาดีกว่า	mâi-ao dii-gwàa		I’d better not. / I’ll pass.		
1372	12	69	ยิ่งใหญ่กว่าเดิม	yîng-yài gwàa-dəəm		Bigger than before! / Better than ever! / More powerful than ever!		
1373	13	69	มาไกลขนาดนี้แล้ว(... )	maa glai kà-nàat-níi lɛ́ɛo (...) (		I)’ve come this far(…)		
1374	14	69	ยังมีหน้า(มาขอเงินเธอ)	yang mii-nâa (maa kɔ̌ɔ ngən təə)		You have the nerve to (ask her for money)! / You have the gall to (ask her for money).		
1375	15	69	จะอธิบายเรื่องนี้(ได้)ยังไง	jà à-tí-baai rʉ̂ang níi (dâi) yang-ngai		How do you explain this?		
1376	16	69	อย่ามาอ้าง(... )	yàa maa âang (…)		Don’t make excuses! / Don’t use … as an excuse!		
1377	17	69	เรื่องบ้าอะไรกัน	rʉ̂ang bâa à-rai gan		What the hell is this? / What is this bullshit?		
1378	18	69	ไม่ต้องมาทำเป็นไม่รู้เรื่อง	mâi-dtɔ̂ng maa tam-bpen mâi-rúu-rʉ̂ang	STRONG	Don’t pretend you don’t know what’s going on! / Don’t act like you know nothing!		
1379	19	69	มันไม่ใช่ภาพหลอน	man mâi-châi pâap-lɔ̌ɔn		It wasn’t an illusion. / You weren’t hallucinating.		
1380	20	69	มันเสียแรง(เปล่าๆ)	man sǐa-rɛɛng (bplàao-bplàao)		It’s a waste of effort. / It was a waste of energy. / We did it for nothing.		
1381	1	70	ฉันอิจฉาคุณ	chǎn ìt-chǎa kun		I envy you. / I’m jealous!		
1382	2	70	คิดว่าดีไหม	kít-wâa dii mǎi		Do you think that’s a good idea? / Does that sound good?		
1383	3	70	ยังไม่(ได้)จ่ายเงิน	yang mâi(dâi) jàai ngən (		I) haven’t paid yet. / (You) didn’t pay yet.		
1384	4	70	จะอธิบายยังไงดี	jà à-tí-baai yang-ngai dii		How can (I) explain?		
1385	5	70	…จริงไหม	...jing mǎi		…, right? / …, isn’t it? / …, aren’t they? (etc.)		
1386	6	70	ใช่คนนี้หรือเปล่า	châi kon-níi rʉ̌ʉ-bplàao		Is this the person?		
1387	7	70	ฉันจะบอกให้ทุกคนรู้(ว่า... )	chǎn jà bɔ̀ɔk hâi túk kon rúu (wâa...)		I’m gonna tell everyone! (…)		
1388	8	70	ต้องการอะไรจากผม	dtɔ̂ng-gaan à-rai jàak pǒm	STRONG	What do (you) want from me?!		
1389	9	70	ผมทำไม่สำเร็จ	pǒm tam mâi-sǎm-rèt		I didn’t make it. / I wasn’t successful. / I couldn’t do it.		
1390	10	70	มาหาฉันหน่อยได้ไหม	maa-hǎa chǎn nɔ̀i dâi-mǎi		Can you come and see me? / Can you come and visit me?		
1391	11	70	น่าปวดหัว	nâa-bpùat-hǔa		It gives me a headache! / It’s really hard!		
