         /Barat. Menteri Luar Negeri   AS Antony Blinken mengatakan/
             /yang dilakukan pasukan   pemerintah Ethiopia beserta/
     /mengatakan kepada CNN, ratusan   pemuda dikumpulkan dari sejumlah/
           /mereka mengumpulkan para   pemuda, memaksa mereka naik ke/
   kemudian dibebaskan/     Sejumlah   pemuda yang sempat dikumpulkan
   mereka dipukuli/          Seorang   pemuda menggambarkan bagimana
     /dikumpulkan dari sejumlah kamp   pengungsi di Kota Shire, Tigray/
     /berkumpul di kantor PBB Urusan   pengungsi, UNHCR. Dalam satu video/
      /menyerbu sedikitnya dua pusat   pengungsian kemudian memukuli dan/
            pergi ratusan orang dari   pengungsian.        /tentara membawa
             /militer mengepung kamp   pengungsian Adi Wenfito dan Tsehay/
    /menyerbu sekolah yang dijadikan   pengungsian, saksi mendengar/
   militer mengepung/        Menurut   penuturan saksi, empat kendaraan
    /, "Sampai kapan Anda akan terus   percaya omongan saksi. Kami sering/
          /Kalian Sekarang!" Seorang   perempuan Tigray, Ethiopia,/
   -berusia 19 dan 24/       Seorang   perempuan mengatakan dua putranya-
       mengungkapkan tentara membawa   pergi ratusan orang dari/   /. Saksi
    /berusia 19 dan 24 tahun--dibawa   pergi dari rumah mereka sekitar/
    /anak saya, memukuli dan membawa   pergi," kata dia kepada CNN.
    /Amerika Serikat Joe Biden dalam   pernyataannya Rabu lalu mengatakan/
       /Tigray yang mengungsi karena   pertempuran di wilayah Barat./
     /lokasi yang diyakini berada di   pinggiran Shire. Ketika tentara/
   belum/           "Mereka menjebol   pintu, orang-orang itu bahkan
        /lalu mengatakan dia "sangat   prihatin dengan kekerasan yang/
    /pergi dari rumah mereka sekitar   pukul 21.30 malam itu. "Mereka/
     Eritrea menyerbu sedikitnya dua   pusat pengungsian kemudian/     /dan
      muda terus ditangkapi di Guna,   pusat distribusi bantuan/      /anak
   -/      /perempuan mengatakan dua   putranya--berusia 19 dan 24 tahun-
        /mata mengatakan kepada CNN,   ratusan pemuda dikumpulkan dari/
              /tentara membawa pergi   ratusan orang dari pengungsian.
     /kemanusiaan. Mereka mengatakan   ratusan anak muda terus ditangkapi/
        /ini diyakini sudah membunuh   ribuan warga sipil sejak November/
    /dan 24 tahun--dibawa pergi dari   rumah mereka sekitar pukul 21.30/
      /pejabat Ethiopia dan Eritrea,   saksi mata mengatakan kepada CNN,/
   mengepung/      Menurut penuturan   saksi, empat kendaraan militer
        /yang dijadikan pengungsian,   saksi mendengar mereka berteriak,/
      /ke arah mereka," kata seorang   saksi, seperti dilansir CNN, Kamis/
    /Anda akan terus percaya omongan   saksi. Kami sering mendengar/
    /itu kurang jelas namun sejumlah   saksi mengatakan para orangtua itu/
         /Rabu lalu mengatakan dia "   sangat prihatin dengan kekerasan/
        /Amerika Serikat mengumumkan   sanksi finansial dan larangan visa/
      Urusan pengungsi, UNHCR. Dalam   satu video tentara Ethiopia/    /PBB
          /tidak bilang mengapa anak   saya dibawa. Mereka mengikat anak/
       /dibawa. Mereka mengikat anak   saya, memukuli dan membawa pergi,"/
        /lalu setelah mereka mengaku   sebagai pekerja kemanusiaan./
    /dalam bus dan membawa mereka ke   sebuah lokasi yang diyakini berada/
             yang kini sudah menjadi   sebuah kamp militer.    /kemanusiaan
   pada Selasa pagi,/          Dalam   sebuah video yang diterima CNN
    /video tentara Ethiopia terlihat   sedang berbicara di depan para/
      /Ethiopia dan Eritrea menyerbu   sedikitnya dua pusat pengungsian/
        /membunuh ribuan warga sipil   sejak November tahun lalu. Saksi/
    /ratusan pemuda dikumpulkan dari   sejumlah kamp pengungsi di Kota/
       /diam-diam itu memperlihatkan   sejumlah orangtua yang berkumpul/
    /di video itu kurang jelas namun   sejumlah saksi mengatakan para/
           akan menyelamatkan kalian   sekarang!"     /lihat apakah Amerika
        bisa membunuh kalian di sini   sekarang dan PBB tidak bisa/   /Kami
    /-dibawa pergi dari rumah mereka   sekitar pukul 21.30 malam itu. "/
     /semakin padat karena menampung   sekitar 800.000 warga Tigray yang/
     /Shire. Ketika tentara menyerbu   sekolah yang dijadikan pengungsian/
        /pemerintah Ethiopia beserta   sekutunya tentara Eritrea dan/
     /PBB tidak bisa berbuat apa-apa   selain mengambil foto kalian." [/
       Tigray kini sudah berlangsung   selama 200 hari. Barisan/        /di
    /Ghebremeskel menyangkal laporan   semacam itu dan membantah laporan/
      /memperkirakan Kota Shire kini   semakin padat karena menampung/
      , orang-orang itu bahkan belum   sempat memakai sepatu.        /pintu
                Sejumlah pemuda yang   sempat dikumpulkan kemudian/
           Tentara sudah menodongkan   senapan ke arah mereka," kata/
      /senapan ke arah mereka," kata   seorang saksi, seperti dilansir/
     itu bahkan belum sempat memakai   sepatu.               /, orang-orang
       /mereka," kata seorang saksi,   seperti dilansir CNN, Kamis (27/5)/
        /percaya omongan saksi. Kami   sering mendengar cerita bohong/
      pemerintah dan tentara Eritrea   serta milisi Amhara.        /pasukan
         Merdeka.com - Beberapa hari   setelah Amerika Serikat/    /Reuters
         /pada sore hari Selasa lalu   setelah mereka mengaku sebagai/
    /: "Kami bisa membunuh kalian di   sini sekarang dan PBB tidak bisa/
        /sudah membunuh ribuan warga   sipil sejak November tahun lalu./
    /Sejak dimulainya konflik, warga   sipil menjadi target dari pasukan/
    /mengecam "pelanggaran HAM dalam   skala besar yang terjadi di Tigray/
           /kemudian dibebaskan pada   sore hari Selasa lalu setelah/
           /di Ethiopia ini diyakini   sudah membunuh ribuan warga sipil/
   mereka," kata/            Tentara   sudah menodongkan senapan ke arah
      /bantuan kemanusiaan yang kini   sudah menjadi sebuah kamp militer.
              Konflik di Tigray kini   sudah berlangsung selama 200 hari./
   Menteri Ethiopia dan/         CNN   sudah menghubungi kantor Perdana
         /warga sipil sejak November   tahun lalu. Saksi mengungkapkan/
    /dua putranya--berusia 19 dan 24   tahun--dibawa pergi dari rumah/
         "Kebanyakan kami masih muda   tapi ada orang yang lebih tua yang/
       /konflik, warga sipil menjadi   target dari pasukan pemerintah dan/
   dan/       /mengatakan kepada CNN   tentang bagaimana tentara Ethiopia
       /kepada CNN tentang bagaimana   tentara Ethiopia dan Eritrea/
    /tahun lalu. Saksi mengungkapkan   tentara membawa pergi ratusan/
         /di pinggiran Shire. Ketika   tentara menyerbu sekolah yang/
    /mereka dipukuli berjam-jam oleh   tentara Eritrea dan Ethiopia.
      /Pertahanan Nasional Ethiopia,   tentara Eritrea dan milisi dari/
        /dari pasukan pemerintah dan   tentara Eritrea serta milisi/
         /Ethiopia beserta sekutunya   tentara Eritrea dan milis Amhara/
          /, UNHCR. Dalam satu video   tentara Ethiopia terlihat sedang/
       /orangtua itu diberitahu oleh   tentara: "Kami bisa membunuh/
          HAM dalam skala besar yang   terjadi di Tigray."    /"pelanggaran
        /satu video tentara Ethiopia   terlihat sedang berbicara di depan/
       /mengatakan ratusan anak muda   terus ditangkapi di Guna, pusat/
          /, "Sampai kapan Anda akan   terus percaya omongan saksi. Kami/
     /prihatin dengan kekerasan yang   terus meningkat" di Ethiopia dan/
     /pukul 21.30 malam itu. "Mereka   tidak bilang mengapa anak saya/
      /ada orang yang lebih tua yang   tidak kuat dipukuli lama-lama,"/
    /kalian di sini sekarang dan PBB   tidak bisa berbuat apa-apa selain/
     /muda tapi ada orang yang lebih   tua yang tidak kuat dipukuli lama-/
   Selasa pagi,/        Dalam sebuah   video yang diterima CNN pada
       /pengungsi, UNHCR. Dalam satu   video tentara Ethiopia terlihat/
   sejumlah saksi/          Suara di   video itu kurang jelas namun
      /sanksi finansial dan larangan   visa bagi para pejabat Ethiopia/
     /kemudian memukuli dan menyiksa   warga Tigray. Konflik di Ethiopia/
     /diyakini sudah membunuh ribuan   warga sipil sejak November tahun/
        /. Sejak dimulainya konflik,   warga sipil menjadi target dari/
          /menampung sekitar 800.000   warga Tigray yang mengungsi karena/
    /mengungsi karena pertempuran di   wilayah Barat. Menteri Luar Negeri/
   mengatakan kepada CNN/      Saksi   yang enggan diketahui identitasnya
    /membawa mereka ke sebuah lokasi   yang diyakini berada di pinggiran/
    /Ketika tentara menyerbu sekolah   yang dijadikan pengungsian, saksi/
   dibebaskan/       Sejumlah pemuda   yang sempat dikumpulkan kemudian
     /distribusi bantuan kemanusiaan   yang kini sudah menjadi sebuah/
     /kami masih muda tapi ada orang   yang lebih tua yang tidak kuat/
      /tapi ada orang yang lebih tua   yang tidak kuat dipukuli lama-lama/
          /prihatin dengan kekerasan   yang terus meningkat" di Ethiopia/
              /HAM dalam skala besar   yang terjadi di Tigray."
       /sekitar 800.000 warga Tigray   yang mengungsi karena pertempuran/
       /Blinken mengatakan kekerasan   yang dilakukan pasukan pemerintah/
   , gambar/      Dalam sebuah video   yang diterima CNN pada Selasa pagi
       /CNN pada Selasa pagi, gambar   yang direkam diam-diam itu/
   Urusan/        /sejumlah orangtua   yang berkumpul di kantor PBB
