description,term
Executive Vice County Mayor of XXX,XX县常务副县长
Executive Vice Governor,常务副省长
Executives,行政机关
exequatur,许可证书
expand domestic demand and consumption,扩大内需，刺激消费
"expand housing loans, student loans and major commodity loans",扩大住房贷款，助学贷款和大件消费品贷款
expansionist strategy A strategy by which a nation seeks to enlarge its territory or influence.,擴張戰略Kuòzhāng zhànlüè
expel,驱逐，放逐
express grave concern over sth.,对某事予以严重关注
express one's sincere congratulations and best wishes,致以衷心的祝贺和最好的愿望
external relations system,对外关系体系
external sovereignty,对外主权
extradition,引渡
Fabianism,费边主义
Faction,派别
failed state,失败国家
Falklands War,马岛战争
falsification,证伪
fascism,法西斯主义
"fascism A totalitarian political system that is headed by a popular charismatic leader and in which a single political party and carefully controlled violence form the bases of complete social and political control. Fascism differs from communism in that the economic structure, although controlled by the state, is privately owned.",法西斯主義Fàxīsī zhǔyì
Fashoda crisis,法绍达危机
"Federal Assembly Russia's national legislature, a bicameral parliament, established under the 1993 constitution, comprising a lower chamber (State Duma) and an upper chamber (Federation Council).",聯邦議會Liánbāng yìhuì
"federal budget deficit In the United States, the difference between federal revenues and federal expenditures in a given year; the national debt is the cumulative sum of budget deficits over many years.",聯邦預算赤字Liánbāng yùsuàn chìzì
federalism A system of limited government based on the division of authority between the central government and smaller regional governments.,聯邦制Liánbāng zhì
Federalist Papers,联邦党人文集
Feminism,女权主义
feminist theory,女性主义理论
Feudalism,封建主义
Finance Affairs Committee,财务经济委员会
financial institution,金融机构
"first past the post An electoral system used in the United Kingdom and the United States in which legislative candidates run in single-member districts and the winner is decided by plurality vote; this system favors broad-based, entrenched political parties and tends toward a two-party configuration. Critics contend that it is undemocratic because it places a huge hurdle in the path of small or new parties and forces voters to decide between voting for a major party candidate near the center of the political spectrum and wasting their votes on a third-party candidate who cannot possibly win.",第一過去崗位Dì yī guòqù gǎngwèi
first secretary,一等秘书
first-strike strategy,第一次打击战略
Fiscal crisis of the state,国家财政危机
fishery resources,渔业资源
fixed exchange rate,固定汇率
floating exchange rate,浮动汇率
Floating vote,浮动投票人
Foreign and Economy Committee,外事委员会
forge ahead with the new great project of Party building,全面推进党的建设的新的伟大工程
formal note,正式照会
Formosa,福摩萨
"forntier region, border region",边界地区
Franco-Prussian War,普法战争
Fraternity,博爱
free market system,自由市场体系
Free Trade Agreement (FTA),自由贸易协定
Freedom of religion,宗教自由
"Freedom of speech,expression,and the press",言论，表达和出版自由
"French Revolution (1789) Brought down the Bourbon monarchy in France in the name of ""liberté, egalité, et fraternité"" (liberty, equality, and fraternity); introduced the contagion of liberalism in a Europe still ruled by conservative, aristocratic, and royalist institutions; and ushered in the rule of Napoléon Bonaparte. Prelude to the First Republic in France and to the Napoleonic Wars.",法國大革命Fàguó dàgémìng
friendly exchanges,友好往来
"friendly visit, goodwill visit",友好访问
Functional representation,职能代表
"functionalism: In political thought, the theory that the gradual transfer of economic and social functions to international cooperative agencies (for example, specialized UN agencies, such as UNESCO) will eventually lead to a transfer of actual authority and integration of political activities on the international level.",功能主義Gōngnéng zhǔyì
fundamental rights,基本权利
futurology,未来学
game theory,博弈论
Gaul,高卢
gender gap A term used to refer to differences in voting between men and women in the United States; this disparity is most obvious in political issues and elections that raise the issue of appropriateness of governmental force.,性別差距Xìngbié chājù
General Administration of Customs,海关总署
General Agreement on Tariffs and Trade,关税与贸易总协定
General Assembly,联合国大会
General Office,办公厅
General Office of the State Council,国务院办公厅
General Police Commissioner,总警监
"General Secretary, the CPC Central Committee",中共中央总书记
General strike,总罢工
generally-accepted principles of international relations,公认的国际关系原则
"Geneva Convention A body of international law dealing with the treatment of the wounded, prisoners of war, and civilians in a war zone.",日內瓦公約Rìnèiwǎ gōngyuē
Genocide,"种族灭绝, 种族屠杀"
Geoeconomics,地缘经济学
geographic location,地理位臵
geopolitics,地缘政治
"Gestapo In Nazi Germany, the secret state police, Hitler's instrument for spreading mass terror among Jews and political opponents.",蓋世太保Gàishìtàibǎo
"glasnost Literally ""openness""; this term refers to Mikhail Gorbachev's curtailment of censorship and encouragement of political discussion and dissent within the former Soviet Union.",公開性Gōngkāi xìng
global agenda,全球议程
global governance,全球治理
Global North,北方世界
Global South,南方世界
global village,地球村
"globalization: The process by which values, attitudes, preferences, and products associated with the most technologically advanced democracies are being spread around the world via mass media and trade.",全球化Quánqiú huà
Glorious Revolution,光荣革命
gold standard,金本位
good health and a long life,健康长寿
good offices,调停
Governability,统治能力
Government formation process,政府组成过程
Government Offices Administration of the State Council,国务院机关事务管理局
government The persons and institutions that make and enforce rules or laws for the larger community.,政府Zhèngfǔ
government's work report,政府工作报告
Governor,"省长, 州长"
Governor-General,总督
"gradualism The belief that major changes in society should take place slowly, through reform, rather than suddenly, through revolution.",漸進Jiànjìn
Grain for Green Project,退耕还林、还草工程
grand theory,大理论
Great Depression,大萧条
"Great Leap Forward Mao Zedong's attempt, in the late 1950s and early 1960s, to transform and modernize China's economic structure through mass mobilization of the entire population into self-sufficient communes in which everything was done in groups.",大躍進Dà yuèjìn
Great Northern War,北方战争
Great Power diplomacy,大国外交
"Great Proletarian Cultural Revolution A chaotic period beginning in 1966, when the youth of China (the Red Guards), at Mao Zedong's direction, attacked all bureaucratic and military officials on the pretext that a reemergence of capitalist and materialist tendencies was taking place. The offending officials were sent to forced labor camps to be ""reeducated.""",無產階級文化大革命Wúchǎn jiējí wénhuà dàgémìng
"Green Revolution A dramatic rise in agricultural output, resulting from modern irrigation systems and synthetic fertilizers, characteristic of modern India, Mexico, Taiwan, and the Philippines.",綠色革命Lǜsè gémìng
"gross national debt (GND) The U.S. federal government's accumulated deficits stood at $8.8 trillion in the spring of 2007, or just under 63 percent of gross national product.",國民總債務（GND）Guómín zǒng zhàiwù (GND)
gross national product (GNP),国民生产总值
Grotius,格劳修斯
Group theory,团体理论
"guerrilla warfare The tactics used by loosely organized military forces grouped into small, mobile squads that carry out acts of terrorism and sabotage, then melt back into the civilian population.",游擊戰Yóujízhàn
gulag archipelago Metaphorical name for the network of slave labor camps established in the former Soviet Union by Joseph Stalin and maintained by his secret police to which nonconformists and politically undesirable persons were sent.,古拉格群島Gǔ lā gé qúndǎo
gunboat diplomacy,炮舰外交
Habsburg dynasty,哈布斯堡王朝
"Hague Convention A widely accepted set of rules governing conduct in land wars, the use of new weapons, and the rights and duties of both neutral and warring parties.",海牙公約Hǎiyá gōngyuē
hard power,硬权力
"Hare plan In parliamentary democracies, an electoral procedure whereby candidates compete for a set number of seats and those who receive a certain quota of votes are elected. Voters vote only once and indicate both a first and a second choice.",野兔計劃Yětù jìhuà
hawks,鹰派
Head of government,政府首脑
Head of state,国家元首
"head of the delegation, leader of the delegation",团长
health care reform,医疗改革
heartland,大陆心脏
Hegel,黑格尔
hegemonic governance,霸权统治
Hegemonic stability theory,霸权稳定论
hegemonic state,霸权国
hegemonic status,霸权国地位
hegemonic structure,霸权结构
hegemonic war,霸权战争
Heterogeneous,异质化
Hezbollah,真主党
hidden employment,隐形就业
high politics,高级政治
high seas,公海
hijack,劫机
Hindu civilization,印度文明
Hinduism,印度教
"His (Her, Your) Excellency",阁下
"His (Her, Your) Majesty",陛下
"His (Her, Your) Royal Highness",殿下
His excellency Mr. President and Mme... ...,总统先生阁下和夫人
historical institutionalism,历史制度主义
Hobbes,霍布斯
Hoenzollern dynasty,霍亨索伦王朝
"Hold High the Banner of Deng Xiaoping Theory and Carry out the Important Thoughts of ""Three Represents""","高举邓小平理论伟大旗帜，全面贯彻""三个代表""重要思想"
Holism,整体主义
Holy Land,圣地
Holy League,神圣同盟
Holy Roman Empire,神圣罗马帝国
Holy war,圣战
"homeland security A term President George W. Bush popularized after the 9/11 terrorist attacks; it refers to a whole range of counterterrorist policies, including tighter border and immigration controls, stepped-up airport security, expanded FBI surveillance powers, and more invasive police investigations.",國土安全Guótǔ ānquán
homogeneity of states,国家同质性
homogeneous civilization,同质文明
homogenization,同质化
Hong Kong and Macao Affairs Office,港澳办公厅
host country,东道国
House of Commons,下议院
House of Lords,上议院
human nature The characteristics that human beings have in common and that infl uence how they react to their surroundings and fellow humans.,人的本質Rén de běnzhí
humanitarian intervention,人道主义干涉
humanitarianism,人道主义
Hundred Flowers A brief period in China (1956) when Mao Zedong directed that freedom of expression and individualism be allowed; it was quashed when violent criticism of the regime erupted.,百花Bǎihuā
"IAEA, International Atomic Energy Agency",国际原子能机构
"ICJ, International Court of Justice",国际法院
idealism,"理想主义, 唯心主义"
"idealism A political philosophy that considers values, ideals, and moral principles as the key to comprehending, and possibly changing, the behavior of nation-states.",唯心主義Wéixīn zhǔyì
identification card,身份证
identity,认同或特性
ideological conflict,意识形态冲突
"ideology Any set of fixed, predictable ideas held by politicians and citizens on how to serve the public good.",意識形態Yìshí xíngtài
Impeachment,弹劾
"imperialism A policy of territorial expansion (empire building), often by means of military conquest; derived from the word empire.",帝國主義Dìguó zhǔyì
Implementation,政策实施
in consideration of the actual conditions,照顾现实情况
"in the company of..., accompanied by...",在...陪同下
"inadvertent war A war resulting from misperception, misinformation, or miscalculation; an unnecessary war.",無意戰爭Wúyì zhànzhēng
inalienability of territory,领土的不可割让性
Inca Empire,印加帝国
incarceration The isolation of criminals in an effort to protect society and to prevent lawbreakers from committing more crimes.,監禁Jiānjìn
Independent agency,独立机构
independent variable,自变量
individual level,个人层次
"individualism According to Alexis de Tocqueville, the direction of one's feelings toward oneself and one's immediate situation; a self-centered detachment from the broader concerns of society as a whole. According to John Stuart Mill, the qualities of human character that separate humans from animals and give them uniqueness and dignity.",個人主義Gèrén zhǔyì
Indo-Chinese War,中印战争
Indo-Pakistani War,印巴战争
Indochina,印度支那
Industrial Age,工业时代
Industrial Revolution,工业革命
industrialization,工业化
industries and enterprises in dire straits,特困行业和企业
inflation,通货膨胀
informal agreement,非正式协议
informal visit,非正式访问
Information Department,新闻司
Information Office,新闻办公室
information revolution,信息革命
"information warfare (IW), infowar",信息战
"initiative In U.S. government, a vote by which citizens directly repeal an action of the legislature.",舉措Jǔcuò
Inspector/Monitor,巡视员
Institute for International Strategic Studies,国际战略问题学会
Institution,机构/制度
"institutional interest group A group of government officials and bureaucrats with expertise and vested interests in certain policies and programs that often par allel those of special interests in the private sector; as insiders with powerful allies in the private sector, members of certain institutional interest groups (such as defense, intelligence, energy, and agriculture) are in an advantageous position to lobby U.S. Congress for increased funding in the annual ""battle of the budget.""",機構利益集團Jīgòu lìyì jítuán
institutional peace theory,制度和平论
"Institutional Revolutionary Party (PRI) The dominant political party in Mexico from 1929 to the present. The PRI had never lost an election until 2000, when Vicente Fox of the National Action Party won the presidency.",革命制度黨（PRI）Gémìng zhìdù dǎng (PRI)
institutionalization,制度化
Institutions Directly under the State Council,国务院直属事业单位
intellectual property,知识产权
Inter-Parliament Union,各国议会联盟
intercontinental ballistic missile (ICBM) A long-range missile armed with multiple nuclear warheads capable of striking targets anywhere in the world; both the United States and Russia possess large arsenals of these ultimate strategic weapons.,洲際彈道導彈（ICBM）Zhōujì dàndào dǎodàn (ICBM)
"interdependence In political thought, the theory that no nation can afford to isolate itself completely from the political, economic, and cultural activities of other nations and that as a result, a growing body of international organizations whose interests transcend national concerns has arisen.","相互依存Xiānghù yīcún, 相互依赖"
"interest aggregation A term political scientists use to describe how the interests, concerns, and demands of various individuals and groups in society are translated into policies and programs; in constitutional democracies, a major function of political parties.",興趣聚合Xìngqù jùhé
Interest articulation and aggregation,利益表达与聚合
interest group,利益集团
"interest group An association of individuals that attempts to influence policy and legislation in a confined area of special interest, often through lobbying, campaign contributions, and bloc voting.",利益集團Lìyì jítuán
interest rate,利率
Interests,利益
interests group,利益集团
interference,干预
intergovernmental organization,政府间国际组织
intermediate-range ballistic missile,中程弹道导弹
internal sovereignty,对内主权
international actor,国际行为体
International Affairs,国际时事
international anarchy,国际无政府状态
international community,国际共同体
international convention,国际惯例
international cooperation and integration,国际合作与一体化
international crisis,国际危机
International Finance Society,国际金融学会
international financial system,国际金融体系
international hegemony,国际霸权
international institution (2),国际制度/体制
"international law The body of customs, treaties, and generally accepted rules that regulate the rights and obligations of nations when dealing with one another.",國際法
"International Monetary Fund (IMF) An international organization established by the United Nations and composed of the governments of many nations that is designed to promote worldwide monetary cooperation, international trade, and economic stability. It also helps equalize balance of payments by allowing member countries to borrow from its fund.",國際貨幣基金組織（IMF）Guójì huòbì jījīn zǔzhī (IMF)
international nongovernmental organizations (INGO) International organization made up of private individuals and groups.,國際非政府組織（INGO）Guójì fēi zhèngfǔ zǔzhī (INGO)
international order,国际秩序
international organization,国际组织
international political system,国际政治体系
international regime,国际机制
international situation,国际形势
international society,国际社会
international system,国际体系
international terrorism,国际恐怖主义
international waters,公海；国际水域
internationalism,国际主义
internuncio,教廷公使
Interpellation,质询
interstate relations,国家间关系
interstate transaction cost,国家间交易成本
interstate war Conflicts between sovereign states.,州際戰爭Zhōu jì zhànzhēng
intervening variable,干预变量
interventionism,干涉主义
intifada An Arabic word meaning &quot;uprising&quot;; the name given to the prolonged Palestinian uprising against Israeli occupation in the West Bank and Gaza in 1987-1993 and again in 2001-2002.,起義
"IPE, international political economy",国际政治经济学
Iron Curtain,铁幕
"iron law of oligarchy The elitist theory that because of the administrative necessities involved in managing any large organization, access to and control of information and communication become concentrated in a few bureaucrats, who then wield true power in the organization.",寡頭統治鐵律Guǎtóu tǒngzhì tiě lǜ
irreversibility,不可逆转性
Islamic fundamentalism,伊斯兰原教旨主义
Islamic radicalism,伊斯兰激进主义
isolationism,孤立主义
Italian city-state system,意大利城邦体系
jackal state,走狗国家
"Jefferson,Thomas",杰斐逊，托马斯
Jew,犹太人
joint action,共同行动
Judge,"审判员,法官"
Judicial Policeman,法警
judicial review The power of a court to declare acts by the government unconstitutional and hence void.,司法審查Sīfǎ shěnchá
Judiciary,司法机构
"junta A ruling oligarchy, especially one made up of military officers.",軍政府Jūn zhèngfǔ
Jury,陪审团
just war A war fought in self-defense or because it is the only way a nation can do what is right.,正義戰爭Zhèngyì zhànzhēng
justice Fairness; the distribution of rewards and burdens in society in accordance with what is deserved.,司法Sīfǎ
Justiciability,可审判性
Kant,康德
Kashmir,克什米尔
"keeper of the balance In a balance-of-power system, the nation-state that functions as an arbiter in disputes, taking sides to preserve the political equilibrium.",門將的平衡Ménjiàng de pínghéng
Kellog-Briand Pact,凯洛格-白里安公约
kin-country syndrome Phenomenon wherein countries whose peoples and leaders are culturally tied to one another take similar positions.,健國綜合徵Jiàn guó zònghé zhēng
Knesset The unicameral Israeli parliament.,以色列議會Yǐsèliè yìhuì
Koran,古兰经
Korean War,朝鲜战争
kulaks A class of well-to-do landowners in Russian society that was purged by Joseph Stalin because it resisted his drive to establish huge collective farms under state control.,富農Fùnóng
"Kuomintang The Chinese Nationalist Party, led by Chiang Kai-shek, defeated by Mao Zedong in 1949.",國民黨Guómíndǎng
"Kyoto Protocol Countries that ratify this treaty, which went into effect in 2005, agree to cut emissions of carbon dioxide and five other greenhouse gases or to engage in emissions trading if they exceed a certain cap; the United States signed it under President Bill Clinton, but President George W. Bush renounced it shortly after taking office in 2001.",京都議定書Jīngdū yìdìngshū
laid-off workers,下岗职工
"laissez-faire capitalism An ideology that views the marketplace, unfettered by state interference, as the best regulator of the economic life of a society.",自由放任的資本主義Zìyóu fàngrèn de zīběn zhǔyì
land force,陆军
land power,陆权
Latin American,拉丁美洲
Law Committee,法律委员会
"law of capitalist accumulation: According to Karl Marx, the invariable rule that stronger capitalists, motivated solely by greed, will gradually eliminate weaker competitors and gain increasing control of the market.",法律資本主義積累Fǎlǜ zīběn zhǔyì jīlěi
"law of pauperization: In Karl Marx's view, the rule that capitalism has a built-in tendency toward recession and unemployment, and thus workers inevitably become surplus labor.",法律的貧困化Fǎlǜ de pínkùn huà
Lawyer,律师
Leadership,领导
Leadership selection,选择领导
League,联盟，联合
League of Nations,国际联盟
lebensraum,生存空间
Legal Medical Expert,法医
legation,公使馆
Legislative committees,立法委员会
Legislative drafting,立法起草
Legislative veto,立法否决
Legislatures,立法机关
legitimacy The exercise of political power in a community in a way that is voluntarily accepted by the members of that community.,合法性Héfǎ xìng
legitimate authority The legal and moral right of a government to rule over a specific population and con trol a specific territory; the term legitimacy usually implies a widely recognized claim of governmental authority and voluntary acceptance on the part of the population(s) directly affected.,合法權力Héfǎ quánlì
less developed country,欠发达国家
letter of appointment,委任书
"letter of credence, credentials",国书
letter of introduction,介绍书
letter of recall,召回公文
levels of analysis,层次分析法
liaison office,联络处
"liberal A political philosophy that emphasizes individualism, equality, and civil rights above other values (see also conservative).",自由派Zìyóu pài
"liberal education A type education often associated with private colleges in the United States; stresses the development of critical thinking skills through the study of literature, philosophy, history, and science.",通才教育Tōngcái jiàoyù
liberalism,自由主义
libertarianism A system based on the belief that government is a necessary evil that should interfere with individual freedom and privacy as little as possible; also known as minimalism.,自由意志論Zìyóu yìzhì lùn
limited nuclear war,有限核战争
"limited war The opposite of all-out war, particularly all-out nuclear warfare.",有限戰爭Yǒuxiàn zhànzhēng
limits of territorial sea,领海范围
limits-to-growth proposition,增长极限论
list system Method of proportional representation by which candidates are ranked on the ballot by their party and are chosen according to rank.,名單制Míngdān zhì
loans with no or low interest,无息和低息贷款
lobbying,游说
lobbyist A person who attempts to influence governmental policy in favor of some special interest.,說客Shuō kè
Local government,地方政府
Local government finance,地方政府财政
Local politics,地方政治
local protectionism,地方保护主义
localization,本土化
"Lok Sabha The lower house of India's Federal Parliament; the directly elected House of the People; in India, as in the United Kingdom and other parliamentary systems, governments are formed by the majority party (or a coalition of parties) in the lower house following national elections (see also Rajya Sabha).",人民院Rénmín yuàn
long-circle theory,长周期理论
Low Countries,低地国家
low politics,低级政治
low-cost housing,经济房
"low-information rationality The idea that voters can make sensible choices (for example, casting their ballot wisely) even though they lack knowledge and sophistication about public policy, candidates, and current events.",低信息理性Dī xìnxī lǐxìng
"low-intensity conflict Occurs when one state finances, sponsors, or promotes the sporadic and prolonged use of violence in a rival country.","低強度衝突,低烈度冲突"
"Loyal Opposition The belief, which originated in England, that the out-of-power party has a responsibility to formulate alternative policies and programs; such a party is sometimes called the loyal opposition.",忠誠的反對派Zhōngchéng de fǎnduì pài
loyalty-transferring,效忠转移
luncheon,午宴
"Luther,Martin",路德，马丁
Macedonia,马其顿
Machiavelli,马基雅维里主
party machine,政党核心集团
"Madison,James",麦迪逊，詹姆斯
Magistrate,司法行政官
Magna Carta A list of political concessions granted in 1215 by King John to his barons that became the basis for the rule of law in England.,大憲章Dà xiànzhāng
Majority government,多数派政府
majority rule The principle that any candidate or program that receives at least half of all votes plus one prevails.,多數人統治Duōshù rén tǒngzhì
Maladministration,弊政
Manchuria,满洲
Mandate theory,授权学说
marginal cost,边际成本
marginalization,边缘化
maritime resources,海洋资源
market failure,市场失灵
"Marshall Plan A post-World War II program of massive economic assistance to Western Europe, inspired by the fear that those war devastated countries were ripe for communist backed revolutions.",馬歇爾計劃Mǎxiē'ěr jìhuà
"Marxism The political philosophy of Karl Marx (1818-1883), who theorized that the future belonged to the industrial underclass (&quot;proletariat&quot;) and that a &quot;classless society&quot; would eventually replace one based on social distinctions (classes) tied to property ownership. During the Cold War (1947-1991), the term was often mistakenly applied to everyone who embraced the ideology or sympathized with the policies of the Soviet Union or the People&#039;s Republic of China against the West.",馬克思主義Mǎkèsī zhǔyì
"Marxism-Leninism In the history of the Russian Revolution, Lenin's anticapitalist rationale for the overthrow of the czar (absolute monarch) and the establishment of a new political order based on communist principles set forth in the writings of Karl Marx.","馬克思列寧主義,马列主"
"mass media The vehicles of mass communication, such as television, radio, fIlm, books, magazines, and newspapers.",大眾媒體Dàzhòng méitǐ
Mass membership party,群众性政党
"massive retaliation Strategic military doctrine based on a plausible standing threat of nuclear reprisal employed by the United States in the 1950s during the short-lived era of the U.S. nuclear monopoly; according to this doctrine, if the Soviet Union attacked U.S. allies with conventional military forces, the United States would retaliate with nuclear weapons.",大規模報復Dà guīmó bàofù
materialism,唯物主义
Mayor of XXX County,XX县县长
Mayor/Vice Mayor,市长/副市长
mediation (2),"调解,斡旋"
"Meiji Restoration The end of Japan's feudal era, in 1868, when a small group of powerful individuals crowned a symbolic emperor, embarked on an economic modernization program, and established a modern governmental bureaucracy.",明治維新Míngzhì wéixīn
Member,委员
member of the delegation,代表团成员
member of the National Committee of CPPCC,中国政协委员
"Member, Central Committee",中央委员
"Member, Political Bureau of the CPC Central Committee",政治局委员
"Member, secretariat of the CPC Central Committee",书记处书记
"Member, Standing Committee of Political Bureau, the CPC Central Committee",政治局常委
members of the administrative and technical staff,行政技术人员
"memorandum, aidememoire",备忘录
memorial meeting,追悼会
memorial speech,悼词
mentalism,唯心主义
mercantilism,重商主义
mercenary,雇佣军
merger of states,国家合并
message of condolence,唁电
"message of greeting, message of congratulation",贺电
metaphysics,形而上学
"methodology The way scientists and scholars set about exploring, explaining, proving, or disproving proposi tions in different academic disciplines. The precise methods vary according to the discipline and the object, event, process, or phenomenon under investigation.",方法Fāngfǎ
"Middle East, Mideast",中东
middle-range power,中等国家
Migrants from Three Gorges area,三峡移民
militarism,军国主义
military assistance,军事援助
military attaché,武官
military attaché's office,武官处
military base,军事基地
military coup,军事政变
military defense,军事防御
military expenditures,军费开支
military integration,军事一体化
military intervention,军事干预
military provocation,军事挑衅
military-technical revolution,军事技术革命
Mill,穆勒
Minister,（国务院各部）部长
Minister in Charge of Commission for,（国务院各委员会）主任
Minister/Ministry,部长，部
Ministry of Agriculture,农业部
Ministry of Civil Affairs,民政部
Ministry of Communications,交通部
Ministry of Construction,建设部
Ministry of Culture,文化部
Ministry of Education,教育部
Ministry of Finance,财政部
Ministry of Foreign Affairs,外交部
Ministry of Foreign Trade and Economic Co-operation,对外贸易经济合作部
Ministry of Health,卫生部
Ministry of Information Industry,信息产业部
Ministry of Information Technology and Telecommunications,信息产业部
Ministry of Justice,司法部
Ministry of Labor and Social Security,劳动和社会保障部
Ministry of Land and Natural Resources,国土资源部
Ministry of National Defense,国防部
Ministry of Personnel,人事部
Ministry of Public Health,卫生部
Ministry of Public Security,公安部
Ministry of Railways,铁道部
Ministry of Science and Technology,科学技术部
Ministry of State Security,安全部
Ministry of Supervision,监察部
Ministry of Water Resources,水利部
mirror image,镜像
Mixed government,混合政府
mixed regime A nation in which the various branches of government represent social classes.,混合政體Hùnhé zhèngtǐ
modern distance education,现代远程教育
modern state system,现代国家体系
"Moghuls Muslim invaders who created a dynastic empire on the Asian subcontinent; the greatest Moghul rulers were Babur (1526-1530), Akbar (1556-1605), Shah Jahan (1628-1658), and Aurangzeb (1658-1707); Shah Jahan was the architect of the Taj Mahal.",莫臥爾Mò wò ěr
Monarchy,君主制
money laundering,洗钱
"Monroe Doctrine A status quo international policy laid down by U.S. president James Monroe, who pledged the United States to resist any attempts by outside powers to alter the balance of power in the American hemisphere.",門羅主義Mén luó zhǔyì
moral relativism The idea that all moral judgments are inherently subjective and therefore not valid for anybody but oneself; the belief that no single opinion on morality is any better than another.,道德相對主義Dàodé xiāngduì zhǔyì
Motions Examination Committee,提案审查委员会
"motor voter law A statute that allows residents of a given locality to register to vote at convenient places, such as welfare offices and drivers' license bureaus; the idea behind laws of this kind is to remove technical obstacles to voting and thus promote better turnouts in elections.",電機選民法Diànjī xuǎn mínfǎ
multi-centric system,多中心体系
multilateral agreement,多边协定
multilateral aid,多边援助
multilateral diplomacy,多边外交
multilateralism,多边主义
multinational corporations (MNC) A company that conducts substantial business in several nations.,跨國公司（MNC）Kuàguó gōngsī (MNC)
"multinational state Sovereign state that contains two or more (sometimes many more) major ethno-linguistic groups (or nations) in the territories it controls; notable examples include India, Nigeria, Russia, China, as well as the former Yugoslavia.",多民族國家Duō mínzú guójiā
multinational stated,多民族国家
multiple independently targeted reentry vehicle (MIRV) The name given to intercontinental missiles containing many nuclear warheads that can be individ ually programmed to split off from the nose cone of the rocket upon reentry into the earth's atmosphere and hit different specific targets with a high degree of accuracy.,多個獨立目標再入飛行器（MIRV）Duō gè dúlì mùbiāo zài rù fēixíngqì (MIRV)
multipolarity,多极
Munich conference,慕尼黑会议
mutual,相互的
"mutual assured destruction (MAD) A nuclear stale mate in which both sides in an adversarial relationship know that if either one initiates a war, the other will retain enough retaliatory (""second strike"") capability to administer unacceptable damage even after absorbing the full impact of a nuclear surprise attack; during the Cold War, a stable strategic relationship between the two superpowers.",相互確保摧毀（MAD）Xiānghù quèbǎo cuīhuǐ (MAD)
mutual deterrence The theory that aggressive wars can be prevented if potential victims maintain a military force sufficient to inflict unacceptable punishment on any possible aggressor.,相互威懾Xiānghù wēishè
mutual non-aggression,互不侵犯
mutual recognition,互相承认
mutual respect for sovereignty and territorial integrity,互相尊重主权和领土完整
mutual understanding and mutual accommodation,互谅互让
n a bid to do sth.,旨在做某事i
"NAFTA, the North American Free Trade Agreement",北美自由贸易协定
Nat'l Administrative Commission of the Chinese Catholic Church,中国天主教教务委员会
Nat'l Children's Work Coordination Committee,全国少年儿童工作协调委员会
Nat'l Commission of The People's Republic of China for UNESCO,中国联合国教科文组织全国委员会
Nat'l Council on Cultural and Art Work for Children,全国少年儿童文化艺术委员会
"nation building The process by which inhabitants of a given territory—irrespective of ethnic, religious, or lin guistic differences—come to identify with symbols and institutions of their nation-state.",國家建設Guójiā jiànshè
nation-state A geographically defined community administered by a government.,民族國家Mínzú guójiā
"National Action Party (PAN) The main opposition party in Mexico; the PAN's candidate, Vicente Fox, was elected president in 2000.",國家行動黨（PAN）Guójiā xíngdòng dǎng (PAN)
National Assembly Focal point of France's bicameral legislative branch that must approve all laws.,國民大會Guómín dàhuì
national attribute,国家特性
national boundary,国界
National Committee of the Chinese People's Political Consultative Conference (CPPCC),中国人民政治协商会议全国委员会 (简称全国政协)
national goal,国家目标
national identity,民族国家认同
national interest The aims of policies that help a nation maintain or increase its power and prestige.,國家利益Guójiā lìyì
national liberation,民族解放
national military security,国家军事安全
National People's Congress (NPC),全国人民代表大会 (简称 全国人大)
national power,国家权力
National School of Administration,国家行政学院
national security,国家安全
national security in its broad sense,广义国家安全
national security in its narrow sense,狭义国家安全
national security policy,国家安全政策
national security Protection of a country from external and internal enemies.,國家安全Guójiā ānquán
national self-determination The right of a nation to choose its own government.,民族自決Mínzú zìjué
national strategy,国家战略
National Tourism Administration,国家旅游局
nationalism Devotion to one's nation; a label sometimes applied to excessive patriotism.,民族主義Mínzú zhǔyì
nationalistic universalism: A messianic foreign policy that seeks to spread the ideas and institutions of one nation to other nations.,民族主義的普遍Mínzú zhǔyì de pǔbiàn
nationalization,国有化
"NATO, North Atlantic Treaty Organization",北大西洋公约组织
natural selection,物竞天择
nature law,自然法
naval attaché,海军武官
naval blockade,海上封锁
naval capability,海军实力
naval force,海军
Nazi Germany,纳粹德国
"Nazism Officially called National Socialism, Nazism is a form of fascism based on extreme nationalism, militarism, and racism; the ideology associated with Adolf Hitler and the Holocaust.",納粹主義Nàcuì zhǔyì
Near East,近东
negative sovereignty,消极主权
neo-functionalism,新功能主义
neo-interventionism,新干涉主义
neo-liberal institutionalism,新自由制度主义
neo-liberalism,新自由主义
neo-realism,新现实主义
neoclassical realism,新古典现实主义
"neoconservative In the United States, a term associated with the ideology of top advisors and Cabinet members during the presidency of George W. Bush; neoconservatives advocate a strong national defense, decisive military action in the face of threats or provocations, pro-Israeli policy in the Middle East, and a minimum of government interference in the economy. In general, neoconservatives are opposed to federal regulation of business and banking.",新保守主義Xīn bǎoshǒu zhǔyì
neorealist-neoliberal debate,新现实主义和新自由主义的论战
Netherlands,尼德兰
"neutrality stated, neutral country",中立国
"neutrality The policy of giving the very highest priority to staying out of war by adopting a nonthreatening posture toward neighboring states, maintaining a strictly defensive military capability, and refusing to take sides in conflicts; Finland, Sweden, and Switzerland are among the countries that have pursued a policy of neutrality most successfully.",中立Zhōnglì
neutralized state,永久中立国
