description	term
The museum is open from 9 a.m. to 5 p.m.	博物馆从上午九点到下午五点接待观众。 Bówùguǎn cóng shàngwǔ jiǔ diǎn dào xiàwǔ wǔ diǎn jiēdài guānzhòng.
This hotel can accommodate 800 guests.	这饭店可以接待八百位客人。 Zhè fàndiàn kěyǐ jiēdài bābǎi wèi kèren.
He did not agree until I had talked to him for a long time.	我劝说了半天, 他才肯了。 Wǒ quàn shuō le bàntiān, tā cái kěn le.
Is he willing to come? - Yes.	他肯不肯来？——肯。 Tā kěn bù kěn lái？ —— kěn.
Can't you be quiet for a moment?	你肯安静一会儿吗？ Nǐ kěn ānjìng yīhuìr ma？
cut off the water supply	断水 duàn shuǐ
lose contact with headquarters	与指挥部的联系断了 yǔ zhǐhuībù de liánxì duàn le
give up (or quit) smoking	断烟 duàn yān
artificial leg	假腿 jiǎ tuǐ
bogus democracy; sham democracy	假民主 jiǎ mínzhǔ
phoney peace	假和平 jiǎ hépíng
insincere self-criticism	假检讨 jiǎ jiǎntǎo
He is a person of great moral integrity.	他骨头很硬。 Tā gǔtou hěn yìng.
I'd like to make an appointment with Mr. Wang, the manager.	我想跟王经理约个时间谈谈。 Wǒ xiǎng gēn wáng jīnglǐ yuē ge shíjiān tán tán.
We agreed to meet next Monday.	我们约好下星期一碰头。 Wǒmen yuē hǎo xià Xīngqīyī pèngtóu.
Please ask him to come.	请约他来。 Qǐng yuē tā lái.
I've invited Comrade Wang.	我已约了王同志。 Wǒ yǐ yuē le wáng tóngzhì.
make a deal	做成一笔买卖 Zuò chéng yī bǐ mǎimai
How was business today?	今天买卖怎么样? Jīntiān mǎimai zěnmeyàng？
He used to have a shop in the city.	他原先在城里有个买卖。 Tā yuánxiān zài chénglǐ yǒu ge mǎimai.
take sb.'s measurements	量身材 liáng shēncái /量尺寸 liáng chǐcun
take sb.'s temperature	量体温 liáng tǐwēn
tally with the actual situation; conform to reality	符合实际情况 fúhé shíjì qíngkuàng be in line with the current policy 符合当前政策 fúhé dāngqián zhèngcè
The founding of the People's Republic of China marked the beginning of a news historical period in our country.	中华人民共和国的成立, 标志着我国新的历史阶段的开始。 Zhōnghuá Rénmín Gònghéguó de chénglì, biāozhì zhe wǒguó xīn de lìshǐ jiēduàn de kāishǐ.
This cloth won't shrink when it's washed.	这种布下水不缩。 Zhèzhǒng bù xià shuǐ bù suō.
The enemy has drawn back.	敌人缩回去了。 Dírén suō huí qù le.
make reservations for seats in a restaurant, theatre, etc.	订座 dìng zuò
The others will be here in a minute.	其余的人马上就来。qíyú de rén mǎshàng jiù lái.
play with a child	逗孩子玩 dòu háizi wán
You're kidding!	别逗了。 Bié dòu le.
I'm afraid I can't shoulder such a responsibility.	我怕背不起这样的责任。 Wǒ pà bēi bù qǐ zhèyàng de zérèn.
He has great strength.	他劲儿大。 Tā jìnr dà.
This liquor is quite strong.	这酒劲儿大。 Zhè jiǔ jìnr dà
My temperature is down, but I'm still feeling weak.	我烧是退了, 可身上还是没劲儿。 Wǒ shāo shì tuì le, kě shēnshang hái shì méi jìnr.
You've got to get rid of your arrogant ways.	你这骄傲劲儿得好好改改。 Nǐ zhè jiāo'ào jìnr de hǎohāo gǎi gǎi.
See how happy he looks.	瞧他那高兴劲儿。 Qiáo tā nà gāoxìng jìnr.
Playing cards is no fun; let's go swimming.	打扑克没劲, 咱们去游泳吧。 Dǎ pūkè méi jìn, zánmen qù yóuyǒng ba.
The situation is getting better and better.	形势越来越好。xíngshì yuèláiyuè hǎo.
What office does she hold?	她担任什么职务？ Tā dānrèn shénme zhíwù？
We played chess by the light of a street lamp.	我们就着路灯下棋。 Wǒmen jiù zhe lùdēng xiàqí.
Eat your watermelon over the table.	你就着桌子吃西瓜。 Nǐ jiù zhe zhuōzi chī xīguā.
We'll take this opportunity to have a talk.	我们就这个机会谈谈。 Wǒmen jiù zhège jīhuì tán tán.
Make it anytime that suits you; I'm free anyway.	我反正有空, 就你的时间吧。 Wǒ fǎnzheng yǒu kòng, jiù nǐ de shíjiān ba.
He has peanuts with his drinks.	他用花生就酒。 Tā yòng huāshēng jiù jiǔ.
He has as many as 20 shirts.	光衬衫他就有二十件。 Guāng chènshān tā jiù yǒu èrshí jiàn.
I never said I knew any French.	我本来就不懂法语。 Wǒ běnlái jiù bù dǒng fǎ yǔ.
Even if you won't tell me, I'll know anyway.	你就不说, 我也会知道的。 Nǐ jiù bù shuō, wǒ yě huì zhīdao de.
Even if you get angry, it won't help.	你就生气也没用。 Nǐ jiù shēngqì yě méiyòng.
You must not look only at the surface of things.	你不能只看事情的表面。 Nǐ bù néng zhǐ kàn shìqing de biǎomiàn.
He seems very friendly on the surface.	他表面上好象很和气。 Tā biǎomiàn shàng hǎo xiàng hěn héqi.
He dashed into the burning house and rescued two children.	他冲进着火的房子, 救出了两个小孩。 Tā chōng jìn zháohuǒ de fángzi, jiù chū le liǎng ge xiǎohái.
make tea	冲茶 chōng chá
rinse the plates	把盘子冲一冲。 Bǎ pánzi chōng yī chōng.
develop a roll of film	冲胶卷 chōng jiāojuǎn
They pulled the rope so hard that it snapped.	他们太使劲, 把绳子拉折了。 Tāmen tài shǐjìn, bǎ shéngzi lā shé le.
Having lived among the herdsmen for years, he can have a true understanding of their thoughts and feelings.	他在牧民中间生活多年, 真能体会他们的思想感情。 Tā zài mùmín zhōngjiān shēnghuó duō nián, zhēn néng tǐhuì tāmen de sīxiǎng gǎnqíng.
I'll say a few words about my personal experience (or understanding).	谈谈我个人的体会。 Tán tán wǒ gèrén de tǐhuì.
The symposium enlightened me on two points.	参加了这次科学讨论会, 我有两点体会。 Cānjiā le zhè cì kēxué tǎolùnhuì, wǒ yǒu liǎng diǎn tǐhuì.
the height of a mountain	山的高度 shān de gāodù
be quick-witted; have a supple mind	脑筋灵活 nǎojīn línghuó
flexible and diversified forms of operation	灵活多样的经营方式 línghuó duōyàng de jīngyíng fāngshì
The comrades' explanation helped Lao straighten out his thinking.Zhang to	听了同志们这番解释,老张心里明亮了。 Tīng le tóngzhì men zhè fān jiěshì, lǎo zhāng xīnli míngliàng le.
turn the corner of a house	拐过墙角 guǎi guò qiángjiǎo
turn into an alley	拐进一条胡同 guǎi jìn yī tiáo hútòng
turn to the left	往左拐wǎng zuǒ guǎi
We can't get through here, let's turn back.	前面走不通了, 咱们拐回去吧。 Qiánmian zǒu bù tōng le, zánmen guǎi huíqu ba.
He limped along. or He walked with a limp.	他一拐一拐地走。 Tā yī guǎi yī guǎi de zǒu.
raise the curtain	把帘子挑起来 bǎ liánzi tiǎo qǐ lái
poke a fire	挑火 tiǎo huǒ
pick out a splinter	挑刺 tiǎo cì
Let's put all the cards on the table.	把问题挑开来说吧。 Bǎ wèntí tiǎo kāi lái shuō ba.
stir up trouble; sow discord	挑事 tiǎo shì
It was he who stirred up the quarrel.	这口舌是他挑起来的。 Zhè kǒushé shì tā tiǎo qǐ lái de.
His answer was simple and straightforward. or He gave a clear-cut reply.	他回答得很干脆。 Tā huídá de hěn gāncuì.
I'll be frank with you.	我干脆跟你说吧。 Wǒ gāncuì gēn nǐ shuō ba.
Make it snappy! or Be quick about it!	干脆一点嘛! gāncuì yīdiǎn ma!
Just say yes or no.	你干脆说"行"还是"不行"。 Nǐ gāncuì shuō "xíng" háishi "bùxíng".
She simply denied that such a thing had ever happened.	她干脆不承认有这回事。 Tā gāncuì bù chéngrèn yǒu zhè huí shì.
The food at our school is no good.	我们学校的伙食不好。 Wǒmen xuéxiào de huǒ•shí bù hǎo.
He speaks English and French with equal fluency.	他说英语和法语同样流利。 Tā shuō Yīngyǔ hé Fǎyǔ tóngyàng liúlì.
Go and see for yourself.	你亲自去看看。 Nǐ qīnzì qù kànkan.
The film vividly reflects the life of the present day college students.	影片生动地反映了当代大学生的生活。 Yǐngpiàn shēngdòng de fǎnyìng le dāngdài dàxuéshēng de shēnghuó.
vivid language	生动活泼的语言 shēngdòng huópo de yǔyán
It was a lively meeting.	这次会开得生动活泼。Zhè cì huì kāi de shēngdòng huópo.
I heartily sympathize with you. or I have every sympathy for you.	我很同情你。 Wǒ hěn tóngqíng nǐ.
Let's see the workshop first and then the nursery.	先看生产车间, 其次再参观托儿所。 Xiān kàn shēngchǎn chējiān, qícì zài cānguān tuō'érsuǒ.
The secondary problems will be taken care of easily now that the main problem has been solved.	首要的问题已经解决, 其次的问题就比较好办了。 Shǒuyào de wèntí yǐjing jiějué, qícì de wèntí jiù bǐjiào hǎo bàn le.
Content comes first, form second.	内容是主要的, 形式还在其次。 Nèiróng shì zhǔyào de, xíngshì hái zài qícì.
It took him only three days to learn to skate.	他三天工夫就学会了滑冰。 Tā sān tiān gōngfu jiù xuéhuì le huábīng.
(of actors, athletes, etc.) practise	练工夫 Liàn gōngfu
The acrobat's skill is really superb!	这位杂技演员可真有工夫! Zhè wèi zájì yǎnyuán kě zhēn yǒu gōngfu!
put in a lot of work	花了好大工夫 Huā le hǎo dà gōngfu
His girl-friend gave him the brush-off.	他的女朋友把他甩了。 Tā de nǚpéngyou bǎ tā shuǎi le.
The service has improved a lot.	服务态度有很大的改进。 Fúwù tàidu yǒu hěn dà de gǎijìn.
People must adapt their thinking to the changed conditions.	人们的思想必须适应已经变化了的情况。 Rénmen de sīxiǎng bìxū shìyìng yǐjing biànhuà le de qíngkuàng.
The good points of the novel may be summarized as follows.	这部小说的优点概括起来有以下几方面。 Zhè bù xiǎoshuō de yōudiǎn gàikuò qǐlai yǒu yǐxià jǐ fāngmiàn.
to sum up	概括起来说 gàikuò qǐlai shuō
to put it briefly	概括地说 gàikuò de shuō
Please give your views in broad outline.	请把你的看法概括地讲一讲。 Qǐng bǎ nǐ de kànfǎ gàikuò de jiǎng yī jiǎng.
I won't be taken in this time.	这回我可不上当啦! Zhè huí wǒ kě bù shàngdàng la! We're fools to have chosen this path; it's full of puddles. 走这条路可上当了, 尽是水坑。 Zǒu zhè tiáo lù kě shàngdàng le, jìn shì shuǐkēng.
We won't walk into that trap.	我们不上那个当。 Wǒmen bù shàng nàge dāng.
He's aged a lot and his appearance is beyond recognition.	他老多了, 模樣變得都認不出來了。 Tā lǎo duō le, múyàng biàn de dōu rèn bù chūlai le.
What did that person look like?	那人是什麼模樣？ Nà rén shì shénme múyàng？
The child takes after his mother.	這孩子的模樣像他媽媽。 Zhè háizi de múyàng xiàng tā māma.
The young lady is quite pretty.	這姑娘模樣兒真不錯。 Zhè gūniang múyàngr zhēn bù cuò.
Don't stop me; I must go.	别拦着我, 我一定得走。 Bié lán zhe wǒ, wǒ yīdìng děi zǒu. He was just about to speak when I stopped him. 他刚要说, 我把他给拦住了。 Tā gāng yào shuō, wǒ bǎ tā gěi lán zhu le.
A river blocked our way.	一道河拦住了我们的去路。 Yī dào hé lán zhu le wǒmen de qù lù.
He has quite a lot of friends.	他有好些個朋友。 Tā yǒu hǎoxiē ge péngyou.
I was a guest at an old friend's yesterday.	be a guest: 我昨天到一个老朋友家里去做客。 Wǒ zuótiān dào yī ge lǎopéngyou jiālǐ qù zuòkè.
He got into the character that he was playing.	他演这个角色很投入。 Tā yǎn zhège juésè hěn tóurù.
streamline (or simplify) overlapping administrative organizations	精简重叠的行政机构 jīngjiǎn chóngdié de xíngzhèng jīgòu
Stop fooling with that alarm clock.	你别弄闹钟了。 Nǐ bié nòng nàozhōng le.
prepare a meal; cook	弄饭 nòng fàn
I haven't got enough time. Will you please do it for me?	我来不及了, 你帮我弄弄吧。 Wǒ láibují le, nǐ bāng wǒ nòng ba.
His explanation only made me feel more puzzled than ever.	他这一说反把我弄糊涂了。 Tā zhè yī shuō fǎn bǎ wǒ nòng hútu le.
He got his clothes dirty.	他把衣服弄脏了。 Tā bǎ yīfu nòng zāng le. Certain questions have yet to be clarified. 有些问题还需要弄清楚。 Yǒuxiē wèntí hái xūyào nòng qīngchu.
Go and get some water.	你去弄点水来。 Nǐ qù nòng diǎn shuǐ lái.
play tricks	弄手段 nòng shǒuduàn
She does everything patiently.	她做任何事都耐心得很。 Tā zuò rènhé shì dōu nàixīn de hěn.
lose one's patience; be out of patience	失去耐心 Shīqù nàixīn
A lorry ran into our car and damaged it.	一辆卡车撞坏了我们的汽车。 Yī liàng kǎchē zhuàng huài le wǒmen de qìchē.
be knocked down by a truck	被卡车撞倒了 Bèi kǎchē zhuàng dǎo le
I tried to avoid him, but it was just my luck to bump into him.	我不想见他, 偏撞上他了。 Wǒ bù xiǎng jiàn tā, piān zhuàng shàng tā le.
try one's luck; take a chance	撞撞运气 zhuàng yùnqi
Her technique is not quite up to the mark.	她的技术还差点儿。 Tā de jìshù hái chàdiǎnr.
The quality of this cloth is fine, but the colour is not quite right. or The cloth isquite good except for the colour.	这块布料质量挺好, 就是颜色差点儿。 Zhè kuài bùliào zhìliàng tǐng hǎo, jiùshì yánsè chàdiǎnr.
This pen is not as good as that one.	这支笔比那支笔差点儿。 Zhè zhī bǐ bǐ nà zhī bǐ chàdiǎnr.
I almost missed the bus.	我差点儿没赶上车。 Wǒ chàdiǎnr méi gǎnshàng chē. The question was so difficult I almost failed to answer it. 那个问题可难了, 我差点儿没答上来。 Nà ge wèntí kě nán le, wǒ chàdiǎnr méi dá shànglai. You narrowly escaped getting a shock. 你差点儿(没)触电。 Nǐ chàdiǎnr (méi) chùdiàn.
doubtless; without a doubt; without question	毫无疑问 Háowú yíwèn Some people question his ability to do the job. 有人对他是否胜任这项工作提出疑问。 Yǒurén duì tā shì-fǒu shèngrèn zhè xiàng gōngzuò tíchū yíwèn.
You shouldn't shift the blame onto others.	你不应该把责任推到别人身上。 Nǐ bù yīnggāi bǎ zérèn tuī dào biéren shēnshang.
If anything goes wrong, you'll have to answer for it.	这事如果搞不好, 你要负责任。 Zhè shì rúguǒ gǎo bù hǎo, nǐ yào fù zérèn.
a window overlooking the street	临街的窗子 lín jiē de chuāngzi
This house looks out on a river.	这所房子临河。 Zhè suǒ fángzi lín hé.
I bought this book just before I left Beijing.	这本书是我临离开北京时买的。 Zhè běn shū shì wǒ lín líkāi Běijīng shí mǎi de.
Mix some sugar into the milk.	牛奶里加点糖调一下。 Niúnǎi lǐ jiā diǎn táng tiáo yīxià.
We've already packed and will leave tomorrow morning.	行李都打好了, 我们明天早上就动身。Xíngli dōu dǎ hǎo le, wǒmen míngtiān zǎoshang jiù dòngshēn.
crush to pieces	压碎 yā suì
crush to death	压死 yā sǐ
The fruit weighed the branches down.	果子把树枝压弯了。 Guǒzi bǎ shùzhī yā wān le. This box won't stand much weight. 这盒子怕压。 Zhè hézi pà yā.
drink some hot water to ease a cough	喝点热水把咳嗽压一压 Hē diǎn rèshuǐ bǎ késou yā yī yā
Don't you try to intimidate people by pinning labels on them.	别拿大帽子压人。 Bié ná dàmàozi yā rén.
Even a greater natural calamity cannot daunt us.	再大的自然灾害也压不垮我们。 Zài dà de zìrán zāihài yě yā bù kuǎ wǒmen.
This document was pigeonholed for quite some time.	这份公文压了不少时间。 Zhè fèn gōngwén yā le bùshǎo shíjiān.
Shelve this matter for a few days.	这事儿先压几天再说。 Zhè shìr xiān yā jǐ tiān zàishuō.
cut sth. into halves	切成两半 qiē chéng liǎng bàn
Let me know beforehand if you won't be going.	你要是不去, 事先打个招呼。 Nǐ yào shì bù qù, shìxiān dǎ ge zhāohu.
get one's luggage ready (formal)	摒挡行李 bìngdàng xíngli
the weakest link	最薄弱的一环 zuì bóruò de yī huán
save time	省时间 shěng shíjiān
save a lot of trouble	省掉不少麻烦 shěng diào bùshǎo máfan
I can't save much from my monthly wages.	我一个月省不下几个钱。 Wǒ yī ge yuè shěng bù xià jǐ ge qián.
These two words cannot be omitted.	这两个字不能省。 Zhè liǎng ge zì bù néng shěng.
do one's bit in building socialism	为建设社会主义尽一分力量 wèi jiànshè shèhuìzhǔyì jìn yī fēn lìliang
I'm not the only one who thinks this way.	不光是我才这样想。 Bù guāng shì wǒ cái zhèyàng xiǎng.
There are plenty of these herbs in the hills.	这种草药山上有的是。 Zhèzhǒng cǎoyào shān shàng yǒudeshì.
strike the table and pour out a stream of abuse	拍桌子大骂 pāi zhuōzi dà mà
I just manage to get by from day to day.	我是混一天算一天。 Wǒ shì hùn yī tiān suàn yī tiān.
This time he got exactly what he wanted.	这件事可如了他的意了。 Zhè jiàn shì kě rú le tā de yì le.
put one's hands in one's pockets	把双手插在口袋里 bǎ shuāng shǒu chā zài kǒudài lǐ
I'd like you to take something to him.	我想托你给他捎点东西。 Wǒ xiǎng tuō nǐ gěi tā shāo diǎn dōngxi.
Whether he comes or not, we'll have to do it.	不论他来不来, 我们都得做。bùlùn tā lái bù lái, wǒmen dōu děi zuò.
This chap can't keep anything to himself.	这人肚子里藏不住话。 Zhè rén dùzi lǐ cáng bù zhù huà.
Don't push. Go in one by one.	别挤了!一个挨一个进去。 Bié jǐ le! Yī ge āi yī ge jìnqu.
