description	term
positive and negative	正负 zhèng fù
regular; according to standards	正规 zhèng guī
decent; honorable; proper; serious; according to standards	正经 zhèng jing
healthy environment; healthy atmosphere; righteousness; vital energy (in Chinese medicine)	正气 zhèng qì
regime; (wield) political power	政权 zhèng quán
to confirm (sth to be true); to verify	证实 zhèng shí
credentials; certificate	证书 zhèng shū
justice; righteous; righteousness	正义 zhèng yì
serious	郑重 zhèng zhòng
symptom (of an illness)	症状 zhèng zhuàng
branch; classifier for sticks, rods, pencils etc	枝 zhī
to prop up; to support; strut; brace	支撑 zhī chēng
to spend; to pay out; expense	支出 zhī chū
body fat	脂肪 zhī fáng
perception; consciousness	知觉 zhī jué
tributary (river)	支流 zhī liú
to dominate; to allocate	支配 zhī pèi
to provide assistance; to support; to back	支援 zhī yuán
mainstay; pillar; prop; backbone	支柱 zhī zhù
satisfied with what one has (idiom)	知足常乐 zhī zú cháng lè
to work a shift; on duty	值班 zhí bān
live broadcast (not recorded); direct internet broadcasting	直播 zhí bō
colony	殖民地 zhí mín dì
function; role	职能 zhí néng
post; office; position	职位 zhí wèi
post; position; job; duties	职务 zhí wù
norm; index; target	指标 zhǐ biāo
to appoint; to assign; to indicate clearly and with certainty; designated	指定 zhǐ dìng
fingernail	指甲 zhǐ jia
order; command; instruction	指令 zhǐ lìng
compass	指南针 zhǐ nán zhēn
to point out; to indicate; to instruct; directives; instructions; CL:個|个[gè]	指示 zhǐ shì
to hope for sth; to count on; hope	指望 zhǐ wàng
to criticize; to find fault with; to denounce	指责 zhǐ zé
law and order; public security	治安 zhì ān
to punish; punishment; sanctions (incl. economic)	制裁 zhì cái
to express in words or writing; to make a speech (esp. short introduction, vote of thanks, afterword, funeral homily etc); to address (an audience); same as 致詞|致词	致辞 zhì cí
to work out; to formulate	制订 zhì dìng
to subdue; to check; to bring under control; (in former times) what one is allowed to wear depending on social status; uniform (army, party, school etc); livery (for company employees); CL:套[tào]	制服 zhì fú
to govern; to administer; to manage; to control	治理 zhì lǐ
intelligence; intellect	智力 zhì lì
to devote to; to dedicate to	致力于 zhì lì yú
to detain; retention	滞留 zhì liú
intelligent; able; smart (phone, system, bomb etc)	智能 zhì néng
ambition; resolve; backbone; drive; spirit	志气 zhì qì
IQ (intelligence quotient)	智商 zhì shāng
to cause; to result in	致使 zhì shǐ
to restrict; condition	制约 zhì yuē
to curb; to put a stop to; to stop; to check; to limit	制止 zhì zhǐ
devoted; fidelity; loyal; loyalty	忠诚 zhōng chéng
the end; end point; finishing line (in a race); destination; terminus; CL:個|个[gè]	终点 zhōng diǎn
to cut short; to break off; to discontinue	中断 zhōng duàn
in the end; after all is said and done	终究 zhōng jiū
neutral	中立 zhōng lì
entire year; throughout the year; age at death	终年 zhōng nián
lifelong; all one's life; marriage	终身 zhōng shēn
faithful	忠实 zhōng shí
heartfelt; wholehearted; cordial	衷心 zhōng xīn
central; middle; center; central authorities (of a state)	中央 zhōng yāng
to stop; to terminate (law)	终止 zhōng zhǐ
tumor	肿瘤 zhǒng liú
seed; CL:顆|颗[kē],粒[lì]	种子 zhǒng zi
race; ethnicity	种族 zhǒng zú
as everyone knows (idiom)	众所周知 zhòng suǒ zhōu zhī
center of gravity; central core; main part	重心 zhòng xīn
prefecture; state (e.g. of US); province (old); administrative division (old)	州 zhōu
boat	舟 zhōu
porridge (of rice or millet)	粥 zhōu
periphery; rim	周边 zhōu biān
careful; thorough	周密 zhōu mì
anniversary; annual	周年 zhōu nián
period; cycle	周期 zhōu qī
complication; twists and turns; problem; setback	周折 zhōu zhé
turnover (in cash or personnel); to have enough resources to cover a need	周转 zhōu zhuǎn
wrinkle; CL:道[dào]	皱纹 zhòu wén
day and night; period of 24 hours; continuously, without stop	昼夜 zhòu yè
tree trunk; stump (tree root); a plant; classifier for trees or plants; to involve others (in shady business)	株 zhū
(pron) everyone; Ladies and Gentlemen; Sirs	诸位 zhū wèi
year after year; with each passing year; over the years	逐年 zhú nián
to lean on; to prop on	拄 zhǔ
to organize; to host (a conference or sports event)	主办 zhǔ bàn
to lead; to manage	主导 zhǔ dǎo
in charge; responsible for	主管 zhǔ guǎn
main stream (of a river); fig. the essential point; main viewpoint of a matter	主流 zhǔ liú
sovereignty	主权 zhǔ quán
theme; subject	主题 zhǔ tí
assistant	助理 zhù lǐ
injection; to inject	注射 zhù shè
to watch attentively; to gaze	注视 zhù shì
marginal notes; annotation; to annotate; to add comments to text	注释 zhù shì
assistant; helper	助手 zhù shǒu
to cast (pour metal into a mold)	铸造 zhù zào
to station; to garrison (troops)	驻扎 zhù zhā
residence; tenement	住宅 zhù zhái
to pay attention to; to emphasize	注重 zhù zhòng
to write; literary work; book; article; writings; CL:部[bù]	著作 zhù zuò
to drag; to haul	拽 zhuài
specialty; special knowledge or ability	专长 zhuān cháng
special-purpose trip	专程 zhuān chéng
specialized subject; branch (of medicine); specialized training school	专科 zhuān kē
patent	专利 zhuān lì
special topic	专题 zhuān tí
tiles and bricks	砖瓦 zhuān wǎ
to pass on; to convey; to communicate	转达 zhuǎn dá
transfer (technology, goods etc); conveyancing (property)	转让 zhuǎn ràng
to shift; to divert or distract (attention etc); to change; to transform; metastasis (medicine)	转移 zhuǎn yí
shift in the trend of events; plot shift in a book; twists and turns	转折 zhuǎn zhé
biography; CL:篇[piān],部[bù]	传记 zhuàn jì
equipment; to equip; to outfit	装备 zhuāng bèi
to load or unload; to transfer; to assemble and disassemble	装卸 zhuāng xiè
stately	庄严 zhuāng yán
grave; solemn; dignified	庄重 zhuāng zhòng
tents; classifier for houses	幢 zhuàng
spectacular; magnificent sight	壮观 zhuàng guān
magnificence; magnificent; majestic; glorious	壮丽 zhuàng lì
brave; heroic	壮烈 zhuàng liè
mourning; memorial (service etc)	追悼 zhuī dào
investigate; look into	追究 zhuī jiū
norm; standard; criterion	准则 zhǔn zé
to carve and polish (jade); to polish and refine a literary work	琢磨 zhuó mó
to put one's hand to it; to start out on a task; to set out	着手 zhuó shǒu
to give thought (to others); to consider (other people's needs)	着想 zhuó xiǎng
distinction; excellence; outstanding; surpassing; distinguished; splendid	卓越 zhuó yuè
put emphasis on; to stress; to emphasize	着重 zhuó zhòng
capital (as in capitalism)	资本 zī běn
property; assets	资产 zī chǎn
senior (in terms of depth of accumulated experience); deeply qualified	资深 zī shēn
attitude; posture; stance	姿态 zī tài
taste; flavor; feeling	滋味 zī wèi
to grow (usually of abstract things); to yield; to develop	滋长 zī zhǎng
to subsidize; to provide financial aid; subsidy	资助 zī zhù
bullet; CL:粒[lì],顆|颗[kē],發|发[fā]	子弹 zǐ dàn
feeling inferior; self-abased	自卑 zì bēi
spontaneous	自发 zì fā
regeneration through one's own effort (idiom); self-reliance	自力更生 zì lì gēng shēng
complacent; self-satisfied	自满 zì mǎn
letter (of the alphabet); CL:個|个[gè]	字母 zì mǔ
to act for oneself; autonomous	自主 zì zhǔ
tracks; trail; footprint; trace; vestige	踪迹 zōng jì
brown	棕色 zōng sè
objective; aim; goal	宗旨 zōng zhǐ
in short; in a word; in brief	总而言之 zǒng ér yán zhī
sum	总和 zǒng hé
lit. warp and weft in weaving; vertically and horizontal; length and breadth; criss-crossed; able to move unhindered; abbr. for 合縱連橫|合纵连横[Hé zòng Lián héng], School of Diplomacy during the Warring States Period (475 - 221 BC)	纵横 zòng héng
corridor; aisle; hallway; colonnade; passageway; piazza; veranda	走廊 zǒu láng
to leak (of information, liquid etc); to divulge	走漏 zǒu lòu
to smuggle; to have an illicit affair	走私 zǒu sī
to beat up; to break to pieces	揍 zòu
to rent; to lease; to hire	租赁 zū lìn
sufficient to...; so much so that; so that	足以 zú yǐ
to form; to organize; class; section	组 zǔ
to obstruct; to hinder; to block	阻碍 zǔ ài
father's father; paternal grandfather	祖父 zǔ fù
to stop; to obstruct	阻拦 zǔ lán
to thwart; to obstruct (sth)	阻挠 zǔ náo
to study meticulously; to delve into	钻研 zuān yán
diamond; CL:顆|颗[kē]	钻石 zuàn shí
lip; CL:片[piàn]	嘴唇 zuǐ chún
to follow; to abide by; to comply with; compliance	遵循 zūn xún
dignity; sanctity; honor; majesty	尊严 zūn yán
about; approximately; left and right; around; attendant	左右 zuǒ yòu
to practice fraud; to cheat; to engage in corrupt practices	作弊 zuò bì
to act as host	做东 zuò dōng
to become invalid; to cancel; to delete; to nullify	作废 zuò fèi
style; style of work; way	作风 zuò fēng
work and rest	作息 zuò xī
motto; maxim	座右铭 zuò yòu míng
make the decision; take charge of; back up; support; be host	做主 zuò zhǔ
