sentenceId	thai	phonetic	english	level
3-4.	ฝีมือผมเอง/ทำเอง  	fǐi-mʉʉ pǒm eeng / tam-eeng	 I made it myself.	low-intermediate
3-5.	ระวังนะ มันร้อน  	rá-wang ná  man rɔ́ɔn	 Be careful—it’s hot.	low-intermediate
3-6.	เก่งนี่ 	gèng nîi	 Wow, you’re very good at that! / Great job! / Wow, you’re very good at that! / Brilliant!	low-intermediate
3-7.	เรื่องมาก(จัง)  	"rʉ̂ang mâak	 rʉ̂ang mâak jang"	low-intermediate
3-8.	ใช่แล้ว 	châi lɛ́ɛo	 That’s right!	low-intermediate
3-9.	รู้ได้ยังไง 	rúu dâi yang-ngai	 How do you know?	low-intermediate
3-10.	ตกลงครับ 	dtòk-long kráp	 Okay, (I agree). / Agreed. / Alright.	low-intermediate
3-11.	รู้ไหม 	rúu-mǎi	 Do/Did you know…?	low-intermediate
3-12.	(ผม)ลืมไป 	"pǒm lʉʉm bpai	 lʉʉm bpai"	low-intermediate
3-13.	เดี๋ยวนะคะ 	dǐao ná-ká	 Wait. / Wait a second. / Hold on.	low-intermediate
3-14.	เจอแล้ว 	jəə lɛ́ɛo	 I found it/him/her.	low-intermediate
3-15.	ยังไม่ง่วง 	yang mâi ngûang	 I’m not sleepy yet.	low-intermediate
3-16.	มาแล้ว 	maa lɛ́ɛo	 It’s here. / She’s here. / Here he comes (He’s here.)	low-intermediate
3-17.	อีกแล้วเหรอ 	iìk lɛ́ɛo rə̌ə	 Again?! / Not again! / Him again?! / Another… ?!	low-intermediate
3-18.	แล้วคุณล่ะ  	lɛ́ɛo kun lâ	 What about you? / And you?	low-intermediate
3-19.	หึงหรือ  	hʉ̌ng rʉ̌ʉ	 Are you jealous?	low-intermediate
3-20.	เกือบไปแล้ว  	gʉ̀ap bpai lɛ́ɛo	 That was close! / Close one! / Close call!	low-intermediate
4-1.	ทำง่าย  	tam ngâai	 Easy to make!	low-intermediate
4-2.	อร่อยจังเลย  	à-rɔ̀i jang ləəi	 It’s delicious! / This is great!	low-intermediate
4-3.	ไม่มีอะไรเหลือ 	mâi mii àrai lʉ̌a	 There’s nothing left. / It’s all gone.	low-intermediate
4-4.	ต้องอย่างนั้น(สิ) 	"dtɔ̂ng yàang nán	 dtɔ̂ng yàang nán sì"	low-intermediate
4-5.	ไม่มีทาง 	mâi mii taang	 No way!	low-intermediate
4-6.	ดูแลตัวเองดีๆนะ 	duu-lɛɛ dtua-eeng dii-dii ná (kráp/ká)	 Take good care of yourself. / Please take care.	low-intermediate
4-7.	ไม่ชอบขี้หน้าเขา  	mâi chɔ̂ɔp kîi-nâa kǎo	 SLANG - I can’t stand him! / I hate the sight of him!	low-intermediate
4-8.	สวยไม่ใช่เล่น   	sǔai mâi châi lên	 SLANG - She’s really beautiful! / She’s pretty darn good lookin’!	low-intermediate
4-9.	คุณต้องการอะไร 	kun dtɔ̂ng-gaan à-rai	 What do you want? / What do you need?	low-intermediate
4-10.	ตัดใจไม่ได้ 	dtàt-jai mâi-dâi	 I can’t get over her. / I can’t forget her. / I can’t let her go. / I can’t stop thinking about her.	low-intermediate
4-11.	ทำไมไม่บอก(ผม)  	"tam-mai mâi bɔ̀ɔk	 tam-mai mâi bɔ̀ɔk pǒm"	low-intermediate
4-12.	เป็นครั้งแรกในชีวิต 	bpen kráng-rɛ̂ɛk nai chii-wít	 It’s the first time in my life. / This is the first time (I’ve done this) in my life.	low-intermediate
4-13.	จะเข้าห้องน้ำ   	jà kâo hɔ̂ng-nám	 INFORMAL I’m gonna go to the bathroom/restroom.	low-intermediate
4-14.	เอาไงดี   	ao ngai dii	 INFORMAL Now what? / What should we do now?	low-intermediate
4-15.	คอยดูนะ 	kɔɔi duu ná	 Wait and see! / You’ll see! / You watch…	low-intermediate
4-16.	ตื่นแล้วเหรอ  	dtʉ̀ʉn lɛ́ɛo rə̌ə	 Oh, you’re awake? / You’re up? / Are you awake?	low-intermediate
4-17.	ให้ตายเถอะ  	hâi dtaai tə̀ 	 INFORMAL - For God’s sake! / Damn it! / Bloody hell! / Shit!	low-intermediate
4-18.	อย่าเพิ่ง/อย่าเพิ่ง... 	yàa pə̂ng / yàa pə̂ng…	 Don’t! / Don’t….  (do something yet)	low-intermediate
4-19.	อย่ามาขวาง  	yàa maa kwǎang	 INFORMAL/INSULTING -  Get out of my way! / Don’t block my way!	low-intermediate
4-20.	ใช้เวลาให้เป็นประโยชน์ 	chái wee-laa hâi bpen bprà-yòot	 Make good use of your time. / Spend your time wisely.	low-intermediate
6-1.	พอได้แล้ว 	pɔɔ dâi lɛ́ɛo	 That’s enough! (stop it!) / Enough! / Break it up! / Knock it off!	low-intermediate
6-2.	เลิกคิดได้แล้ว 	lə̂ək kít dâi lɛ́ɛo	 Quit thinking about it! / Get it out of your head!	low-intermediate
6-3.	ไม่ต้องโกหก 	mâi dtɔ̂ng goo-hòk	 You don’t have to lie. / Don’t lie (to me).	low-intermediate
6-4.	อย่าทำอะไรผม(เลย)  	yàa tam à-rai pǒm (ləəi)	 Don’t hurt me. / Don’t do anything to me.	low-intermediate
6-5.	ระวังไว้ให้ดี(เถอะ)  	rá-wang wái hâi dii tə̀	 Watch your back. / Be very careful. / Look out.	low-intermediate
6-6.	ถอยไป 	tɔ̌ɔi bpai	 Get back! / Get away! / Back off! / Stay away from me!	low-intermediate
6-7.	อยู่เฉยๆ 	yùu chə̌əi-chə̌əi	 Stay still. / Don’t move. / Stay right there. / Sit tight.	low-intermediate
6-8.	เบาๆหน่อย 	bao-bao nɔ̀i	 Softly! / Not so rough. / Easy! / Not so loud!	low-intermediate
6-9.	อย่าดิ้น 	yaa dîn	 Don’t move! / Don’t try to escape! / Don’t squirm!	low-intermediate
6-10.	ปล่อยฉันเดี๋ยวนี้ 	bplɔ̀i chǎn dǐao-níi	 Let go of me (right now)!	low-intermediate
6-11.	พูดมาซิ 	pûut maa sí	 Tell me! / Say it!	low-intermediate
6-12.	ไหนบอก(ว่า)...  	nǎi bɔ̀ɔk (wâa)…	 Hey, I thought you said…	low-intermediate
6-13.	ฉิบหาย 	chìp-hǎai	 Damn! / Shit!	low-intermediate
6-14.	เวรกรรม 	ween-gam	 Damn! / Damn it! / Oh, crap! / What bad luck! (This also means karma or What goes around, comes around.)	low-intermediate
6-15.	ทำไมมาช้าจัง 	tam-mai maa cháa jang	 Why are you so late?	low-intermediate
6-16.	ไม่น่าล่ะ / มิน่าล่ะ 	mâi-nâa-lâ / mi-nâa-lâ	 No wonder… ! / No wonder! / It’s no wonder… ! /  That’s why… !	low-intermediate
6-17.	ไม่ใช่เด็กๆแล้วนะ 	mâi-châi dèk-dèk lɛ́ɛo ná	 You’re not a kid/child (anymore)!	low-intermediate
6-18.	ไม่ดีเหรอ 	mâi-dii rə̌ə	 Is that (so) bad? / What’s wrong with that?	low-intermediate
6-19.	ไม่คุ้มค่า 	mâi kúm-kâa	 It’s not worth it.	low-intermediate
6-20.	ปล่อยให้(มัน)เป็นไป 	bplɔ̀i hâi (man) bpen-bpai	 Let it go. / Let it be. / So be it.	low-intermediate
8-1.	เป็นอะไร  	bpen à-rai	 Are you okay? / What’s wrong? / What’s going on?	low-intermediate
8-2.	มีใครไปบ้าง  	mii krai bpai bâang	 Who’s going?	low-intermediate
8-3.	บอกว่าอะไร(คะ/ครับ)  	bɔ̀ɔk wâa à-rai (ká/kráp)	 What did he say?	low-intermediate
8-4.	พูดถึงอะไร  	pûut-tʉ̌ng à-rai	 What are you talking about?	low-intermediate
8-5.	คิดอะไรอยู่  	kít à-rai yùu	 What are you thinking? / What are you thinking about?	low-intermediate
8-6.	ไปเอามาจากไหน  	bpai ao maa jàak nǎi	 Where did you get it/that?	low-intermediate
8-7.	ทำอะไรอยู่ / ทำอะไรอ่ะ  	tam à-rai yùu / tam à-rai à	 INFORMAL What are you doing?	low-intermediate
8-8.	ช่วยหน่อย  	chûai nɔ̀i	 INFORMAL Help me. / Can you help me?	low-intermediate
8-9.	ว่ายังไงบ้างครับ  	wâa yang-ngai bâang kráp	 What did she say?	low-intermediate
8-10.	กลัวอะไร  	glua à-rai	 What are you afraid of?	low-intermediate
8-11.	จำไม่ได้หรือ  	jam mâi-dâi rə̌ə	 You don’t remember? / Don’t you remember?	low-intermediate
8-12.	นานแค่ไหนแล้วที่...  	naan kɛ̂ɛ-nǎi lɛ́ɛo tîi...	 How long (has it been since)… ?	low-intermediate
8-13.	ใครจะไปรู้ 	krai jà bpai rúu	 Who knows? / It’s anyone’s guess. / You never know.	low-intermediate
8-14.	จะซื้ออะไรให้ดี  	jà sʉ́ʉ à-rai hâi dii	 What should I get (him)? (for example: for his birthday)	low-intermediate
8-15.	(…) จะว่ายังไง  ((…) 	jà wâa yang-ngai	 What would (…) say/think?  What do (you) say? /	low-intermediate
8-16.	เอาอย่างนี้/งี้  	ao yàang níi/ngíi	 How about this…? / I tell you what… / Okay, then… (giving suggestion)	low-intermediate
8-17.	เคยไปหรือ  	kəəi bpai rə̌ə	 Oh, have you been (there) before? / Oh, you’ve been there before?	low-intermediate
8-18.	ดีขึ้นไหม  	dii-kʉ̂n mǎi	 Are you better now? / Is it better now?	low-intermediate
8-19.	มันผิดตรงไหน  	man pìt dtrong-nǎi	 What’s wrong with that/it?	low-intermediate
8-20.	เขาทำอะไรคุณ  	kao tam à-rai kun	 What did (she) do to you?	low-intermediate
11-1.	ลืมอะไรเหรอ  	lʉʉm à-rai rə̌ə	 Did you forget something?	low-intermediate
11-2.	ลืมบอก(ไป)ว่า...   	lʉʉm bɔ̀ɔk (bpai) wâa...	 I forgot to tell you…	low-intermediate
11-3.	ผมจะไม่มีวันลืม  	pǒm jà mâi mii wan lʉʉm 	 I will never forget! / I’ll always remember!	low-intermediate
11-4.	จริงเหรอ  	jing rə̌ə	 Really?/ Seriously?	low-intermediate
11-5.	นี่คุณเมาหรือเปล่า  	nîi kun mao rʉ̌ʉ-bplàao	 Are you drunk?	low-intermediate
11-6.	ไม่ไหวแล้ว  	mâi-wǎi lɛ́ɛo	 I can’t take it anymore! / I can’t stand this anymore! / I can’t do this anymore!	low-intermediate
11-7.	ใจเย็นๆ  	jai yen-yen	 Relax. / Calm Down. / Take it easy.	low-intermediate
11-8.	ทำไปได้ยังไง  	tam bpai dâi yang-ngai	 How could you do that?!	low-intermediate
11-9.	ผมคิดว่า...  	pǒm kít wâa...	 I think…	low-intermediate
11-10.	ผมว่า...  	pǒm wâa...	 INFORMAL  I think…	low-intermediate
11-11.	มันไม่ง่าย  	man mâi ngâai	 It’s not easy. / It won’t be easy.	low-intermediate
11-12.	อย่าเข้ามานะ  	yàa kâo maa ná	 Don’t come any closer. / Don’t come in here.	low-intermediate
11-13.	ไปให้พ้น  	bpai hâi pón	 Get lost. / Get out of here. / Go away!	low-intermediate
11-14.	โกรธเหรอ  	gròot rə̌ə	 Are you angry?	low-intermediate
11-15.	จะพยายาม  	jà pá-yaa-yaam	 I’ll try.	low-intermediate
11-16.	ช่วยด้วย  	chûai-dûai	 Help me! / Help!	low-intermediate
11-17.	แน่ใจนะว่า...  	nɛ̂ɛ-jai ná wâa...	 Are you sure (that)…?	low-intermediate
11-18.	ผมไม่รู้ / ผมไม่ทราบ  	pǒm mâi rúu / pǒm mâi sâap	 I don’t know.  (Note: ทราบ (sâap) is more formal)	low-intermediate
11-19.	อย่ามอง  	yàa mɔɔng	 Don’t look.	low-intermediate
11-20.	ไม่เกี่ยวกับคุณ  	mâi gìao gàp kun	 It’s none of your business. / It’s not about you. / It’s no concern of yours.	low-intermediate
12-1.	ไม่ต้องกลัว  	mâi dtɔ̂ng glua	 No need to be afraid. / Don’t worry. / Don’t be scared.	low-intermediate
12-2.	อย่าลืมวันเกิดผม  	yàa lʉʉm wan-gə̀ ət pǒm	 Don’t forget my birthday.	low-intermediate
12-3.	ฉันจำวันเกิดของคุณได้  	chǎn jam wan-gə̀ ət kɔ̌ɔng kun dâi	 I remember when your birthday is. / I can remember when your birthday is.	low-intermediate
12-4.	หมดอายุแล้ว  	mòt aa-yú lɛ́ɛo	 It’s expired. / It’s reached its expiration date.	low-intermediate
12-5.	เข้มงวดมาก  	kêm-ngûat mâak	 She’s so strict! / It’s very strict.	low-intermediate
12-6.	พูดอะไรอย่างงั้น   	pûut à-rai yàang-ngán	 INFORMAL - What are you talking about?! (Are you kidding?!)	low-intermediate
12-7.	(มัน)ไม่จริง(หรอก)   	(man) mâi jing (rɔ̀ɔk)	 That’s not true (at all).	low-intermediate
12-8.	ไม่เคยมาที่นี่  	mâi kəəi maa tîi-nîi	 I’ve never been here (before).	low-intermediate
12-9.	เคยได้ยินมา  	kəəi dâi-yin maa	 I’ve heard it before.	low-intermediate
12-10.	ทำอาหารไม่เป็น(เลย)  	tam-aa-hǎan mâi-bpen (ləəi)	 I can’t cook (at all).	low-intermediate
12-11.	ทำอะไรไม่ได้  	tam à-rai mâi-dâi	 (I) can’t do anything. / There’s nothing I can do.	low-intermediate
12-12.	ไม่รู้ว่าทำไม  	mâi rúu wâa tam-mai	 I don’t know why.	low-intermediate
12-13.	ไม่เข้าใจว่าทำไม  	mâi kâo-jai wâa tam-mai	 I don’t understand why.	low-intermediate
12-14.	บอกตามตรง...  	bɔ̀ɔk dtaam-dtrong	 To be honest… / I’ll be honest with you… / Honestly…	low-intermediate
12-15.	ดีใจที่ได้คุยกัน  	dii-jai tîi dâi kui-gan	 Nice talking to you. / It was nice talking with you.	low-intermediate
12-16.	ดีใจที่ได้พบกัน  	dii-jai tîi dâi pop-gan	 It was nice meeting you.	low-intermediate
12-17.	ดึกแล้ว  	dʉ̀k lɛ́ɛo	 It’s (getting) late. / It’s really late.	low-intermediate
12-18.	หยุดเดี๋ยวนี้  	yùt dǐao-níi	 Stop it! / Stop!	low-intermediate
12-19.	แปลว่าอะไร(คะ)  	bplɛ̀ɛ wâa à-rai (ká)	What does (it) mean? / What does (this) mean?	low-intermediate
12-20.	แปลว่า...  	bplɛ̀ɛ wâa…	 That/it means…	low-intermediate
13-1.	แยกไม่ออก  	yɛ̂ɛk-mâi-ɔ̀ɔk	 I can’t tell them apart. / I can’t see the difference (between them).	low-intermediate
13-2.	แทบไม่เชื่อสายตา  	tɛ̂ɛp mâi-chʉ̂a sǎai-dtaa	 I could hardly believe my eyes!	low-intermediate
13-3.	ยินดีช่วยเหลือ  	yin-dii chûai-lʉ̌a	 Happy to help. / Glad to be of assistance.	low-intermediate
13-4.	จะอยู่ได้ยังไงถ้าไม่มีเขา  	jà yùu dâi yang-ngai tâa mâi mii kǎo	 How will I live/survive without him?	low-intermediate
13-5.	ช่วยเซ็น(ชื่อ)ตรงนี้หน่อย(ครับ/ค่ะ)   	chûai sen (chʉ̂ʉ) dtrong-níi nɔ̀i (kráp/kà)	 Please sign here.	low-intermediate
13-6.	พอกันที  	pɔɔ-gan tii	 (That’s) enough! / I’ve had enough!	low-intermediate
13-7.	น่าสมเพชจริงๆ    	nâa-sǒm-pêet jing-jing	 SEMI-LITERARY - How pathetic! / How pitiful!	low-intermediate
13-8.	ไม่เป็นอะไรหรอก  	mâi bpen-à-rai rɔ̀ɔk	 She’ll be okay. / Nothing’s going to happen to her. / It’ll be alright.	low-intermediate
13-9.	เหมือนเป็นคนละคนเลย  	mʉ̌an bpen kon-lá kon ləəi	 She’s like a completely different person.	low-intermediate
13-10.	ในสายตาผม...  	nai sǎai-dtaa pǒm…	 In my eyes… / From my point of view… / To me… /  (You don’t look…) to me.	low-intermediate
13-11.	หากต้องการข้อมูลเพิ่มเติม...  	hàak dtɔ̂ng-gaan kɔ̂ɔ-muun pə̂əm-dtəəm…	 FORMAL - For more information… / If you need further information…	low-intermediate
13-12.	ผมก็ไม่ว่า(อะไร)   	pǒm gɔ̂ɔ mâi-wâa (à-rai)	 It’s fine with me. / Feel free. / I don’t mind. (if you do it)	low-intermediate
13-13.	ทีแรกคิดว่า...  	tii-rɛ̂ɛk kít-wâa…	 At first I thought…	low-intermediate
13-14.	คงไม่หรอก  	kong mâi rɔ̀ɔk	 It’s not likely. / I don’t think so. / Probably not.	low-intermediate
13-15.	ไม่ใช่เรื่องบังเอิญ  	mâi-châi rʉ̂ang bang-əən	 It’s not a coincidence. / It’s not just by chance.	low-intermediate
13-16.	ถ้ายังงั้น...  	tâa yang-ngán…	 In that case… / So… / Well then…	low-intermediate
13-17.	ทุกอย่างเปลี่ยนไป  	túk-yàang bplìan bpai	 Everything has changed. / Everything is different. / Everything changes.	low-intermediate
13-18.	มันทำใจลำบาก  	man tam-jai lam-bàak	 It’s really hard! / This is really hard on me! (breaking up with someone, etc.)	low-intermediate
13-19.	คุณทำเพื่ออะไร  	kun tam pʉ̂a-à-rai	 What did you do it for? / Why did you do it?	low-intermediate
13-20.	จำ(เขา)ได้ไหม  	jam (kǎo) dâi mǎi	 Do you remember (him)?	low-intermediate
14-1.	ไม่เชื่อหรอก  	mâi chʉ̂a rɔ̀ɔk	 I don’t believe it! / I don’t believe you!	low-intermediate
14-2.	อย่าไปเชื่อ(...)   	yàa bpai chʉ̂a(…	 Don’t believe it/him! / Don’t believe…	low-intermediate
14-3.	จะไม่มีใครเชื่อ  	jà mâi mii krai chʉ̂a...	 No one’s gonna believe you! / No one would believe you!	low-intermediate
14-4.	ผมจัดการเอง  	pǒm jàt-gaan eeng	 I’ll take care of it myself. / I’ll do it myself.	low-intermediate
14-5.	แค่อยากให้คุณรู้ว่า...   	kɛ̂ɛ yàak hâi kun rúu wâa...	 I just want you to know…	low-intermediate
14-6.	มีโอกาส(สูง)มากที่...   	mii oo-gàat (sǔung) mâak tîi...	 There’s a good/great chance that… / It’s very likely that…	low-intermediate
14-7.	อย่ารู้เลย  	yàa rúu ləəi	 It’s better if you don’t know. / You don’t wanna know!	low-intermediate
14-8.	...อะไรประมาณนี้  	...à-rai bprà-maan nií	 …(or)something (like that).	low-intermediate
14-9.	มาพอดีเลย  	maa pɔɔ-dii ləəi	 You’re just in time. / Speak of the devil—here she is/comes.	low-intermediate
14-10.	ตกลง…   	dtòk-long…	 INTERJECTION - So… / Okay... / Alright...  (like ‘Tell me…’ when making a decision/conclusion)	low-intermediate
14-11.	ฉันยกโทษให้  	chǎn yók-tôot-hâi	 I forgive you.	low-intermediate
14-12.	คุณก็รู้ว่าผมคิดยังไง  	kun gɔ̂ɔ rúu wâa pǒm kít yang-ngai	 You know how I feel (about you).	low-intermediate
14-13.	ไม่ต้องก็ได้  	mâi-dtɔ̂ng gɔ̂ɔ-dâi	 You don’t have to. / No need to. / Don’t bother.	low-intermediate
14-14.	ไม่รู้จะซื้ออะไรดี  	mâi-rúu jà sʉ́ʉ à-rai dii	 I don’t what to buy. / I don’t know what I should buy.	low-intermediate
14-15.	ทั้งวันทั้งคืน  	táng wan táng kʉʉn	 All day and all night / Night and day / Day and night	low-intermediate
14-16.	อย่าลืมซื้อของฝาก  	yàa lʉʉm sʉ́ʉ-kɔ̌ɔng fàak	 Don’t forget to buy me something. / Don’t forget to buy me a souvenir.	low-intermediate
14-17.	เพราะฉันใช่ไหม   	prɔ́ chǎn châi-mǎi	 Because of me, right? / Because of me?	low-intermediate
14-18.	เทียบไม่ได้เลย / เทียบไม่ได้กับ...  	tîap mâi-dâi ləəi / tîap mâi-dâi gàp...	 It doesn’t compare at all. / I’m no match for (him). / That’s nothing compared to…	low-intermediate
14-19.	คุณไม่มีสิทธิ์...  	kun mâi mii sìt...	 You have no right to… / You can’t just…	low-intermediate
14-20.	ไม่อยากเชื่อเลย  	mâi yàak chʉ̂a ləəi	 Unbelievable! / It’s unbelievable.	low-intermediate
16-1.	ทำไม่เป็น  	tam mâi-bpen	 I don’t know how (to do it).	low-intermediate
16-2.	มีอะไรหรือเปล่า    	mii à-rai rʉ̌ʉ-bplàao	 INFORMAL - What’s the matter? / What’s up? / What is it?	low-intermediate
16-3.	เป็นอะไรของคุณ     	bpen-à-rai kɔ̌ɔng kun	 INFORMAL - What’s wrong with you?! / What happened to you?! / What’s your problem?!	low-intermediate
16-4.	จะให้ผมทำยังไง  	jà hâi pǒm tam yang-ngai	 What do you want me to do?	low-intermediate
16-5.	เขารับไม่ได้  	kǎo ráp mâi-dâi	 She can’t accept it. / She can’t handle it. / She can’t live with it.	low-intermediate
16-6.	ไม่รู้ได้ยังไง    	mâi rúu dâi yang-ngai	 INFORMAL How could you not know?	low-intermediate
16-7.	ก็ยังดีกว่า...   	gɔ̂ɔ yang dii gwàa...	 Well, that’s (still) better than… / It beats…	low-intermediate
16-8.	(แล้ว)จะเอายังไงต่อ  	(lɛ́ɛo) jà ao yang-ngai dtɔ̀ɔ	 (So) what now? / (So) what do we do now? / Now what?	low-intermediate
16-9.	ไม่ต้องไปสนใจ(มัน)   	mâi-dtɔ̂ng bpai sǒn-jai man	 INFORMAL Don’t let her bother you. / Don’t pay any attention (to what she says). / Just ignore her.	low-intermediate
16-10.	จะเอาเงินที่ไหน...   	jà ao ngən tîi-nǎi…	 Where are we gonna get the money to…? / How are we gonna afford…?	low-intermediate
16-11.	ไม่ค่อยได้ใช้  	mâi-kɔ̂i dâi chái	 I hardly ever use it. / I haven’t used it very much. / I barely ever use it.	low-intermediate
16-12.	เชื่อกันว่า...   	chʉ̂a gan wâa...	 It’s believed that…	low-intermediate
16-13.	ไม่ต้องสงสัย(ว่า...)   	mai-dtɔ̂ng sǒng-sǎi (wâa…)	 Obviously… / Without a doubt… / It’s obvious (that…)	low-intermediate
16-14.	แม่ขา  	mɛ̂ɛ kǎa	 Mommy… / Mom… (this is a cute way of a child addressing his/her mother)	low-intermediate
16-15.	ไม่อยากอยู่แล้ว  	mâi yàak yùu lɛ́ɛo	 I want to die.	low-intermediate
16-16.	มันผ่านไปแล้ว  	man pàan bpai lɛ́ɛo	 It’s over. / It’s in the past (now).	low-intermediate
16-17.	เกิดอะไรขึ้น  	gə̀ ət à-rai kʉ̂n	 What happened?	low-intermediate
16-18.	นี่มันอะไรกัน   	nîi man à-rai gan	 STRONG - What on earth is this?! / What the hell is this?!	low-intermediate
16-19.	เขาเรียกตัวเองว่า...   	kǎo rîak dtua-eeng wâa...	 He calls himself  “….”.	low-intermediate
16-20.	พวกเขาเรียกตัวเองว่า...   	pûak-kǎo rîak dtua-eeng wâa...	 They call themselves  “….”.	low-intermediate
18-1.	พูดเล่นใช่ไหม  	pûut-lên châi-mǎi	 You’re joking, right?	low-intermediate
18-2.	ไม่ได้พูดเล่นนะ  	mâi-dâi pûut-lên ná	 I’m not joking.	low-intermediate
18-3.	แกเคยพูดว่า...   	gɛɛ kəəi pûut wâa...	 You said (before) (that)… / You once said (that)…	low-intermediate
18-4.	เสียใจด้วยจริงๆ(ค่ะ)   	sǐa-jai dûai jing-jing (kà)	 I’m so sorry to hear (about) that. (bad news) / My condolences.	low-intermediate
18-5.	มันเป็นอุบัติเหตุ  	man bpen ù-bpà-dtì-hèet	 It was an accident.	low-intermediate
18-6.	ผมจะทำให้ดีที่สุด  	pǒm jà tam hâi dii-tîi-sùt	 I’ll do my best.	low-intermediate
18-7.	เธอท้องได้ (3) เดือน(แล้ว)    	təə tɔ́ɔng dâi (sǎam) dʉan (lɛ́ɛo)	 She’s (three) months pregnant.	low-intermediate
18-8.	ขนาดนั้นเลยหรอ  	kà-nàat nán ləəi rə̌ə	 That much?!	low-intermediate
18-9.	(นาน)ขนาดนั้นเลยหรอ  	naan)kà-nàat nán ləəi rə̌ə	 That (long)?!	low-intermediate
18-10.	โธ่เอ๋ย  	tôo-ə̌əi	 Oh man! / Oh shit! / Damn!	low-intermediate
18-11.	อย่าเข้าใจผิดนะ  	yàa kâo-jai-pìt ná	 Don’t misunderstand (me).	low-intermediate
18-12.	ได้โปรดอย่าเข้าใจผิด      	dâi-bpròot yàa kâo-jai-pìt	 FORMAL - Please don’t misunderstand.	low-intermediate
18-13.	คุณสัญญากับฉันแล้ว(ว่า)...   	kun sǎn-yaa gàp chǎn lɛ́ɛo (wâa)...	 You promised me. / You promised (that) you…	low-intermediate
18-14.	ผมไม่ได้สัญญา(อะไร)    	pǒm mâi-dâi sǎn-yaa (à-rai)	 I didn’t promise (anything).	low-intermediate
18-15.	เราเหมือนกันมาก  	rao mʉ̌an-gan mâak	 We’re very similar. / We’re so much alike.	low-intermediate
18-16.	หน้าตาเหมือนกันมาก  	nâa-dtaa mʉ̌an-gan mâak	 (They) look very similar. / (They) look so much alike.	low-intermediate
18-17.	ฉันซื้อ(ขนม)มาฝาก  	chǎn sʉ́ʉ (kà-nǒm) maa fàak	 I bought some (sweets) for you.	low-intermediate
18-18.	ครั้งเดียวไม่(เคย)พอ  	kráng-diao mâi (kəəi) pɔɔ	 Once is not (never) enough.	low-intermediate
18-19.	อย่ามาโทษฉัน  	yàa maa tôot chǎn	 Don’t blame me!	low-intermediate
18-20.	อย่าโทษตัวเอง  	yàa tôot dtua-eeng	 Don’t blame yourself.	low-intermediate
19-1.	ว่าไง   	wâa-ngai	 INFORMAL What’s up?	low-intermediate
19-2.	ช่วยไม่ได้  	chûai mâi-dâi	 It can’t be helped. / I can’t help it. / There’s nothing I can do about it.	low-intermediate
19-3.	เขาหนีไปแล้ว  	kǎo nǐi bpai lɛ́ɛo	 He ran away (already) / He’s escaped. / He’s gone (ran away/escaped).	low-intermediate
19-4.	ไปเลย   	bpai ləəi	 INFORMAL/ROUGH -Go! / Go on! / Go ahead.	low-intermediate
19-5.	เหม็น  	měn	 It stinks! / It smells bad.	low-intermediate
19-6.	(…)(ก็)แค่นั้นเอง 	 (…)(gɔ̂ɔ)kɛ̂ɛ-nán eeng 	That’s all it is. / That’s all. / …is all.	low-intermediate
19-7.	ฉันเคยถามเธอว่า...   	chǎn kəəi tǎam təə wâa...	 I(’ve) asked you before…/ I used to ask you…	low-intermediate
19-8.	เธอจะบอกว่า...   	təə jà bɔ̀ɔk wâa...	 Are you gonna tell me…? / Are you saying…?	low-intermediate
19-9.	ถึงเวลา(ที่)ต้อง...    	tʉ̌ng wee-laa (tîi) dtɔ̂ng...	 It’s time to… / The time has come to…	low-intermediate
19-10.	ไม่เคยฟัง  	mâi kəəi fang	 You never listen. / You never listen to me.	low-intermediate
19-11.	รู้สึกไม่ค่อยสบาย  	rúu-sʉ̀k mâi-kɔ̂i sà-baai	 I don’t feel so well. / I’m not feeling well.	low-intermediate
19-12.	เป็นแค่งานอดิเรก  	bpen kɛ̂ɛ ngaan-à-dì-rèek	 It’s just a hobby.	low-intermediate
19-13.	ไว้ใจใครไม่ได้  	wái-jai krai mâi-dâi	 You can’t trust anyone.	low-intermediate
19-14.	ขอตัวก่อนนะ(ครับ)    	kɔ̌ɔ-dtua gɔ̀ɔn ná (kráp)	 FORMAL - (Please) excuse me (I have to go). / Goodbye.	low-intermediate
19-15.	คิดไปเอง  	kít bpai eeng	 You’re imagining things. / It’s all in your head.	low-intermediate
19-16.	ผมพูดความจริง  	pǒm pûut kwaam-jing	 I’m telling the truth.	low-intermediate
19-17.	อย่าหาเรื่องนะ  	yàa hǎa-rʉ̂ang ná	 Don’t make trouble.	low-intermediate
19-18.	ขอเวลาส่วนตัว  	kɔ̌ɔ wee-laa sùan-dtua	 Please give (us/me) some time alone.	low-intermediate
19-19.	ผมผิดเอง  	pǒm pìt eeng	 It was my fault. / It was my mistake. / My bad.	low-intermediate
19-20.	ต่อไปนี้  	dtɔ̀ɔ-bpai-níi	 From now on…	low-intermediate
21-1.	ลองเข้าไปดู  	lɔɔng kâo bpai duu	Go and have a look. / Go in and check it out.	low-intermediate
21-2.	ไม่ต้องห่วงเรื่อง...   	mâi dtɔ̂ng hùang rʉ̂ang...	 Don’t worry about… / You don’t need to worry about…	low-intermediate
21-3.	ไม่มีใครฟังฉัน(เลย)  	mâi mii krai fang chǎn (ləəi)	 No one listens to me. / No one’s listening.	low-intermediate
