sentence	en	da	no	sv	is
255	Do you come here often?	Kommer du ofte her?	Kommer du hit ofte?	Kommer du hit ofta?	Kemurðu oft hingað?
256	What's his name?	Hvad hedder han?	Hva heter han?	Vad heter han?	Hvað heitir hann?
257	Why are you crying?	Hvorfor græder du?	Hvorfor gråter du?	Varför gråter du?	Afhverju ertu að gráta?
258	The following week	Den næste uge	Neste uke	Följande vecka	Næstu viku
259	I've worked here for nine years	Jeg har arbejdet her i ni år	Jeg har jobbet her i ni år	Jag har arbetat här i nio år	Ég hef starfað hér í níu ár
260	Have you seen this movie?	Har du set denne film?	Har du sett denne filmen?	Har du sett den här filmen?	Hefurðu séð þessa mynd?
261	What are you going to have?	Hvad kunne du godt tænke dig?	Hva vil du ha?	Vad ska du välja?	Hvað myndir þú vilja?
262	He is very attractive	Han er meget attraktiv	Han er veldig attraktiv	Han är mycket attraktiv	Hann er mjög aðlaðandi
263	Why not?	Hvorfor ikke?	Hvorfor ikke?	Varför inte?	Af hverju ekki?
264	I forgot my umbrella	Jeg glemte min paraply	Jeg glemte paraplyen min	Jag har glömt mitt paraply	Ég gleymdi regnhlífinni minni
265	I'll see you there	Vi ses derhenne	Ser deg der	Vi ses där	Sjáumst þar
266	I'm an accountant	Jeg er revisor	jeg er en regnskapsfører	Jag är revisor	Ég er endurskoðandi
267	He is very mature	Han er meget moden	Han er veldig moden	Han är mycket mogen	Hann er mjög þroskaður
268	Who is in charge?	Hvem er den ansvarlige?	Hvem er ansvarlig?	Vem är ansvarig?	Hver ber ábyrgð?
269	Happy Birthday	Tillykke med fødselsdagen	Gratulerer med dagen	Grattis på födelsedagen	Til hamingju með afmælið
270	I'm Jewish	Jeg er jøde	Jeg er jøde	Jag är judisk	Ég er gyðingur
271	I like her	Jeg kan godt lide hende	jeg liker henne	Jag gillar henne	mér líkar við hana
272	When would you like to travel?	Hvornår vil du gerne rejse?	Når vil du reise?	När skulle du vilja resa?	Hvenær vilt þú ferðast?
273	That was abnormal	Det var unormalt	Det var unormalt	Den där var onormal	Það var óeðlilegt
274	He said you like to watch movies	Han sagde, du godt kan lide at se film	Han sa at du liker å se film	Han sa att du gillar att titta på film	Hann sagði að þér þætti gaman að horfa á kvikmyndir
275	Have you been here long?	Har du været her længe?	Har du vært her lenge?	Har du varit här länge?	Hefur þú verið hér lengi?
276	How is work going?	Hvordan går det med arbejdet?	Hvordan går arbeidet?	Hur går det med jobbet?	Hvernig gengur vinnan?
277	What is her name?	Hvad hedder hun?	Hva er navnet hennes?	Vad heter hon?	Hvað heitir hún?
278	Can I walk you home?	Skal jeg følge dig hjem?	Skal jeg følge deg hjem?	Kan jag följa dig hem?	Á ég að fylgja þér heim?
279	I am interested in culture	Jeg er interesseret i kultur	Jeg er interessert i kultur	Jag är intresserad av kultur	Ég hef áhuga á menningu
280	What time is the match on?	Hvad tid sendes kampen?	Når sendes kampen?	Vilken tid börjar matchen?	Hvenær er útsending frá leiknum?
281	How long does it take by car?	Hvor lang tid tager det i bil?	Hvor lang tid tar det med bil?	Hur lång tid tar det med bil?	Hvað tekur það langan tíma í bíl?
282	Are you angry?	Er du vred?	Er du sint?	Är du arg?	Ertu reiður?
283	The quality was bad	Kvaliteten var dårlig	Kvaliteten var dårlig	Kvaliteten var dålig	Gæðin voru léleg
284	Sorry to keep you waiting	Beklager, at du måtte vente på mig	Beklager at du måtte vente på meg	Förlåt för att du fick vänta	Fyrirgefðu að þú þurftir að bíða eftir mér
285	You've got a great smile	Du har et fantastisk smil	Du har et flott smil	Du har ett vackert leende	Þú ert með frábært bros
286	Don't mention it	Det var så lidt	Vær så god	Det var så lite	Ekkert að þakka
287	Same as usual	Det samme som sædvanlig	Det samme som vanlig	Samma som vanligt	Sama og venjulega
288	I believe you	Jeg tror på dig	jeg tror på deg	Jag tror dig	ég trúi á þig
289	What are you up to?	Hvad er du ude på?	Hva driver du med?	Vad gör du?	Hvað ertu að gera?
290	What is the process?	Hvordan forløber processen?	Hvordan går prosessen?	Vad är processen?	Hvernig fer ferlið fram?
291	Send me an email	Send mig en mail	send meg en mail	Skicka mig ett mail	sendu mér póst
292	Are you married?	Er du gift?	Er du gift?	Är du gift?	Ertu giftur?
293	I like your sense of humour	Jeg kan godt lide din humor	Jeg liker humoren din	Jag gillar din humor	Mér líkar við húmorinn þinn
294	Tomorrow	Imorgen	I morgen	I morgon	Á morgun
295	I am overweight	Jeg er overvægtig	Jeg er overvektig	Jag är överviktig	Ég er of þung
296	We are all winners	Vi er alle vindere	Vi er alle vinnere	Vi är alla vinnare	Við erum öll sigurvegarar
297	The weather is miserable	Vejret er forfærdeligt	Været er forferdelig	Vädret är bedrövligt	Veðrið er skelfilegt
298	How old is she?	Hvor gammel er hun?	Hvor gammel er hun?	Hur gammal är hon?	Hversu gömul er hún?
299	Just a minute	Et øjeblik	Et øyeblikk	Ett ögonblick	Augnablik
300	ringede	Vær venlig at fortælle hende at [navn]	Fortell henne at [navn]	Tala om för henne att [namn] ringde	Vinsamlegast segðu henni að [nafn]
301	It's not worth it	Det er ikke det værd	Det er ikke verdt det	Det är inte värt det	Það er ekki þess virði
302	I live on my own	Jeg bor alene	Jeg bor alene	Jag bor själv	ég bý einn
303	It doesn't matter	Det betyder ikke noget	Det betyr ingenting	Det spelar ingen roll	Það þýðir ekkert
304	I haven't had lunch yet	Jeg har ikke spist frokost endnu	Jeg har ikke spist lunsj ennå	Jag har inte ätit lunch ännu	Ég hef ekki borðað hádegismat ennþá
305	I'm waiting for you	Jeg venter på dig	jeg venter på deg	Jag väntar på dig	ég er að bíða eftir þér
306	My daughter is here	Min datter er her	Datteren min er her	Min dotter är här	Dóttir mín er hér
307	Do you take sugar?	Bruger du sukker?	Bruker du sukker?	Tar du socker?	Notar þú sykur?
308	Do you want to come with me?	Har du lyst til at tage med mig?	Vil du bli med meg?	Vill du följa med mig?	Viltu koma með mér?
309	Please stop arguing	Hold venligst op med at skændes	Vennligst slutt å krangle	Sluta gräla	Vinsamlegast hættu að rífast
310	It is complicated	Det er kompliceret	Det er komplisert	Det är komplicerat	Það er flókið
311	I work in a factory	Jeg arbejder på en fabrik	Jeg jobber på en fabrikk	Jag arbetar i en fabrik	Ég vinn í verksmiðju
312	We are running out of time	Vi er ved at løbe tør for tid	Tiden renner ut for oss	Vi börjar få ont om tid	Við erum að renna út á tíma
313	I need a doctor	Jeg har brug for en læge	jeg trenger en lege	Jag behöver en doktor	ég þarf lækni
314	We have a lot in common	Vi har meget til fælles	Vi har mye til felles	Vi har mycket gemensamt	Við eigum margt sameiginlegt
315	It is getting late	Det er ved at blive sent	Det begynner å bli sent	Det börjar bli sent	Það er að verða áliðið
316	Perhaps	Måske	Kan være	Kanske	Kannski
317	Hide it	Gem det	lagre det	Göm den	geymdu það
318	She is very energetic	Hun er meget energisk	Hun er veldig energisk	Hon är mycket energisk	Hún er mjög dugleg
319	When is the next bus due?	Hvornår skulle den næste bus 	Når var neste buss	När ska nästa buss komma?	Hvenær var næsta rúta
320	I've already seen it	Jeg har allerede set det	Jeg har allerede sett den	Jag har redan sett den	Ég hef þegar séð það
321	I need a massage	Jeg har brug for en massage	Jeg trenger en massasje	Jag behöver massage	Mig vantar nudd
322	My luggage is missing	Min bagage er væk	Bagasjen min er borte	Mitt bagage saknas	Farangurinn minn er horfinn
323	I don't feel well	Jeg har det ikke godt	Jeg føler meg ikke bra	Jag mår inte bra	mér líður ekki vel
324	It was a personal attack	Det var et personligt angreb	Det var et personlig angrep	Det var ett personligt angrepp	Þetta var persónuleg árás
325	I do not need the hassle	Jeg har ikke brug for alt det bøvl	Jeg trenger ikke alt det bryet	Jag behöver inte besväret	Ég þarf ekki allt þetta vesen
326	Have you got any pets?	Har du nogle kæledyr?	Har du noen kjæledyr?	Har du några husdjur?	Áttu einhver gæludýr?
327	Thanks for your help	Tak for din hjælp	Takk for hjelpen	Tack för hjälpen	Takk fyrir hjálpina
328	I'm very busy	Jeg har meget travlt	Jeg er veldig opptatt	Jag är väldigt upptagen	ég er mjög upptekinn
329	I will think about it	Jeg vil tænke over det	Jeg vil tenke på det	Jag ska tänka på det	Ég mun hugsa um það
330	Why aren't you going?	Hvorfor kommer du ikke?	Hvorfor kommer du ikke?	Varför kommer du inte?	Af hverju kemurðu ekki?
331	My love is infinite	Min kærlighed er uendelig	Min kjærlighet er uendelig	Min kärlek är oändlig	Ástin mín er óendanleg
332	Give me a call!	Ring til mig!	Ring meg!	Ring mig!	Hringdu í mig!
333	In ten minutes	Om ti minutter	Om ti minutter	Om tio minuter	Eftir tíu mínútur
334	Does anybody speak [language]?	Er der nogen, der taler [sprog]?	Er det noen som snakker [språk]?	Är det någon som talar [språk]?	Talar einhver [tungumál]?
335	I would prefer not to	Jeg ville foretrække ikke [objekt]	Jeg vil helst ikke [objekt]	Jag skulle föredra att låta bli	Ég myndi helst ekki [object]
336	Do you have children?	Har du børn?	Har du barn?	Har du barn?	Áttu börn?
337	What do you recommend?	Hvad kan du anbefale?	Hva kan du anbefale?	Vad rekommenderar du?	Hverju getur þú mælt með?
338	I am depressed	Jeg er deprimeret	jeg er deprimert	Jag är deprimerad	Ég er þunglyndur
339	I'll also take that one	Jeg tager også den der	Jeg tar den også	Jag tar också den	Ég tek þennan líka
340	I'm at home	Jeg er hjemme	jeg er hjemme	Jag är hemma	ég er heima
341	Grow-up	Tag dig sammen	Ta deg sammen	Väx upp	Taktu þig saman
342	In the morning	Om morgenen	Om morgenen	På morgonen	Á morgnana
343	Is that enough?	Er det nok?	Er det nok?	Är det tillräckligt?	Er það nóg?
344	I left it on the table	Jeg efterlod den på bordet	Jeg la det på bordet	Jag lämnade den på bordet	Ég skildi það eftir á borðinu
345	Next week	I næste uge	Neste uke	Nästa vecka	Næsta vika
346	It is a long weekend	Det er en lang weekend	Det er en lang helg	Det är en lång helg	Það er löng helgi
347	He's an American	Han er amerikaner	Han er amerikansk	Han är en amerikansk	Hann er amerískur
348	[restaurant]	Må jeg bede om en regning?	Kan jeg be om en regning?	Kan jag få ett kvitto, tack?	Má ég biðja um reikning?
349	I quite like cooking	Jeg kan ret godt lide at lave mad	Jeg liker godt å lage mat	Jag riktigt gillar matlagning	Mér finnst mjög gaman að elda
350	Behave yourself	Opfør dig ordentligt	oppfør deg	Uppför dig	hagaðu þér
351	The sun has come out	Solen er kommet frem	Solen har kommet frem	Det har spruckit upp	Sólin er komin út
352	His room is very small	Hans værelse er meget lille	Rommet hans er veldig lite	Han har ett mycket litet rum	Herbergið hans er mjög lítið
353	I work a lot	Jeg arbejder meget	jeg jobber mye	Jag jobbar mycket	Ég vinn mikið
354	It lacks creativity	Det mangler kreativitet	Det mangler kreativitet	Den saknar kreativitet	Það vantar sköpunargáfu
355	Make yourself at home	Lad som om du er hjemme	Lat som om du er hjemme	Känn dig som hemma	Láttu eins og þú sért heima
356	I'm going tomorrow	Jeg tager derhen imorgen	Jeg skal dit i morgen	Jag åker imorgon	Ég fer þangað á morgun
357	Is there anything I can do to help?	Er der noget, jeg kan hjælpe med?	Er det noe jeg kan hjelpe med?	Kan jag hjälpa till på något sätt?	Er eitthvað sem ég get hjálpað með?
358	I forgot the password	Jeg har glemt kodeordet	Jeg har glemt passordet	Jag har glömt lösenordet	Ég gleymdi lykilorðinu
359	How is business?	Hvordan går det med forretningen?	Hvordan går virksomheten?	Hur är affärerna?	Hvernig ganga viðskiptin?
360	I don't care	Jeg er ligeglad	jeg bryr meg ikke	Jag bryr mig inte	mér er sama
361	Where do you study?	Hvor studerer du?	Hvor studerer du?	Var studerar du?	Hvar ertu að læra?
362	I went to the supermarket	Jeg gik i supermarkedet	Jeg dro til supermarkedet	Jag gick till affären	Ég fór í stórmarkaðinn
363	Is this a safe area?	Er det her et trygt område?	Er dette et trygt område?	Är detta ett säkert område?	Er þetta öruggt svæði?
364	Let us cook together	Lad os lave mad sammen	La oss lage mat sammen	Låt oss laga mat tillsammans	Eldum saman
365	When shall we go?	Hvornår skal vi tage afsted?	Når drar vi?	När ska vi gå?	Hvenær erum við að fara?
366	You're welcome	Det var så lidt	Vær så god	Varsågod	Ekkert að þakka
367	I can't be bothered	Jeg gider ikke	jeg vil ikke	Jag får inte bli störd	Ég vil ekki
368	She's going with me tomorrow.	Hun kommer med mig imorgen	Hun blir med meg i morgen	Hon kommer med mig i morgon	Hún kemur með mér á morgun
369	I'm afraid I already have plans	Jeg er bange for at jeg allerede har planer	Jeg er redd jeg allerede har planer	Jag har tyvärr redan planer	Ég er hræddur um að ég hafi nú þegar áætlanir
370	I lived in Canada for six months	Jeg boede i Canada i seks måneder	Jeg bodde i Canada i seks måneder	Jag bodde i Kanada i sex månader	Ég bjó í Kanada í sex mánuði
371	His reaction was immature	Hans reaktion var umoden	Reaksjonen hans var umoden	Han reagerade omoget	Viðbrögð hans voru óþroskuð
372	She is too skinny	Hun er for tynd	Hun er for tynn	Hon är för smal	Hún er of mjó
373	It depends on the weather	Det kommer an på vejret	Det kommer an på været	Det beror på vädret	Það fer eftir veðri
374	Have you passed your driving test?	Har du bestået din køreprøve?	Har du bestått førerprøven?	Har du tagit körkort?	Hefur þú staðist bílprófið?
375	How tall are you?	Hvor høj er du?	Hvor høy er du?	Hur lång är du?	Hvað ertu há?
376	It is a reality show	Det er et realityshow	Det er et realityprogram	Det är en dokusåpa	Það er raunveruleikaþáttur
377	I think it's very good	Jeg synes, det er rigtig godt	Jeg synes det er veldig bra	Jag tycker den är mycket bra	Mér finnst það mjög gott
378	The movie was depressing	Filmen var deprimerende	Filmen var deprimerende	Filmen var nedslående	Myndin var niðurdrepandi
379	I expect...	Jeg forventer...	Jeg forventer...	Jag förväntar mig...	Ég býst við...
380	I work with computers	Jeg arbejder med computere	Jeg jobber med datamaskiner	Jag arbetar med datorer	Ég vinn við tölvur
381	Would you like to watch television?	Har du lyst til at se TV?	Vil du se på TV?	Vill du titta på TV?	Viltu horfa á sjónvarpið?
382	The cat is under the table	Katten er under bordet	Katten er under bordet	Katten är under bordet	Kötturinn er undir borðinu
383	Would you like a drink?	Har du lyst til en drink?	Ønsker du en drink?	Vill du ha något att dricka?	Langar þig í drykk?
384	I watched it happen	Jeg så det ske	Jeg så det skje	Jag såg det hända	Ég sá það gerast
385	That is a good school	Det er en god skole	Det er en god skole	Det är en bra skola	Það er góður skóli
386	Where's the nearest restaurant?	Hvor er den nærmeste restaurant?	Hvor er den nærmeste restauranten?	Var är närmaste restaurang?	Hvar er næsta veitingastaður?
387	That is fair	Det er fair	Det er rettferdig	Det är rättvist	Það er sanngjarnt
388	I do voluntary work	Jeg arbejder frivilligt	Jeg jobber frivillig	Jag gör volontärarbete	Ég vinn í sjálfboðavinnu
389	I doubt it	Jeg tvivler på det	det tviler jeg på	Jag tvivlar på det	ég efa það
390	The car has been fixed	Bilen er blevet lavet	Bilen er laget	Bilen har lagats	Bíllinn hefur verið smíðaður
391	See you later	Vi ses senere	Ser deg senere	Vi ses senare	Sé þig seinna
392	It is a status symbol	Det er et statussymbol	Det er et statussymbol	Den är en statussymbol	Það er stöðutákn
393	I'll have a cup of tea please	Jeg vil gerne bede om en kop te	Jeg vil gjerne be om en kopp te	Jag skulle vilja ha en kopp te, tack	Mig langar að biðja um tebolla
394	Can you translate this for me?	Vil du oversætte det her for mig?	Vil du oversette dette for meg?	Kan du översätta detta åt mig?	Viltu þýða þetta fyrir mig?
395	We are running out of luck	Vi er ved at løbe tør for held	Vi er tom for lykke	Vår tur har vänt	Við erum að klárast
396	I'm sorry, I don't know	Beklager, jeg ved det ikke	Beklager, jeg vet ikke	Jag är ledsen, jag vet inte	Því miður, ég veit það ekki
397	I'm too tired	Jeg er for træt	jeg er for trøtt	Jag är för trött	Ég er of þreytt
398	As much as possible	Så meget som muligt	Så mye som mulig	Så mycket som möjligt	Eins mikið og hægt er
399	I'm a protestant	Jeg er protestant	Jeg er protestant	Jag är en protestant	Ég er mótmælandi
400	From here to there	Fra her til der	Fra her til der	Härifrån till dit	Héðan og þangað
401	Do not be harsh	Du skal ikke være hård	Du trenger ikke være hard	Var inte hård	Þú þarft ekki að vera harður
402	I'm studying history	Jeg studerer historie	Jeg studerer historie	Jag studerar historia	Ég læri sagnfræði
403	I find you very attractive	Jeg synes, du er meget attraktiv	Jeg synes du er veldig attraktiv	Jag tycker att du är mycket attraktiv	Mér finnst þú mjög aðlaðandi
404	That is correct	Det er rigtigt	Det er sant	Den är korrekt	Það er satt
405	That was lovely	Det var dejligt	Det var fint	Den var härlig	Það var fínt
406	I live with my partner	Jeg bor sammen med min kæreste	Jeg bor sammen med kjæresten min	Jag bor med min partner	Ég bý með kærustunni minni
407	What day of the week is it?	Hvilken ugedag er det?	Hvilken ukedag er det?	Vilken veckodag är det?	Hvaða vikudagur er það?
408	I'm interested in languages	Jeg interesserer mig for sprog	Jeg er interessert i språk	Jag är intresserad av språk	Ég hef áhuga á tungumálum
409	I work in publishing	Jeg arbejder i forlagsbranchen	Jeg jobber i forlagsbransjen	Jag arbetar inom förlagsbranschen	Ég vinn í útgáfubransanum
410	I am in a complicated relationship	Jeg er i et kompliceret parforhold	Jeg er i et komplisert forhold	Jag är i ett komplicerat förhållande	Ég er í flóknu sambandi
411	Are you working today?	Arbejder du idag?	Jobber du i dag?	Jobbar du idag?	Ertu að vinna í dag?
412	What kind of music do you like?	Hvilken slags musik kan du lide?	Hva slags musikk liker du?	Vilken typ av musik gillar du?	Hvers konar tónlist fílar þú?
413	It is not easy	Det er ikke nemt	Det er ikke lett	Det är inte lätt	Það er ekki auðvelt
414	Please call me	Vær sød at ringe til mig	Vennligst ring meg	Ring mig är du snäll	Vinsamlegast hringdu
415	The following year	Det følgende år	Neste år	Det följande året	Árið eftir
416	I'm a widower	Jeg er enke	Jeg er enke	Jag är en änka	Ég er ekkja
417	I am a man of good taste	Jeg har en god smag	Jeg har god smak	Jag är en man med god smak	Ég er með góðan smekk
418	I like you a lot	Jeg kan rigtig godt lide dig	jeg liker deg virkelig	Jag tycker jättemycket om dig	mér líkar virkilega við þig
419	Last night	Igår aftes	I går kveld	Igår kväll	Gærkvöld
420	I hope not	Det håber jeg ikke	Jeg håper ikke	Jag hoppas inte det	ég vona ekki
421	The atmosphere was electrifying	Stemningen var medrivende	Stemningen var medrivende	Stämningen var elektrisk	Andrúmsloftið var hrífandi
422	What is the fee?	Hvad er gebyret?	Hva er gebyret?	Vad kostar det?	Hvert er gjaldið?
423	I thought he said something else	Jeg troede, han sagde noget andet	Jeg trodde han sa noe annet	Jag trodde att han sa något annat	Mér fannst hann segja eitthvað annað
424	I need your support	Jeg har brug for din støtte	Jeg trenger din støtte	Jag behöver ditt stöd	Ég þarf þinn stuðning
425	A long time ago	For lang tid siden	For lenge siden	För länge sedan	Fyrir löngu síðan
426	Yesterday afternoon	I går eftermiddags	I går ettermiddag	Igår eftermiddag	Gærkvöld
427	This is my son	Det er min søn	Det er sønnen min	Det här är min son	Það er sonur minn
428	What do your parents do?	Hvad laver dine forældre?	Hva gjør foreldrene dine?	Vad gör dina föräldrar?	Hvað gera foreldrar þínir?
429	I am desperate	Jeg er desperat	jeg er desperat	Jag är desperat	Ég er örvæntingarfullur
430	I'd like a room	Jeg vil gerne bede om et værelse	Jeg vil gjerne be om et rom	Jag skulle vilja ha ett rum	Mig langar að biðja um herbergi
431	I have no regrets	Jeg fortryder intet	Jeg angrer ingenting	Jag ångrar inget	ég sé ekki eftir neinu
432	When can I see you again?	Hvornår kan jeg se dig igen?	Når kan jeg se deg igjen?	När kan jag se dig igen?	Hvenær sé ég þig aftur?
433	Next year	Næste år	Neste år	Nästa år	Á næsta ári
434	That's it	Det er det	Det er det	Det är allt	Þetta er það
435	Is it possible?	Er det muligt?	Er det mulig?	Är det möjligt?	Er það mögulegt?
436	He likes it very much	Han kan rigtig godt lide det	Han liker det veldig godt	Han tycker mycket om den	Honum líkar það mjög vel
437	I am studying a lot	Jeg studerer meget	jeg studerer mye	Jag studerar en hel del	Ég læri mikið
438	I don't speak [language] very well	Jeg taler ikke [sprog] særligt godt	Jeg snakker ikke så godt [språk]	Jag talar inte [språk] så bra	Ég tala [tungumál] ekki mjög vel
439	I have already paid	Jeg har allerede betalt	Jeg har allerede betalt	Jag har redan betalt	Ég er búinn að borga
440	About a year	Omkring et år	Omtrent et år	Om ett år	Um eitt ár
441	Where are we meeting?	Hvor skal vi mødes?	Hvor skal vi møtes?	Var möts vi?	Hvar eigum við að hittast?
442	That was dangerous	Det var farligt	Det var farlig	Det var farligt	Það var hættulegt
443	I'm at the shop	Jeg er i butikken	Jeg er i butikken	Jag är i affären	Ég er í búðinni
444	What is your address?	Hvad er din adresse?	Hva er adressen din?	Vad är din adress?	Hvert er heimilisfangið þitt?
445	I'm out of work	Jeg har ikke noget arbejde	jeg har ikke en jobb	Jag är arbetslös	Ég er ekki með vinnu
446	Good afternoon	God eftermiddag	God ettermiddag	God eftermiddag	Góðan daginn
447	Calm down	Slap af	Slappe av	Lugna ner dig	Slakaðu á
448	Bring me my shirt please	Vær sød at give mig min skjorte	Vennligst gi meg skjorten min	Räck mig min tröja är du snäll	Vinsamlegast gefðu mér skyrtuna mína
449	I am happy	Jeg er glad	jeg er glad	Jag är glad	Ég er ánægður
450	It's this way	Det er denne vej	Det er på denne måten	Det är så här det är	Þetta er svona
451	See you tomorrow	Vi ses i morgen	Jeg ser deg i morgen	Vi ses imorgon	ég sé þig á morgun
452	Can you swim?	Kan du svømme?	Kan du svømme?	Kan du simma?	Kanntu að synda?
453	Throw it away	Smid det væk	Bli kvitt den	Kasta iväg den	Losna við það
454	I don't understand	Jeg forstår ikke	jeg forstår ikke	Jag förstår inte	Ég skil ekki
455	It looks like rain	Det ligner regn	Det ser ut til å bli regn	Det ser ut som regn	Það lítur út eins og rigning
456	Are we almost there?	Er vi der snart?	Er vi der snart?	Är vi framme snart?	Erum við þarna bráðum?
457	Did you go to university?	Har du gået på universitetet?	Har du gått på universitetet?	Har du gått på universitetet?	Hefur þú farið í háskóla?
458	Me too	Også mig	Jeg også	Jag också	Ég líka
459	I made a mistake	Jeg begik en fejl	Jeg gjorde en feil	Jag gjorde ett misstag	ég gerði mistök
460	He is very athletic	Han er meget atletisk	Han er veldig atletisk	Han är mycket atletisk	Hann er mjög íþróttamaður
461	Hurry up!	Skynd dig!	Skynd deg!	Skynda dig!	Flýttu þér!
462	Is everything OK?	Er alt ok?	Er alt ok?	Är allting okej?	Er allt í lagi?
463	What a surprise!	Sikke en overraskelse!	For en overraskelse!	Vilken överraskning!	En óvænt!
464	We need tickets	Vi har brug for billetter	Vi trenger billetter	Vi behöver biljetter	Okkur vantar miða
465	Go over the bridge	Gå over broen	Gå over broen	Gå över bron	Farðu yfir brúna
466	This is my friend	Dette er min ven	Dette er min venn	Det här är min vän	Þetta er vinur minn
467	I wish you a nice trip	Jeg ønsker dig en god tur	Jeg ønsker deg god tur	Jag önskar dig en trevlig resa	Ég óska ​​þér góðrar ferðar
468	It will be on your right	Det kommer til at være på din højre side	Det vil være på høyre side	Den kommer att ligga till höger	Það mun vera á hægri hönd
469	This house is very big	Dette hus er meget stort	Dette huset er veldig stort	Detta hus är väldigt stort	Þetta hús er mjög stórt
470	It is time to go	Det er på tide at gå	Det er på tide å gå	Det är dags att gå	Tími til að fara
471	I'm visiting relatives	Jeg besøger slægtninge	Jeg besøker slektninger	Jag besöker släktingar	Ég er að heimsækja ættingja
472	It is inconvenient	Det er ubelejligt	Det er upraktisk	Den är besvärlig	Það er óþægilegt
473	Everything is ready	Alt er klart	Alt er klart	Allt är klart	Allt er ljóst
474	I'm a Buddhist	Jeg er buddhist	Jeg er buddhist	Jag är en buddhistisk	Ég er búddisti
475	That was unusual	Det var usædvanligt	Det var uvanlig	Det var ovanligt	Það var óvenjulegt
476	I'd like to hire a car	Jeg vil gerne leje en bil	Jeg vil gjerne leie en bil	Jag skulle vilja hyra en bil	Mig langar að leigja bíl
477	What is it?	Hvad er det?	Hva er det?	Vad är det?	Hvað er það?
478	She is a cheat	Hun er en bedrager	Hun er en bedrager	Hon är otrogen	Hún er svikari
479	What time did you go to sleep?	Hvad tid gik du i seng?	Hvilken tid gikk du til sengs?	Vilken tid lade du dig?	Hvenær fórstu að sofa?
480	It's quite long way on foot	Det er ganske lang vej til fods	Det er ganske lang vei å gå	Det är ganska lång väg till fots	Það er frekar langt að ganga
481	I like Italian cuisine	Jeg kan godt lide det italienske 	Jeg liker italiensk	Jag gillar italiensk mat	Mér líkar við ítalska
482	I would have come	Jeg ville være kommet	Jeg vil	Jag skulle ha kommit	Ég hefði komið
483	I need your permission	Jeg har brug for din tilladelse	Jeg trenger din tillatelse	Jag behöver din tillåtelse	Ég þarf leyfi þitt
484	That was excellent	Det var fremragende	Det var fantastisk	Den där var utmärkt	Það var frábært
485	It was thrilling	Det var spændende	Det var spennende	Det var spännande	Það var spennandi
486	How do you know?	Hvordan ved du det?	Hvordan vet du?	Hur vet du?	Hvernig veistu?
487	What address are you looking for?	Hvilken adresse søger du?	Hvilken adresse leter du etter?	Vilken adress letar du efter?	Hvaða heimilisfang ertu að leita að?
488	Do you think it'll rain today?	Tror du, det vil regne i dag?	Tror du det kommer til å regne i dag?	Tror du att det kommer att regna idag?	Heldurðu að það rigni í dag?
489	It was a misunderstanding	Det var en misforståelse	Det var en misforståelse	Det var ett missförstånd	Það var misskilningur
490	It is fascinating	Det er fascinerende	Det er fascinerende	Det är fascinerande	Það er heillandi
491	I need to get there by tomorrow	Jeg skal være der senest imorgen	Jeg må være der senest i morgen	Jag behöver vara framme imorgon	Ég verð að vera þarna í síðasta lagi á morgun
492	I'm doing an internship	Jeg er igang med et praktikophold	Jeg er for tiden på praksisplass	Jag gör praktik	Ég er núna í starfsnámi
493	In a week's time	Om en uges tid	Om en ukes tid	Om en vecka	Eftir viku
494	He doesn't look like a nurse	Han ligner ikke en sygeplejerske	Han ser ikke ut som en sykepleier	Han ser inte ut som en sjuksköterska	Hann lítur ekki út eins og hjúkrunarfræðingur
495	It's there	Det er der	Er det der	Den är där	Það er þarna
496	What is going on?	Hvad sker der?	Hva skjer?	Vad händer?	Hvað gerist?
497	This is my mother	Dette er min mor	Dette er min mor	Detta är min mamma	Þetta er móðir mín
498	The chair is comfortable	Stolen er komfortabel	Stolen er komfortabel	Stolen är bekväm	Stóllinn er þægilegur
499	I study economics	Jeg studerer økonomi	Jeg studerer økonomi	Jag studerar ekonomi	Ég læri hagfræði
500	How long will you be staying?	Hvor længe bliver du?	Hvor lenge blir du?	Hur länge stannar du?	Hve lengi ætlarðu að vera?
501	I scratched myself	Dette er min kone	Dette er min kone	Jag kliade mig själv	Þetta er konan mín
502	Did it hurt?	Gjorde det ondt?	Gjorde det vondt?	Gjorde det ont?	Var það sárt?
503	sygeplejerske	Jeg er ved at uddanne mig til	Jeg trener til	Jag studerar för att bli sjuksköterska	Ég er að þjálfa til
504	What time are they arriving?	Hvad tid ankommer de?	Når kommer de?	Vilken tid anländer de?	Hvenær koma þeir?
505	I lost my keys	Jeg har mistet mine nøgler	Jeg har mistet nøklene	Jag har tappat mina nycklar	Ég týndi lyklunum mínum
506	slutter mig til Dem?	Har De noget imod det, hvis jeg	Har du noe imot om jeg	Har ni något emot att jag går med er?	Er þér sama ef ég
507	That is incorrect	Det er ukorrekt	Det er feil	Det är fel	Það er rangt
508	He's an engineer	Han er ingeniør	Han er en ingeniør	Han är en ingenjör	Hann er verkfræðingur
509	It is a mutual agreement	Det er en gensidig aftale	Det er en gjensidig avtale	D e t	Það er gagnkvæmt samkomulag
510	I'll call you when I leave	Jeg ringer til Dem, når jeg går	Jeg ringer deg når jeg går	Jag ringer er när jag lämnar	Ég hringi í þig þegar ég fer
